arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
klt_r1,38,37,1242.140001754619,1003.8707962716705,150.84681657767342,92.26743550482917,0.0014739942969592388,1.270550508490756,1.1429494062410341,0.22450232892594446,0.23366042079242885
klt_r2,38,37,1242.1754228335499,1003.9069238042257,150.84929442809477,92.27140982649848,0.001473958048279864,1.2705402225068914,1.142931371558015,0.2245001479064606,0.23365883800984819
klt_r3,38,37,1242.1231095425812,1003.8698611095954,150.84187605814932,92.26785128164674,0.0014740218151768122,1.2705370202933461,1.1429238334032632,0.2244991384081729,0.23365784856318567
learned_r1,38,37,0.732686053397017,0.674001164894589,0.0736106342794714,0.05831819593472705,0.7531113699714781,0.04754038514827315,0.03964469388693269,0.01849974966989576,0.009748869725830998
learned_r2,38,37,0.7321220244314914,0.6737236681600123,0.07345962747990376,0.058386742493927675,0.7532606398560514,0.047911279487640665,0.03999664356181836,0.01847214987397215,0.00979572993234798
learned_r3,38,37,0.7328107796120025,0.6742568430791358,0.07355900126453054,0.05839845207182571,0.7530826301631756,0.047746290399592925,0.0397936393264265,0.018475546377587145,0.009765257358356956
matched_r1,38,37,1.0823820062464307,0.9622281165335269,0.11694940365018876,0.08638434838525309,0.6734159112159499,0.03851354594324815,0.015162729758658865,0.026336203235187806,0.007985876070451599
matched_r2,38,37,1.0823542097976788,0.9621961279194045,0.11694641062941315,0.0863908358174137,0.673421557583899,0.0385119671295195,0.015172404395526607,0.02633508347700499,0.008002457896290121
matched_r3,38,37,1.0824939065375065,0.9623543436240838,0.11694327550511285,0.086514490410993,0.6733929553539613,0.03847901929815891,0.015181023590299495,0.026315069085103997,0.008106194676674661
