split,sequence,case,method,B_failures,visible_B_failures,invisible_B_failures,accepted,correct,wrong,invisible_accepted,visible_localization_error,correct_visible_rate,precision,invisible_error_rate,S0_correct,S0_correct_retention,correct_rate_delta_C0,correct_rate_delta_C1,original_S_only_correct,original_S_only_correct_retained,invisible_OUT_OF_FOV,accepted_OUT_OF_FOV,invisible_IMAGE_BORDER_GUARD,accepted_IMAGE_BORDER_GUARD,invisible_ARTIFICIAL_OCCLUSION,accepted_ARTIFICIAL_OCCLUSION,invisible_OCCLUSION_PATCH_GUARD,accepted_OCCLUSION_PATCH_GUARD,invisible_Unknown,accepted_Unknown,new_reject_UNRESOLVED_PATCH_OUTSIDE,new_reject_UNRESOLVED_NONFINITE_COORDINATE,new_reject_UNRESOLVED_NONFINITE_PATCH,new_reject_UNRESOLVED_LOW_VARIANCE,new_reject_NCC_BELOW_THRESHOLD
all,ALL,small,SU,134,64,70,65,64,1,1,0,1.0,0.9846153846153847,0.014285714285714285,64,1.0,0.90625,0.90625,58,58,8,0,62,1,0,0,0,0,0,0,,,,,
all,ALL,large,S0,3771,3325,446,3326,3324,2,2,0,0.9996992481203008,0.9993986770895971,0.004484304932735426,3324,1.0,0.70796992481203,0.7085714285714285,2349,2349,384,0,62,2,0,0,0,0,0,0,,,,,
all,ALL,large,S1,3771,3325,446,3304,3302,2,2,0,0.9930827067669173,0.9993946731234867,0.004484304932735426,3324,0.99338146811071,0.7013533834586466,0.7019548872180451,2349,2327,384,0,62,2,0,0,0,0,0,0,22,0,0,0,0
all,ALL,large,C0,3771,3325,446,975,970,5,0,5,0.29172932330827067,0.9948717948717949,0.0,3324,,0.0,0.0006015037593984962,2349,,384,0,62,0,0,0,0,0,0,0,,,,,
all,ALL,large,C1,3771,3325,446,970,968,2,0,2,0.2911278195488722,0.9979381443298969,0.0,3324,,-0.0006015037593984962,0.0,2349,,384,0,62,0,0,0,0,0,0,0,0,0,0,0,5
all,ALL,large,SU,3771,3325,446,3195,3193,2,2,0,0.9603007518796992,0.9993740219092332,0.004484304932735426,3324,0.960589651022864,0.6685714285714286,0.6691729323308271,2349,2232,384,0,62,2,0,0,0,0,0,0,,,,,
all,ALL,illumination_blur,S0,1019,895,124,895,895,0,0,0,1.0,1.0,0.0,895,1.0,0.6547486033519553,0.6815642458100558,574,574,80,0,44,0,0,0,0,0,0,0,,,,,
all,ALL,illumination_blur,S1,1019,895,124,865,865,0,0,0,0.9664804469273743,1.0,0.0,895,0.9664804469273743,0.6212290502793296,0.6480446927374302,574,545,80,0,44,0,0,0,0,0,0,0,23,0,0,0,7
all,ALL,illumination_blur,C0,1019,895,124,323,309,14,2,12,0.3452513966480447,0.9566563467492261,0.016129032258064516,895,,0.0,0.026815642458100558,574,,80,0,44,2,0,0,0,0,0,0,,,,,
all,ALL,illumination_blur,C1,1019,895,124,291,285,6,2,4,0.31843575418994413,0.979381443298969,0.016129032258064516,895,,-0.026815642458100558,0.0,574,,80,0,44,2,0,0,0,0,0,0,0,0,0,0,32
all,ALL,illumination_blur,SU,1019,895,124,895,895,0,0,0,1.0,1.0,0.0,895,1.0,0.6547486033519553,0.6815642458100558,574,574,80,0,44,0,0,0,0,0,0,0,,,,,
all,ALL,outside_occluded,S0,3447,2248,1199,2548,2242,306,306,0,0.9973309608540926,0.8799058084772371,0.25521267723102586,2242,1.0,0.38033807829181493,0.38033807829181493,854,854,212,0,56,1,870,252,61,53,0,0,,,,,
all,ALL,outside_occluded,S1,3447,2248,1199,2245,2222,23,23,0,0.9884341637010676,0.9897550111358575,0.019182652210175146,2242,0.9910793933987511,0.37144128113879005,0.37144128113879005,854,834,212,0,56,1,870,0,61,22,0,0,20,0,0,0,283
all,ALL,outside_occluded,C0,3447,2248,1199,1434,1387,47,45,2,0.6169928825622776,0.9672245467224547,0.03753127606338615,2242,,0.0,0.0,854,,212,0,56,2,870,32,61,11,0,0,,,,,
all,ALL,outside_occluded,C1,3447,2248,1199,1394,1387,7,7,0,0.6169928825622776,0.9949784791965567,0.005838198498748957,2242,,0.0,0.0,854,,212,0,56,2,870,0,61,5,0,0,0,0,0,0,40
all,ALL,outside_occluded,SU,3447,2248,1199,2027,1987,40,40,0,0.8838967971530249,0.9802664035520473,0.03336113427856547,2242,0.8862622658340767,0.2669039145907473,0.2669039145907473,854,651,212,0,56,1,870,29,61,10,0,0,,,,,
all,A02,ALL,S0,2775,2306,469,2493,2305,188,188,0,0.9995663486556808,0.9245888487765744,0.40085287846481876,2305,1.0,0.40763226366001737,0.40763226366001737,939,939,91,0,39,3,320,166,19,19,0,0,,,,,
all,A02,ALL,S1,2775,2306,469,2304,2293,11,11,0,0.9943625325238509,0.9952256944444444,0.023454157782515993,2305,0.9947939262472885,0.40242844752818735,0.40242844752818735,939,927,91,0,39,3,320,0,19,8,0,0,11,0,0,0,178
all,A02,ALL,C0,2775,2306,469,1398,1365,33,31,2,0.5919340849956635,0.9763948497854077,0.06609808102345416,2305,,0.0,0.0,939,,91,0,39,2,320,22,19,7,0,0,,,,,
all,A02,ALL,C1,2775,2306,469,1371,1365,6,5,1,0.5919340849956635,0.9956236323851203,0.010660980810234541,2305,,0.0,0.0,939,,91,0,39,2,320,0,19,3,0,0,0,0,0,0,27
all,A02,ALL,SU,2775,2306,469,2311,2273,38,38,0,0.9856895056374675,0.9835569017741238,0.08102345415778252,2305,0.986117136659436,0.39375542064180397,0.39375542064180397,939,920,91,0,39,3,320,27,19,8,0,0,,,,,
all,A02,small,S0,10,5,5,5,5,0,0,0,1.0,1.0,0.0,5,1.0,1.0,1.0,5,5,0,0,5,0,0,0,0,0,0,0,,,,,
all,A02,small,S1,10,5,5,4,4,0,0,0,0.8,1.0,0.0,5,0.8,0.8,0.8,5,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
all,A02,small,C0,10,5,5,0,0,0,0,0,0.0,,0.0,5,,0.0,0.0,5,,0,0,5,0,0,0,0,0,0,0,,,,,
