dataset,window,profile,arm,replay,scientific_unit,technical_repeat,g0_ape_rmse_m,g0_rpe_rmse_m,g0_matched_poses,g0_rpe_pairs,legacy_ape_rmse_m,legacy_rpe_rmse_m,output_coverage,first_output_delay_s,init_success,solver_failures,failure_mentions,g0_ape_valid,g0_rpe_valid,source_artifact
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,learned,1,A03_5000_5900_event,True,0.6713405819828688,0.07886866713132419,32,31,0.872372,0.235832,0.837736,7.249139,1,9,27,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_learned_r1
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,learned,2,A03_5000_5900_event,True,0.6713217943776798,0.07886669996160942,32,31,0.87235,0.235832,0.837736,7.249139,1,11,33,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_learned_r2
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,learned,3,A03_5000_5900_event,True,0.7161180149263379,0.08362047159706638,32,31,0.922691,0.237937,0.837736,7.249139,1,3,9,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_learned_r3
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,gftt,1,A03_5000_5900_event,True,0.14392367210422216,0.020421437208291805,32,31,0.225398,0.205947,0.904412,4.249185,1,0,0,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_gftt_r1
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,gftt,2,A03_5000_5900_event,True,0.1441654161272341,0.020440148271250076,32,31,0.225535,0.205947,0.904412,4.249185,1,0,0,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_gftt_r2
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,gftt,3,A03_5000_5900_event,True,0.14413758766805304,0.020438785962284364,32,31,0.225519,0.205946,0.904412,4.249185,1,0,0,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_gftt_r3
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,klt,1,A03_5000_5900_event,True,0.6703933387116815,0.078768914485927,32,31,0.871317,0.235791,0.837736,7.249139,1,6,18,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_klt_r1
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,klt,2,A03_5000_5900_event,True,0.6703965009955828,0.07876912063889276,32,31,0.871321,0.235791,0.837736,7.249139,1,6,18,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_klt_r2
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,klt,3,A03_5000_5900_event,True,435.47845459819547,60.48295865836038,32,31,440.619419,58.79785,0.893299,4.749193,1,3,9,True,True,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_validation_20260803_a03_5000_5900_klt_r3
