probe,frames,raw_candidates,learned_candidates,learned_confirmed,exported_learned,action_status,interpretation,source_artifact,classical_bag_sha256,xfeat_bag_sha256
A02_2800_3200_current_loftr,200,40,57,29,0,zero_action,adaptive mirror fallback restored classical observations,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_validation_20260803_a02_2800_3200_loftr/frontend_metrics.csv,,
NTNU_fjord1_s83_d10_current_default_same_pipeline,100,,,,0,zero_action_both_arms,current default classical and XFeat outputs are byte-identical base-only bags,/mnt/data/AQUA-FE_WS/validation_20260803/ntnu_cqg/classical_vs_xfeat.md,8be01a6794b50c8679f1f4ee1225fb69d67c6ed7c390f9b0e6ff99eef01a605f,8be01a6794b50c8679f1f4ee1225fb69d67c6ed7c390f9b0e6ff99eef01a605f
