comparison,evaluator,metric,direction,technical_replays,independent_units,learned_mean_m,learned_sample_sd_m,control_mean_m,control_sample_sd_m,arm_mean_reduction_percent,paired_reduction_mean_percent,paired_reduction_sample_sd_percent,rpe_pairs,rpe_valid,inferential_test,limitation,reducer,learned_median_m,control_median_m,lower_arm,lower_arm_reduction_percent,learned_min_m,learned_max_m,control_label,control_min_m,control_max_m,learned_reduction_percent
A06 learned vs same-frame classical replacement,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,1,1,0.02152187371482738,,0.06306499107718125,,65.87350073753578,65.87350073753578,,21,True,not_run,development window; APE invalid; one event,,,,,,,,,,,
A08 learned vs same-ID GFTT replacement,legacy_nearest_reference,1s_translation_rpe_rmse_m,lower_is_better,3,1,0.11334733333333333,1.6743157806499868e-05,0.137348,0.002356455176743238,17.474347399792258,17.458377553596197,1.3962647978086515,57,False,not_run,three technical replays; only 7 unique GT assignments,,,,,,,,,,,
A08 learned vs same-ID GFTT replacement,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,0.09932981468274169,3.0009155793649225e-05,0.12067536733675718,0.0008854851840254551,17.688409097151126,17.685537724446757,0.587322370739909,5,False,not_run,three technical replays; 6 common poses over 5 seconds,,,,,,,,,,,
A03 learned vs same-ID GFTT replacement,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,0.0027440236366960396,,1.04318345130089e-05,,,,31,True,not_run,one development window; technical repeats are not independent; retrospective survival/proximity-matched control,median_across_technical_replays,0.07886866713132419,0.020438785962284364,gftt,74.0850369282243,,,,,,
NTNU native-q learned vs independent KLT,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,,,,,,,259,True,not_run,one development event; KLT is an independent exporter baseline,median_across_technical_replays,0.03813532193628043,0.06572772266469162,,,0.0381353179516041,0.0381353302751758,klt,0.06572772266469162,0.06572772266469162,41.97985204686484
NTNU native-q learned vs same-ID GFTT replacement,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,,,,,,,259,True,not_run,one development event; GFTT is retrospective and backend-outcome-blind,median_across_technical_replays,0.03813532193628043,0.09158222064347205,,,0.0381353179516041,0.0381353302751758,gftt,0.09158222064347205,0.09158222196479138,58.35947013695971
NTNU native-q learned vs exact drop,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,,,,,,,259,True,not_run,one development event; drop has two optimizer branches across technical repeats,median_across_technical_replays,0.03813532193628043,5.113237771380674,,,0.0381353179516041,0.0381353302751758,drop,5.113237771380674,12.101863279076104,99.25418445921431
NTNU native-q learned vs XFeat-only q=1,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,,,,,,,259,True,not_run,source-specific backend sensitivity ablation; not an independent method,median_across_technical_replays,0.03813532193628043,0.0381353179516041,,,0.0381353179516041,0.0381353302751758,learned_xfeat_q1,0.0381353179516041,0.038320408132580884,-1.0448782228760256e-05
NTNU native-q learned vs global q=1 learned,g0_common_support,1s_translation_rpe_rmse_m,lower_is_better,3,1,,,,,,,,259,True,not_run,global q=1 rewrites all observations and is an interaction ablation,median_across_technical_replays,0.03813532193628043,10.599716384938587,,,0.0381353179516041,0.0381353302751758,global_q1_learned,10.599716384938587,10.599716384938587,99.64022318568384
