sequence,comparison,role,status,D_APE,D_APE_min,D_APE_max,D_APE_range,D_RPE,D_RPE_min,D_RPE_max,D_RPE_range,B_APE,B_APE_min,B_APE_max,B_APE_range,B_RPE,B_RPE_min,B_RPE_max,B_RPE_range,APE_delta_m,RPE_delta_m,practical,severe_regression,severe_D_repeats,control_unstable,D_repeat_unstable,support,OLD_R_APE,OLD_R_APE_min,OLD_R_APE_max,OLD_R_APE_range,OLD_R_RPE,OLD_R_RPE_min,OLD_R_RPE_max,OLD_R_RPE_range,OLD_C_APE,OLD_C_APE_min,OLD_C_APE_max,OLD_C_APE_range,OLD_C_RPE,OLD_C_RPE_min,OLD_C_RPE_max,OLD_C_RPE_range
H02,D_vs_B,PRIMARY,PASS,0.3503258083348596,0.343237186350446,0.41284196105415727,0.06960477470371129,0.06635868537314968,0.0656713489555722,0.07238358096244549,0.006712232006873292,0.10270248922542502,0.05167482944302707,0.16693745744085564,0.11526262799782858,0.03462396587502674,0.025747904852374888,0.04994161467728601,0.02419370982491112,0.24762331910943458,0.03173471949812294,PRACTICAL_LOSS,True,"[1, 2, 3]",True,True,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",,,,,,,,,,,,,,,,
H02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,PASS,0.3503258083348596,0.343237186350446,0.41284196105415727,0.06960477470371129,0.06635868537314968,0.0656713489555722,0.07238358096244549,0.006712232006873292,,,,,,,,,0.3237242867128812,0.05889128024256251,PRACTICAL_LOSS,True,"[1, 2, 3]",False,True,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",0.026601521621978364,0.02660118792409959,0.02666584584735137,6.46579232517798e-05,0.007467405130587168,0.007466962407198583,0.007473698405586207,6.7359983876242105e-06,,,,,,,,
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,PASS,0.3503258083348596,0.343237186350446,0.41284196105415727,0.06960477470371129,0.06635868537314968,0.0656713489555722,0.07238358096244549,0.006712232006873292,,,,,,,,,-1029.7341744230948,-117.0537530714844,PRACTICAL_GAIN,False,[],False,True,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",,,,,,,,,1030.0845002314297,1017.9917091663859,1030.0845002314297,12.092791065043798,117.12011175685754,115.82582123619643,117.12011175685754,1.2942905206611073
A02,D_vs_B,PRIMARY,PASS,0.5061977501040846,0.48562122410508723,0.5062211383113016,0.02059991420621432,0.04642360872042557,0.04473089007286967,0.04643080641373429,0.001699916340864617,0.14554466759907114,0.14319173291730475,0.1650851041766531,0.021893371259348343,0.021490825915007707,0.02135481745976383,0.022709226503447897,0.0013544090436840676,0.3606530825050135,0.024932782805417865,PRACTICAL_LOSS,True,"[1, 2, 3]",True,False,"{""ape_valid"": true, ""common_coverage"": 0.8888888888888888, ""common_span_s"": 39.0, ""grid_count"": 45, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.9928353279829}",,,,,,,,,,,,,,,,
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,PASS,0.5061977501040846,0.48562122410508723,0.5062211383113016,0.02059991420621432,0.04642360872042557,0.04473089007286967,0.04643080641373429,0.001699916340864617,,,,,,,,,-0.6511934101792831,-0.0843490901265699,PRACTICAL_GAIN,False,[],False,False,"{""ape_valid"": true, ""common_coverage"": 0.8888888888888888, ""common_span_s"": 39.0, ""grid_count"": 45, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.9928353279829}",1.1573911602833677,1.1571990422573335,1.1614713677059636,0.004272325448630099,0.13077269884699547,0.1299551907854967,0.1308773678324005,0.0009221770469038104,,,,,,,,
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,PASS,0.5061977501040846,0.48562122410508723,0.5062211383113016,0.02059991420621432,0.04642360872042557,0.04473089007286967,0.04643080641373429,0.001699916340864617,,,,,,,,,-0.6474326811075513,-0.0841444500869727,PRACTICAL_GAIN,False,[],True,False,"{""ape_valid"": true, ""common_coverage"": 0.8888888888888888, ""common_span_s"": 39.0, ""grid_count"": 45, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.9928353279829}",,,,,,,,,1.1536304312116359,0.6991168158789801,1.156964248356864,0.45784743247788395,0.13056805880739827,0.07126104623810182,0.1306746707340085,0.05941362449590669
