sequence,comparison,role,arm,repeat,batch,metric_status,replay_status,runability,received_complete,poses,trajectory_coverage,trajectory_length_m,initialization_count,failure_detection_count,reset_count_proxy,run_dir,fixed_se3_ape_median_m,fixed_se3_ape_rmse_m,fixed_se3_rpe_median_m,fixed_se3_rpe_rmse_m,matched_count,rpe_pairs,sim3_ape_median_m,sim3_ape_rmse_m,sim3_rpe_median_m,sim3_rpe_rmse_m,sim3_scale
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.8786474375735365,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat2,0.2948509079277525,0.3503258083348596,0.051705927243455393,0.06635868537314968,41,40,0.13827749875347903,0.1830986243576173,0.04295623484408349,0.058588672485452215,1.2651134350286202
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,440,0.9765856737070341,4.619076838103647,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/h02_0_900/D/repeat3,0.351779128608502,0.41284196105415727,0.058520956117527896,0.07238358096244549,41,40,0.15337130185694864,0.200065296839751,0.04952905405528216,0.06230164334470614,1.340098330813654
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,1,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,414,0.9184792529616629,3872.62431073978,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat1,844.1804560616696,1030.0845002314297,74.01040725604118,117.12011175685754,41,40,0.25087365182333676,0.30090712593072927,0.12274428132900425,0.1464759789646799,0.0013621977096106397
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,2,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,414,0.9184792529616629,3829.002768053363,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat2,833.9353177961739,1017.9917091663859,72.65210898470531,115.82582123619643,41,40,0.256367087069401,0.30199565536765904,0.12290830037188592,0.14660830539316333,0.0013781282494227678
H02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,3,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,414,0.9184792529616629,3872.62431073978,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat3,844.1804560616696,1030.0845002314297,74.01040725604118,117.12011175685754,41,40,0.25087365182333676,0.30090712593072927,0.12274428132900425,0.1464759789646799,0.0013621977096106397
A02,D_vs_B,PRIMARY,D,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2309691394999556,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat1,0.44962777649818053,0.5061977501040846,0.04391691758198883,0.04642360872042557,40,39,0.06258787827974338,0.07723661672798751,0.010718243112137552,0.021271645690061396,1.8797653257363593
A02,D_vs_B,PRIMARY,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2948069005610616,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat2,0.4320163759738991,0.48562122410508723,0.041661168065121816,0.04473089007286967,40,39,0.06354904690164886,0.07886734405297757,0.010707324954895103,0.02126892716402397,1.8126854792253249
A02,D_vs_B,PRIMARY,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2313934904757478,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat3,0.4496604916511734,0.5062211383113016,0.04392832023989576,0.04643080641373429,40,39,0.06260455255329038,0.07723107986389362,0.010725525212776654,0.021301664333211907,1.879845766535599
A02,D_vs_B,PRIMARY,B,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.62856419939079,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat1,0.10581472809942156,0.14319173291730475,0.013083215143314727,0.02135481745976383,40,39,0.03873624326112723,0.052740394562972304,0.00610530981963007,0.01560023047049099,0.8893872511496714
A02,D_vs_B,PRIMARY,B,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.718384992532629,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat2,0.1261359966055784,0.1650851041766531,0.013402810747505678,0.022709226503447897,40,39,0.03775047388832787,0.05149049188455755,0.005975207955606907,0.015326845996960188,0.872200481303506
A02,D_vs_B,PRIMARY,B,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.637892329191679,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat3,0.10785594057618658,0.14554466759907114,0.013226596769975035,0.021490825915007707,40,39,0.03869674080743548,0.052741975164941425,0.006155703297733837,0.015571560641293164,0.8875237122038137
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2309691394999556,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat1,0.44962777649818053,0.5061977501040846,0.04391691758198883,0.04642360872042557,40,39,0.06258787827974338,0.07723661672798751,0.010718243112137552,0.021271645690061396,1.8797653257363593
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2948069005610616,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat2,0.4320163759738991,0.48562122410508723,0.041661168065121816,0.04473089007286967,40,39,0.06354904690164886,0.07886734405297757,0.010707324954895103,0.02126892716402397,1.8126854792253249
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2313934904757478,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat3,0.4496604916511734,0.5062211383113016,0.04392832023989576,0.04643080641373429,40,39,0.06260455255329038,0.07723107986389362,0.010725525212776654,0.021301664333211907,1.879845766535599
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,OLD_R,1,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.62130842274103,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat1,0.8777862207665517,1.1571990422573335,0.09947705038246168,0.13077269884699547,40,39,0.05464667671597775,0.07966552451047602,0.009094618534120932,0.026235366978388585,0.48072130196247675
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,OLD_R,2,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.652261060769167,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat2,0.8789341206989036,1.1573911602833677,0.09951949899250631,0.1308773678324005,40,39,0.054485476457182845,0.07938729559052335,0.009093041139532259,0.02634953658436853,0.4806803577985442
A02,D_vs_OLD_R,AUXILIARY_CROSS_BATCH,OLD_R,3,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.591083362403147,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat3,0.878749691022916,1.1614713677059636,0.09949155299402032,0.1299551907854967,40,39,0.0554488531709931,0.08010457579983093,0.009254354400571436,0.02537699594566836,0.47979594091223376
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,D,1,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2309691394999556,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat1,0.44962777649818053,0.5061977501040846,0.04391691758198883,0.04642360872042557,40,39,0.06258787827974338,0.07723661672798751,0.010718243112137552,0.021271645690061396,1.8797653257363593
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,D,2,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2948069005610616,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat2,0.4320163759738991,0.48562122410508723,0.041661168065121816,0.04473089007286967,40,39,0.06354904690164886,0.07886734405297757,0.010707324954895103,0.02126892716402397,1.8126854792253249
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,D,3,DIRECT_NEW,PASS,COMPLETE,PASS,True,405,0.8977747921340639,2.2313934904757478,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat3,0.4496604916511734,0.5062211383113016,0.04392832023989576,0.04643080641373429,40,39,0.06260455255329038,0.07723107986389362,0.010725525212776654,0.021301664333211907,1.879845766535599
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,1,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,6.9338761690256785,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat1,0.5699244068547847,0.6991168158789801,0.06577465251210882,0.07126104623810182,40,39,0.020767562072751627,0.027624799182527165,0.00603060184905165,0.012128727006016898,0.6053078400906398
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,2,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.595655973399968,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat2,0.8750225526092121,1.1536304312116359,0.09941675113835957,0.13056805880739827,40,39,0.05437726811270917,0.07955799844815181,0.008977782976085036,0.026313005378660395,0.48149629022020674
A02,D_vs_OLD_C,AUXILIARY_CROSS_BATCH,OLD_C,3,SYSTEM_PROBE_1138fab,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.609365823579674,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat3,0.8772490169327747,1.156964248356864,0.09948733155922772,0.1306746707340085,40,39,0.05466744823412513,0.07965149244094362,0.009019801691616463,0.026120842483444612,0.4807722326153394
