run_slug,arm,repeat,status,wall_s,peak_node_rss_bytes,feature_bag_sha256,binary_sha256,run_dir,receipt_emitted_at,exact_wall_clock_start,initialization_count,failure_detection_count,initialization_visual_imu_misalignment_count,initialization_sfm_solver_timing,reset_count_proxy,lost_tracking_count,initialization_log_first,initialization_finish_first_ros_clock_s,solver_calls,solver_near_time_limit_count,solver_at_or_above_time_limit_count,solver_total_s,solver_mean_s,solver_near_limit_fraction,solver_at_or_above_limit_fraction,solver_budget_histogram_json,solver_iteration_histogram_json,solver_termination_integer_histogram_json,exact_solver_stop_reason,solver_diagnostic_scope,max_solver_s,max_actual_eligible,received_complete,reference_start_sensor_s,poses,trajectory_coverage,trajectory_length_m,first_pose_sensor_s,first_pose_delay_from_reference_start_s,runability,received_original_ids,received_original_ids_unique_ids,eligible_original_ids,eligible_original_ids_unique_ids,residual_original_ids,residual_original_ids_unique_ids,sequence,batch,mapped_to,S_history_public_observations,S_history_received_observations,S_history_missing_received,S_history_eligible_id_times,S_history_residual_blocks_by_id_time,S_history_residual_unique_ids,attribution_scope
h02_0_900,OLD_C,2,COMPLETE,64.96878497296711,90066944,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat2,2026-09-11T10:51:24.058953+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123833.595152746, 1523958591.043823340]: Initialization finish!",1523958591.043823340,414,4,3,3.1096423820000005,0.007511213483091789,0.00966183574879227,0.007246376811594203,"{""0.032000000"": 321, ""0.040000000"": 93}","{""1"": 2, ""2"": 1, ""3"": 1, ""4"": 4, ""5"": 13, ""6"": 14, ""7"": 3, ""8"": 7, ""9"": 369}","{""0"": 42, ""1"": 372}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050434941,365,True,1523958586.9025872,414,0.9184792529616629,3829.002768053363,1523958590.551970304,3.649383128620684,PASS,157500,4307,36772,2872,135929,2872,H02,SYSTEM_PROBE_1138fab,C,,,,,,,
h02_0_900,OLD_C,3,COMPLETE,64.92181179497857,90427392,172272db4e7970ac543b9db911a80e82453e0811e9fabaa1fcba7f6e8658c925,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/h02_0_900/C/repeat3,2026-09-11T10:52:29.326027+00:00,Unknown,1,0,9,Unknown,0,Unknown,"[ INFO] [1789123898.967025755, 1523958591.053991202]: Initialization finish!",1523958591.053991202,414,4,3,3.1660510060000004,0.007647466198067634,0.00966183574879227,0.007246376811594203,"{""0.032000000"": 316, ""0.040000000"": 98}","{""4"": 2, ""5"": 12, ""6"": 16, ""7"": 2, ""8"": 6, ""9"": 376}","{""0"": 35, ""1"": 379}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.041261671,365,True,1523958586.9025872,414,0.9184792529616629,3872.62431073978,1523958590.551970304,3.649383128620684,PASS,157500,4307,36142,2871,133030,2871,H02,SYSTEM_PROBE_1138fab,C,,,,,,,
a02_0_900,B,1,COMPLETE,64.973666261998,100397056,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat1,2026-09-11T12:42:00.580468+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789130469.029470767, 1542828794.799511878]: Initialization finish!",1542828794.799511878,421,85,63,12.798744068000008,0.030400817263657978,0.20190023752969122,0.1496437054631829,"{""0.032000000"": 119, ""0.040000000"": 302}","{""2"": 1, ""3"": 178, ""4"": 91, ""5"": 30, ""6"": 14, ""7"": 3, ""8"": 9, ""9"": 95}","{""0"": 286, ""1"": 135}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.045895753,407,True,1542828791.736012,421,0.9333598441532135,4.62856419939079,1542828794.685281536,2.9492695539956912,PASS,157500,2221,165268,1692,1399729,1692,A02,DIRECT_NEW,B,,,,,,,
a02_0_900,B,2,COMPLETE,64.92313851701329,100024320,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat2,2026-09-11T12:43:05.855698+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789130534.445106591, 1542828794.788538635]: Initialization finish!",1542828794.788538635,421,94,64,12.843954778999992,0.030508206125890718,0.22327790973871733,0.15201900237529692,"{""0.032000000"": 119, ""0.040000000"": 302}","{""3"": 184, ""4"": 94, ""5"": 33, ""6"": 15, ""8"": 4, ""9"": 91}","{""0"": 288, ""1"": 133}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.045708346,407,True,1542828791.736012,421,0.9333598441532135,4.718384992532629,1542828794.685281536,2.9492695539956912,PASS,157500,2221,165268,1692,1399729,1692,A02,DIRECT_NEW,B,,,,,,,
a02_0_900,B,3,COMPLETE,65.07100008102134,103645184,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/B/repeat3,2026-09-11T12:44:11.286612+00:00,Unknown,1,0,7,Unknown,0,Unknown,"[ INFO] [1789130599.641144275, 1542828794.797954030]: Initialization finish!",1542828794.797954030,421,100,67,12.726395357000001,0.030228967593824232,0.2375296912114014,0.15914489311163896,"{""0.032000000"": 119, ""0.040000000"": 302}","{""3"": 186, ""4"": 88, ""5"": 32, ""6"": 11, ""7"": 6, ""8"": 6, ""9"": 92}","{""0"": 289, ""1"": 132}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.047375823,407,True,1542828791.736012,421,0.9333598441532135,4.637892329191679,1542828794.685281536,2.9492695539956912,PASS,157500,2221,165268,1692,1399729,1692,A02,DIRECT_NEW,B,,,,,,,
a02_0_900,D,1,COMPLETE,64.97319695202168,104796160,bec839f0b62349aa09e051da8f1a2a73753d713d6a3753bb89290b94774894ce,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat1,2026-09-11T12:45:16.608282+00:00,Unknown,1,0,15,Unknown,0,Unknown,"[ INFO] [1789130666.674311646, 1542828796.417647617]: Initialization finish!",1542828796.417647617,405,122,87,12.980927463999999,0.03205167275061728,0.3012345679012346,0.21481481481481482,"{""0.032000000"": 115, ""0.040000000"": 290}","{""3"": 116, ""4"": 116, ""5"": 45, ""6"": 18, ""7"": 7, ""8"": 7, ""9"": 96}","{""0"": 246, ""1"": 159}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.050873836,406,True,1542828791.736012,405,0.8977747921340639,2.2309691394999556,1542828796.28635392,4.550341938040219,PASS,157500,2202,159017,1655,1345051,1655,A02,DIRECT_NEW,D,806,806,0,677,6545,37,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
a02_0_900,D,2,COMPLETE,64.84078326501185,104062976,bec839f0b62349aa09e051da8f1a2a73753d713d6a3753bb89290b94774894ce,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat2,2026-09-11T12:46:21.806064+00:00,Unknown,1,0,15,Unknown,0,Unknown,"[ INFO] [1789130732.133258046, 1542828796.427874794]: Initialization finish!",1542828796.427874794,405,106,88,12.701020802000002,0.03136054519012346,0.2617283950617284,0.21728395061728395,"{""0.032000000"": 115, ""0.040000000"": 290}","{""3"": 131, ""4"": 112, ""5"": 39, ""6"": 22, ""7"": 10, ""8"": 9, ""9"": 82}","{""0"": 259, ""1"": 146}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.049828142,406,True,1542828791.736012,405,0.8977747921340639,2.2948069005610616,1542828796.28635392,4.550341938040219,PASS,157500,2202,159009,1655,1344876,1655,A02,DIRECT_NEW,D,806,806,0,677,6545,37,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
a02_0_900,D,3,COMPLETE,64.82205023500137,101617664,bec839f0b62349aa09e051da8f1a2a73753d713d6a3753bb89290b94774894ce,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_direct_recovery_v1/backend/a02_0_900/D/repeat3,2026-09-11T12:47:26.981795+00:00,Unknown,1,0,15,Unknown,0,Unknown,"[ INFO] [1789130797.202337999, 1542828796.417451778]: Initialization finish!",1542828796.417451778,405,111,88,12.867921400000004,0.031772645432098776,0.2740740740740741,0.21728395061728395,"{""0.032000000"": 115, ""0.040000000"": 290}","{""3"": 116, ""4"": 113, ""5"": 38, ""6"": 27, ""7"": 8, ""8"": 7, ""9"": 96}","{""0"": 245, ""1"": 160}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.046471369,406,True,1542828791.736012,405,0.8977747921340639,2.2313934904757478,1542828796.28635392,4.550341938040219,PASS,157500,2202,159017,1655,1345051,1655,A02,DIRECT_NEW,D,806,806,0,677,6545,37,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
a02_0_900,OLD_R,1,COMPLETE,64.98147185798734,102817792,7e67090415a26a9a313c1baf6ed263cb085ee92f009e8c93aa9e648ef601b049,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat1,2026-09-11T11:03:22.467018+00:00,Unknown,1,0,15,Unknown,0,Unknown,"[ INFO] [1789124552.550637851, 1542828796.448655437]: Initialization finish!",1542828796.448655437,405,151,124,13.416219855,0.03312646877777778,0.3728395061728395,0.30617283950617286,"{""0.032000000"": 114, ""0.040000000"": 291}","{""3"": 109, ""4"": 99, ""5"": 39, ""6"": 32, ""7"": 7, ""8"": 11, ""9"": 108}","{""0"": 203, ""1"": 202}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.049394293,407,True,1542828791.736012,405,0.8977747921340639,9.62130842274103,1542828796.28635392,4.550341938040219,PASS,157500,2202,158715,1657,1342842,1657,A02,SYSTEM_PROBE_1138fab,R,15,15,0,14,139,14,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
a02_0_900,OLD_R,2,COMPLETE,64.87199751398293,104591360,7e67090415a26a9a313c1baf6ed263cb085ee92f009e8c93aa9e648ef601b049,e231871eaff26a757a5d396ef5df0ad4d488d55be1c8d0e8d0f1204d1068aadd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat2,2026-09-11T11:04:27.741750+00:00,Unknown,1,0,15,Unknown,0,Unknown,"[ INFO] [1789124617.931399867, 1542828796.438113482]: Initialization finish!",1542828796.438113482,405,167,142,13.558844535000015,0.03347862848148152,0.4123456790123457,0.3506172839506173,"{""0.032000000"": 114, ""0.040000000"": 291}","{""2"": 1, ""3"": 106, ""4"": 102, ""5"": 42, ""6"": 33, ""7"": 7, ""8"": 8, ""9"": 106}","{""0"": 209, ""1"": 196}",Unknown,estimator.optimization nonlinear solve; initialization SfM solve not instrumented,0.049259712,407,True,1542828791.736012,405,0.8977747921340639,9.652261060769167,1542828796.28635392,4.550341938040219,PASS,157500,2202,158715,1657,1342842,1657,A02,SYSTEM_PROBE_1138fab,R,15,15,0,14,139,14,"received matches public ID/time; eligible/residual identify a recovered-history track at solve time, not the specific recovered observation factor"
