method,display,ape_rmse_m,ape_median_m,ape_max_m,ape_pose_count,rpe_exact_1s_rmse_m,rpe_exact_1s_median_m,rpe_exact_1s_max_m,rpe_pair_count
klt,KLT,0.49502909553330815,0.35335757148521774,1.3423486530807804,139,0.19142772914532424,0.1124606526501732,0.4621070865237139,129
learned_plus_klt,Learned+KLT,0.43673333180683105,0.3350492160965059,1.0629805636276808,139,0.14645360766048346,0.10312574627805975,0.27611778678326815,129
hfnet,HFNet-SLAM,0.1222598284379598,0.10400069549804558,0.21295403972492186,139,0.03230612311783678,0.03310250689409892,0.041606732053992,129
