window,arm,arm_display,repeat,status,exit_code,init,poses,coverage,first_output_delay_s,expected_duration_s,failure_reason,run_dir,vio_csv,vins_log,frontend_metrics,feature_bag,feature_bag_sha256
a07_900_1800,xfeat_seed,XFeat-seed,2,PASS,0,1,420,0.932118,3.051037,45.745555,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r1/features.bag,1c54028687d934ae55caae0e7403e715acec3d6f974e4691a7ceab644803c250
a07_900_1800,xfeat_seed,XFeat-seed,3,PASS,0,1,420,0.932118,3.051037,45.745555,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_900_1800_xfeat_seed_r1/features.bag,1c54028687d934ae55caae0e7403e715acec3d6f974e4691a7ceab644803c250
a07_1800_2700,klt,KLT,1,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/features.bag,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19
a07_1800_2700,klt,KLT,2,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/features.bag,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19
a07_1800_2700,klt,KLT,3,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_klt_every2_fsbcs1_a07_1800_2700_klt_r1/features.bag,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19
a07_1800_2700,splg,SP+LG,1,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/features.bag,a6c89894f0e9da0c0430eff10de21b091069c737d01e79d09e4ee3dce58b905f
a07_1800_2700,splg,SP+LG,2,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/features.bag,a6c89894f0e9da0c0430eff10de21b091069c737d01e79d09e4ee3dce58b905f
a07_1800_2700,splg,SP+LG,3,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r3/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r3/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_superpoint_lightglue_every2_fsbcs1_a07_1800_2700_splg_r1/features.bag,a6c89894f0e9da0c0430eff10de21b091069c737d01e79d09e4ee3dce58b905f
a07_1800_2700,xfeat_seed,XFeat-seed,1,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1/features.bag,9c20283656e4fb2d892ea699ff0f47aeb57f89d6801ae2aca189a3dc44af95c8
a07_1800_2700,xfeat_seed,XFeat-seed,2,PASS,0,1,417,0.922811,3.347245,43.982344,NONE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r2/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r2/frontend_metrics.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_supplemental_v1/runs/aqualoc_archaeo/external_hybrid_xfeat_every2_fsbcs1_a07_1800_2700_xfeat_seed_r1/features.bag,9c20283656e4fb2d892ea699ff0f47aeb57f89d6801ae2aca189a3dc44af95c8
