window,arm,arm_display,repeat,ape_rmse_m,ape_median_m,rpe_rmse_m,rpe_median_m,common_poses,rpe_pairs,evo_ape_rmse_m,evo_rpe_rmse_m,evo_ape_abs_diff_m,evo_rpe_abs_diff_m
a03_5000_5900,klt,KLT,1,254.09975322567593,206.28027804962846,36.010374328188966,21.491631231170135,32,31,254.099753,36.010374,2.256759330521163e-07,3.2818896755770766e-07
a03_5000_5900,klt,KLT,2,0.8536609785298264,0.7393622528359896,0.09841808317977788,0.09282397071426626,32,31,0.853661,0.098418,2.1470173638959977e-08,8.317977787108966e-08
a03_5000_5900,klt,KLT,3,254.1093774789784,206.2852817569297,36.012757150656334,21.491471965078322,32,31,254.109377,36.012757,4.789783929481928e-07,1.506563336306499e-07
a03_5000_5900,splg,SP+LG,1,254.09975322567593,206.28027804962846,36.010374328188966,21.491631231170135,32,31,254.099753,36.010374,2.256759330521163e-07,3.2818896755770766e-07
a03_5000_5900,splg,SP+LG,2,254.2385104020058,206.38928214225564,36.030958703864194,21.502431692050333,32,31,254.23851,36.030959,4.0200580997407087e-07,2.9613580920795357e-07
a03_5000_5900,splg,SP+LG,3,254.09975322567593,206.28027804962846,36.010374328188966,21.491631231170135,32,31,254.099753,36.010374,2.256759330521163e-07,3.2818896755770766e-07
a03_5000_5900,xfeat_seed,XFeat-seed,1,254.18350458738522,206.34474127197592,36.0233283407943,21.49773497250762,32,31,254.183505,36.023328,4.126147814531578e-07,3.407943012234682e-07
a03_5000_5900,xfeat_seed,XFeat-seed,2,0.6578265293969393,0.5668296448301525,0.07588574774566885,0.07521762805253673,32,31,0.657827,0.075886,4.70603060742647e-07,2.5225433114561824e-07
a03_5000_5900,xfeat_seed,XFeat-seed,3,254.09975322567593,206.28027804962846,36.010374328188966,21.491631231170135,32,31,254.099753,36.010374,2.256759330521163e-07,3.2818896755770766e-07
a01_16200_17100,klt,KLT,1,1.076271499904078,0.9615615706500685,0.08810365934694521,0.08702308380128859,43,42,1.076271,0.088104,4.99904078132829e-07,3.406530547922504e-07
a01_16200_17100,klt,KLT,2,1.2353804272841105,1.1053872735277979,0.10061606892069606,0.10328144375192966,43,42,1.23538,0.100616,4.272841105379399e-07,6.892069606689866e-08
a01_16200_17100,klt,KLT,3,1.3985906882722718,1.253629954953239,0.11353252826275169,0.1163438904279511,43,42,1.398591,0.113533,3.117277280750841e-07,4.71737248305959e-07
a01_16200_17100,splg,SP+LG,1,1.0703161381809372,0.9560028798297172,0.0876733990345846,0.08651252402031312,43,42,1.070316,0.087673,1.381809371370224e-07,3.990345845972243e-07
a01_16200_17100,splg,SP+LG,2,1.2276347484114634,1.0982628633297,0.1000210342586142,0.1024132552050081,43,42,1.227635,0.100021,2.515885366705106e-07,3.4258614195481485e-08
a01_16200_17100,splg,SP+LG,3,1.05271006724772,0.9399938941809978,0.0863223625823357,0.08495909372897692,43,42,1.05271,0.086322,6.724772005917146e-08,3.6258233569730347e-07
a01_16200_17100,xfeat_seed,XFeat-seed,1,1.1337433911705925,1.013687933613182,0.09258326231327339,0.09307537606149101,43,42,1.133743,0.092583,3.9117059258408915e-07,2.623132733942102e-07
a01_16200_17100,xfeat_seed,XFeat-seed,2,1.133304440962257,1.0132881154898368,0.09254817171091217,0.09303485398654004,43,42,1.133304,0.092548,4.4096225693124325e-07,1.717109121696092e-07
a01_16200_17100,xfeat_seed,XFeat-seed,3,1.133782566503225,1.0137209137450214,0.09258668945783445,0.09307769894032972,43,42,1.133783,0.092587,4.334967749208829e-07,3.1054216555193026e-07
a07_900_1800,klt,KLT,1,1.2884169765754603,1.0441048578547072,0.1309167356382439,0.10822083260818981,38,36,1.288417,0.13091667022957773,2.3424539641325737e-08,6.540866617776864e-08
a07_900_1800,klt,KLT,2,1928.1054607043764,1648.4122249912043,206.93806911266083,127.44226961167584,38,36,1928.105461,206.93806941829519,2.956237494800007e-07,3.056343587104493e-07
