role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
klt,3,42,41,0.14131658509253395,0.141052409–0.142193617,0.022696850881355115,0.022691013–0.022702111,0.8986341516692359,0.897895778–0.898855849,0.06077367332004901,0.060635826–0.060811314,0.017402114901302543,0.017328835–0.017410635,4.1490746605088447e-07
learned,3,42,41,1.0917543618166243,1.089812541–1.091773733,0.10429676813334873,0.104181567–0.104385376,0.5092137562908691,0.509209488–0.509659471,0.04734751726443776,0.047323203–0.047593696,0.019026847451543705,0.018939791–0.019067864,4.82735562239156e-07
matched,3,42,41,1.0934642534121657,1.092409899–1.094793889,0.10456246486827372,0.104392674–0.104679562,0.5088221991370865,0.508517962–0.509063581,0.04777750074794204,0.047524174–0.047874103,0.019136551973296667,0.019025360–0.019184258,4.992520579588655e-07
donor_delete,3,42,41,1.073157554512406,1.071533096–1.093352700,0.10200847387150001,0.101861125–0.104176480,0.5135129286977522,0.508848561–0.513891910,0.045443729136755595,0.045317594–0.048954519,0.019451372490306137,0.019437812–0.020777280,4.813545377152506e-07
