comparison_id,window_id,run_slug,learned_arm,common_support_status,common_poses,common_span_s,common_coverage,rpe_pairs,learned_vs_klt_primary_outcome,learned_vs_klt_joint_outcome,learned_vs_klt_ape_percent_change,learned_vs_klt_rpe_percent_change,learned_vs_matched_primary_outcome,learned_vs_matched_joint_outcome,learned_vs_matched_ape_percent_change,learned_vs_matched_rpe_percent_change,klt_fixed_se3_ape_median_m,learned_fixed_se3_ape_median_m,matched_fixed_se3_ape_median_m,klt_fixed_se3_rpe_median_m,learned_fixed_se3_rpe_median_m,matched_fixed_se3_rpe_median_m,failure_reason
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,PASS,38,37.0,0.95,37,WIN,BOTH_WIN,-99.94103608877485,-99.95123304994321,WIN,BOTH_WIN,-32.33138671797728,-37.093461543706304,1242.140001754619,0.7324143279267064,1.0823545694282526,150.84681657767342,0.0735633917026871,0.11694077198954063,
a02_0_900__router_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,PASS,42,41.0,0.9333333333333333,41,LOSS,BOTH_LOSS,672.5592584209028,359.52087661212005,WIN,BOTH_WIN,-0.15637379916221272,-0.2541033584658847,0.14131658509253395,1.0917543618166243,1.0934642534121657,0.022696850881355115,0.10429676813334873,0.10456246486827372,
a02_0_900__router_splg,aqualoc_archaeology:A02:0000,a02_0_900,router_splg,PASS,42,41.0,0.9333333333333333,41,LOSS,BOTH_LOSS,688.1799594872864,359.83376539530195,WIN,BOTH_WIN,-1.509632089955304,-0.26440172613042545,0.14131658509253395,1.1138290031311506,1.13090145439243,0.022696850881355115,0.104367784033892,0.10464446580778776,
afrl_bus_s180_d045__router_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,PASS,42,41.0,0.9333333333333333,41,WIN,BOTH_WIN,-28.80534887641124,-28.19444532360611,WIN,BOTH_WIN,-4.54771587288918,-4.170924576222124,0.06010874666198525,0.0427942124807622,0.04483309422305126,0.03721830922592327,0.026724813380849685,0.02788800086264686,
