window_id,run_slug,arm,role,frontend_action,feature_bag_sha256,backend_execution,mapped_backend_cell,independent_replays,mapped_replays,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,coverage_median,coverage_range,accuracy_role
aqualoc_archaeology:A08:0003,a08_2700_3600,router_xfeat,frontend_primary,False,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A08:0003,a08_2700_3600,router_splg,frontend_primary,False,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,frontend_primary,False,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,INDEPENDENT_REPLAY,klt,3,0,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EVALUATE_IF_COMMON_SUPPORT
afrl:cemetery:0003,afrl_cemetery_s135_d045,router_xfeat,frontend_primary,False,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,router_splg,frontend_primary,False,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,frontend_primary,False,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,INDEPENDENT_REPLAY,klt,3,0,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EVALUATE_IF_COMMON_SUPPORT
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,router_xfeat,frontend_primary,False,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,router_splg,frontend_primary,False,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_router_xfeat,matched_classical_attribution_control,True,a8984bbb9afdaae41c63197f978f148206a4b7cbc10187505a408c5d72f7a2ab,INDEPENDENT_REPLAY,matched_gftt_for_router_xfeat,3,0,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,matched_classical_attribution_control,True,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,INDEPENDENT_REPLAY,matched_gftt_for_router_xfeat,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,matched_classical_attribution_control,True,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,INDEPENDENT_REPLAY,matched_gftt_for_router_splg,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,matched_classical_attribution_control,True,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,INDEPENDENT_REPLAY,matched_gftt_for_router_xfeat,3,0,3/3,PASS,3,266.0,266–267,0.941357082,0.941357082–0.944903697,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
