frame_index,frame_name,num_features,added_features,dropped_features,dropout_ratio,tracked_before_filter,tracked_after_filter,grid_coverage,grid_occupied,grid_total,median_track_age,mean_track_age,long_track_ratio,median_fb_error,median_ncc,median_quality,mean_quality,median_visual_sigma,mean_visual_sigma,low_texture_feature_ratio,low_texture_track_age_median,low_texture_quality_median,mean_intensity,contrast,gradient_mean,laplacian_var,underexposed_ratio,overexposed_ratio,illumination_nonuniformity,local_contrast,flat_region_ratio,texture_score,blur_score,exposure_score,contrast_score,illumination_score,backscatter_score,highlight_shadow_score,grid_texture_score,underwater_score,degradation_score,image_quality,fundamental_inlier_ratio,homography_inlier_ratio,median_epipolar_error,median_homography_error,planar_score,tracker_mode,tracker_recovery_reason,tracker_recovered_count,track_health_score,track_health_reason,frontend_state_score,frontend_state_reason,semidense_acceptance,geometry_safe_acceptance,learned_mode_before_sparse_homography,learned_mode_after_sparse_homography,base_learned_mode_before_sparse_override,learned_mode_after_sparse_override,learned_mode_sparse_homography_allowed,learned_mode_sparse_homography_reason,last_loftr_sparse_homography_check_allowed,last_loftr_sparse_homography_check_reason,loftr_sparse_homography_allowed,loftr_sparse_homography_reason,semidense_raw_candidates,semidense_post_validate_candidates,semidense_accepted_candidates,semidense_queued_pending,semidense_grid_gain,semidense_new_cell_ratio,semidense_before_f_inlier,semidense_after_f_inlier,semidense_before_h_inlier,semidense_after_h_inlier,semidense_before_epipolar,semidense_after_epipolar,semidense_before_homography,semidense_after_homography,pending_loftr_count,pending_loftr_age_median,loftr_confirmed_promoted,klt_degeneracy_loftr_allowed,klt_degeneracy_loftr_reason,klt_degeneracy_loftr_score,scheduler_mode,scheduler_reason,geometry_mode,geometry_reason,planar_confidence,adaptive_geometry_model,klt_tracks,gftt_tracks,orb_tracks,orb_match_tracks,orb_recovery_tracks,lk_recovery_tracks,homography_recovery_tracks,xfeat_tracks,xfeat_recovery_tracks,xfeat_init_tracks,xfeat_confirmed_tracks,xfeat_star_tracks,xfeat_star_recovery_tracks,xfeat_star_init_tracks,xfeat_star_confirmed_tracks,superpoint_lightglue_tracks,superpoint_lightglue_recovery_tracks,superpoint_lightglue_init_tracks,superpoint_lightglue_confirmed_tracks,learned_memory_tracks,loftr_tracks,loftr_recovery_tracks,loftr_init_tracks,loftr_confirmed_tracks,candidate_bank_count,candidate_bank_coverage,candidate_bank_grid_gain,stable_candidate_grid_coverage,runtime_ms
10,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000010.jpg,350,33,33,0.09428571428571429,350,317,1.0,24,24,11.0,9.031428337097168,0.8314285714285714,0.006182926241308451,0.9585006833076477,0.6544132828712463,0.631406843662262,1.2352145910263062,1.2966614961624146,0.0,nan,nan,130.2598876953125,47.64323425292969,93.67506408691406,5504.03662109375,3.1913807189542485e-06,0.0001851000816993464,0.12966761570350793,0.28578269481658936,0.0,1.0,1.0,0.9995292713439542,1.0,0.688797722311581,1.0,0.9920496323529412,1.0,0.9558981716260722,0.04410182837392784,0.9558981716260722,0.9810725552050473,0.9936908517350158,0.11765184983989206,0.12255206712053518,1.0128607039329802,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6450979173151786,n/a,317,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,180.9697961434722
11,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000011.jpg,350,29,29,0.08285714285714285,350,321,1.0,24,24,12.0,9.880000114440918,0.8485714285714285,0.006582644768059254,0.9602134227752686,0.6852877140045166,0.6417967081069946,1.2071101665496826,1.2873886823654175,0.0,nan,nan,130.24029541015625,47.63425064086914,93.86418914794922,5562.71044921875,0.0,0.00012765522875816994,0.12941726086186425,0.2862986922264099,0.0,1.0,1.0,0.9996808619281046,1.0,0.6893985739315258,1.0,0.9922679227941177,1.0,0.9560135791494331,0.04398642085056692,0.9560135791494331,0.9844236760124611,0.9968847352024922,0.10306217147724044,0.12844325504413653,1.012657199167845,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6448622697982346,n/a,321,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,178.83476288989186
12,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000012.jpg,350,28,28,0.08,350,322,0.9583333333333334,23,24,13.0,10.717143058776855,0.8542857142857143,0.006243335083127022,0.9592215418815613,0.6987104415893555,0.6606343984603882,1.1954762935638428,1.2631698846817017,0.0,nan,nan,130.22915649414062,47.65166091918945,93.75588989257812,5500.5419921875,3.1913807189542485e-06,0.0001053155637254902,0.12952075434666055,0.2870303988456726,0.0,1.0,1.0,0.9997287326388888,1.0,0.6891501895680148,1.0,0.9925091911764706,1.0,0.9559990259267768,0.04400097407322323,0.9559990259267768,0.9720496894409938,0.9906832298136646,0.13204671641152532,0.13184939002055446,1.0191682806000435,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6447260243991779,n/a,322,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,188.79891000688076
13,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000013.jpg,350,32,32,0.09142857142857143,350,318,0.9583333333333334,23,24,14.0,11.497142791748047,0.8657142857142858,0.005621980410069227,0.9720172882080078,0.749570369720459,0.7025059461593628,1.154261827468872,1.2186089754104614,0.0,nan,nan,130.22607421875,47.63071060180664,93.58332824707031,5464.38427734375,0.0,0.00016595179738562092,0.12955224429859838,0.2862526774406433,0.0,1.0,1.0,0.9995851205065359,1.0,0.6890746136833639,1.0,0.9928136488970588,1.0,0.9559894793102788,0.04401052068972122,0.9559894793102788,0.9842767295597484,0.9937106918238994,0.1283100696182076,0.1206272642511508,1.0095836388255681,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.645174909429954,n/a,318,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,180.88882695883512
14,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000014.jpg,350,26,26,0.07428571428571429,350,324,0.9583333333333334,23,24,15.0,12.382857322692871,0.8714285714285714,0.0072965617291629314,0.9643542766571045,0.7613354325294495,0.7023097276687622,1.1453202962875366,1.2326126098632812,0.0,nan,nan,130.23948669433594,47.61859130859375,93.75550079345703,5464.0673828125,0.0,0.0001851000816993464,0.12950719496783086,0.2860673666000366,0.0,1.0,1.0,0.9995372497957516,1.0,0.6891827320772059,1.0,0.9923253676470588,1.0,0.9559695745251224,0.044030425474877566,0.9559695745251224,0.9814814814814815,0.9969135802469136,0.10188085851466337,0.12944457759982453,1.0157222355534454,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.644822216896007,n/a,324,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,177.9432687908411
15,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000015.jpg,350,28,28,0.08,350,322,0.9583333333333334,23,24,16.0,13.15999984741211,0.8714285714285714,0.005937033798545599,0.9678685665130615,0.7849818468093872,0.7282801866531372,1.127960205078125,1.2060484886169434,0.0,nan,nan,130.23150634765625,47.61845397949219,93.61482238769531,5448.80029296875,0.0,0.00014680351307189542,0.12941659366383274,0.2867128252983093,0.0,1.0,1.0,0.9996329912173203,1.0,0.6894001752068015,1.0,0.9923713235294118,1.0,0.9560142628867954,0.04398573711320464,0.9560142628867954,0.984472049689441,0.9968944099378882,0.12788858357136357,0.11914215451031016,1.0126172679408194,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6452343138195876,n/a,322,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,176.6061489470303
16,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000016.jpg,350,24,24,0.06857142857142857,350,326,0.9166666666666666,22,24,17.0,14.0600004196167,0.8742857142857143,0.0057226307690143585,0.9603055715560913,0.7913004159927368,0.7242765426635742,1.1234533786773682,1.2138848304748535,0.0,nan,nan,130.22084045410156,47.622867584228516,93.74046325683594,5451.0205078125,0.0,0.00015318627450980392,0.12951493805530026,0.2861401438713074,0.0,1.0,1.0,0.9996170343137255,1.0,0.6891641486672794,1.0,0.9927504595588236,1.0,0.9560020525045956,0.04399794749540442,0.9560020525045956,0.9631901840490797,0.9447852760736196,0.07480248008436621,0.12836285506901896,0.9808907013682527,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6403026023616565,n/a,326,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,179.2933908291161
17,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000017.jpg,350,26,26,0.07428571428571429,350,324,0.9583333333333334,23,24,18.0,14.85428524017334,0.8857142857142857,0.007019214332103729,0.9625641107559204,0.806092381477356,0.7501429319381714,1.1131107807159424,1.1860427856445312,0.0,nan,nan,130.22158813476562,47.618003845214844,93.84243774414062,5489.12109375,0.0,0.00014361213235294118,0.12956027161841294,0.28631919622421265,0.0,1.0,1.0,0.9996409696691176,1.0,0.689055348115809,1.0,0.9922909007352941,1.0,0.9559621191406251,0.04403788085937488,0.9559621191406251,0.9876543209876543,0.904320987654321,0.0895751132661358,0.13444552180358868,0.9156240729306262,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.5974160060476243,n/a,324,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,174.3754637427628
18,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000018.jpg,350,29,29,0.08285714285714285,350,321,0.9583333333333334,23,24,19.0,15.720000267028809,0.8885714285714286,0.007055311463773251,0.9680752158164978,0.8471380472183228,0.7801907062530518,1.085842251777649,1.1596062183380127,0.0,nan,nan,130.2305908203125,47.66917419433594,93.7099609375,5520.7705078125,0.0,0.00017552593954248366,0.12918192545572912,0.28687745332717896,0.0,1.0,1.0,0.9995611851511438,1.0,0.68996337890625,1.0,0.9924230238970588,1.0,0.9560875966988356,0.043912403301164415,0.9560875966988356,0.9781931464174455,1.0,0.16049615438427176,0.13052510911084605,1.0222919485486768,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6447789956355662,n/a,321,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,181.4949861727655
19,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000019.jpg,350,28,28,0.08,350,322,0.9583333333333334,23,24,20.0,16.545713424682617,0.8885714285714286,0.0076694972813129425,0.9592257738113403,0.8568228483200073,0.7870479822158813,1.0796961784362793,1.158463716506958,0.0,nan,nan,130.20957946777344,47.673580169677734,93.72090911865234,5439.357421875,6.382761437908497e-06,0.00015318627450980392,0.1291375852098652,0.2865508198738098,0.0,1.0,1.0,0.9996010774101307,1.0,0.6900697954963235,1.0,0.9916015625,1.0,0.9560579944087009,0.04394200559129913,0.9560579944087009,0.984472049689441,0.9968944099378882,0.1460264762259833,0.12869778927851494,1.0126172679408194,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6448520884288594,n/a,322,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,174.57897681742907
