window_id,run_slug,sequence,heldout_type,heldout_scope,batch,start_index,end_index_exclusive,classification,reason,severe_regression,positive_level,new_C_failure,structural_failure,backend_attempted,reference_kind,reference_poses,raw_reference_span_s,notes,independent_feature_labels,B_feature_coverage_median,C_feature_coverage_median,candidate_published_count,unique_candidate_IDs,candidate_IDs_ge4,candidate_IDs_ge10,candidate_lifetime_median,candidate_lifetime_max,candidate_peak_concurrent,B_APE_min,B_APE_median,B_APE_max,B_RPE_min,B_RPE_median,B_RPE_max,B_fitted_scale_min,B_fitted_scale_median,B_fitted_scale_max,B_unusual_repeat_instability,C-all_APE_min,C-all_APE_median,C-all_APE_max,C-all_RPE_min,C-all_RPE_median,C-all_RPE_max,C-all_fitted_scale_min,C-all_fitted_scale_median,C-all_fitted_scale_max,C-all_unusual_repeat_instability,common_support_json,B_first_pose_delay_from_reference_start_s_min,B_first_pose_delay_from_reference_start_s_median,B_first_pose_delay_from_reference_start_s_max,B_trajectory_coverage_min,B_trajectory_coverage_median,B_trajectory_coverage_max,B_trajectory_length_m_min,B_trajectory_length_m_median,B_trajectory_length_m_max,B_received_candidate_min,B_received_candidate_median,B_received_candidate_max,B_residual_candidate_min,B_residual_candidate_median,B_residual_candidate_max,B_received_candidate_unique_ids_min,B_received_candidate_unique_ids_median,B_received_candidate_unique_ids_max,B_eligible_candidate_unique_ids_min,B_eligible_candidate_unique_ids_median,B_eligible_candidate_unique_ids_max,B_max_actual_eligible_min,B_max_actual_eligible_median,B_max_actual_eligible_max,B_reset_count_proxy_min,B_reset_count_proxy_median,B_reset_count_proxy_max,B_failure_detection_count_min,B_failure_detection_count_median,B_failure_detection_count_max,B_initialization_count_min,B_initialization_count_median,B_initialization_count_max,B_initialization_visual_imu_misalignment_count_min,B_initialization_visual_imu_misalignment_count_median,B_initialization_visual_imu_misalignment_count_max,B_wall_s_min,B_wall_s_median,B_wall_s_max,B_lost_tracking_count,C-all_first_pose_delay_from_reference_start_s_min,C-all_first_pose_delay_from_reference_start_s_median,C-all_first_pose_delay_from_reference_start_s_max,C-all_trajectory_coverage_min,C-all_trajectory_coverage_median,C-all_trajectory_coverage_max,C-all_trajectory_length_m_min,C-all_trajectory_length_m_median,C-all_trajectory_length_m_max,C-all_received_candidate_min,C-all_received_candidate_median,C-all_received_candidate_max,C-all_residual_candidate_min,C-all_residual_candidate_median,C-all_residual_candidate_max,C-all_received_candidate_unique_ids_min,C-all_received_candidate_unique_ids_median,C-all_received_candidate_unique_ids_max,C-all_eligible_candidate_unique_ids_min,C-all_eligible_candidate_unique_ids_median,C-all_eligible_candidate_unique_ids_max,C-all_max_actual_eligible_min,C-all_max_actual_eligible_median,C-all_max_actual_eligible_max,C-all_reset_count_proxy_min,C-all_reset_count_proxy_median,C-all_reset_count_proxy_max,C-all_failure_detection_count_min,C-all_failure_detection_count_median,C-all_failure_detection_count_max,C-all_initialization_count_min,C-all_initialization_count_median,C-all_initialization_count_max,C-all_initialization_visual_imu_misalignment_count_min,C-all_initialization_visual_imu_misalignment_count_median,C-all_initialization_visual_imu_misalignment_count_max,C-all_wall_s_min,C-all_wall_s_median,C-all_wall_s_max,C-all_lost_tracking_count,APE_delta_m,APE_delta_pct,RPE_delta_m,RPE_delta_pct,APE_repeat_range_threshold,RPE_repeat_range_threshold,RPE_guard_m,practical_classification
coe1_a06_00000_00900,coe1_a06_00000_00900,A06,sequence-held-out,six_C_all_development_windows,A,0,900,SMALL_OR_UNCERTAIN,,False,DIRECTIONAL_GAIN,False,False,6,"COLMAP/proxy, not independent GT",43,44.944464064,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows,Not evaluated.; set-level window outcomes only,0.8333333333333334,0.8333333333333334,6697,1275,617,213,3.0,55,90,2.050386302430371,151.7859555274874,183.49158905443872,0.3421133574436045,19.136619050862098,22.941066292875675,0.020240947377956644,0.02429106506624933,1.3291028914325382,True,0.9489183656105699,0.9507264614311441,0.9703758132220122,0.18486292661751774,0.18700599507054602,0.18711185327893406,0.8612414939192458,0.8698235129741972,0.870252654013143,False,"{""ape_valid"": true, ""common_coverage"": 0.8409090909090909, ""common_span_s"": 36.0, ""grid_count"": 44, ""matched_count"": 37, ""rpe_pairs"": 36, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 43.994995679939166}",4.4498960812343284,4.4498960812343284,4.4498960812343284,0.8988544942180036,0.8988544942180036,0.8988544942180036,8.50427459520261,617.175211678463,740.0358155841773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0,22.0,22.0,64.88871289900271,64.89030247100163,65.02920225300477,Unknown; reset/failure-detection log proxies reported separately,6.44947316928301,6.44947316928301,6.44947316928301,0.8534043910630833,0.8534043910630833,0.8534043910630833,16.496304432427284,16.502945075133123,16.75541341040794,6697.0,6697.0,6697.0,14772.0,14772.0,14772.0,1275.0,1275.0,1275.0,250.0,250.0,250.0,486.0,487.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31.0,31.0,31.0,64.78688969399082,64.7893455309968,64.88716861701687,Unknown; reset/failure-detection log proxies reported separately,-150.83522906605626,-99.37364003268472,-18.949613055791552,-99.02278456516528,181.44120275200834,22.59895293543207,22.59895293543207,SMALL_OR_UNCERTAIN
coe1_a10_00000_00900,coe1_a10_00000_00900,A10,sequence-held-out,six_C_all_development_windows,A,0,900,SMALL_OR_UNCERTAIN,,False,DIRECTIONAL_GAIN,False,False,6,"COLMAP/proxy, not independent GT",44,44.942514464,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows,Not evaluated.; set-level window outcomes only,0.7916666666666666,0.8333333333333334,8287,1460,586,265,2.0,72,43,0.059842410807919244,0.06007547575477476,0.06047836110518334,0.05223651559154534,0.05224253283023267,0.052250603047978045,1.0117740064152547,1.0121560028102092,1.0127574992034212,False,0.05649001833688328,0.056618387056460565,0.056620449336985255,0.05367140163639576,0.053691010457119256,0.05369166650915168,0.9965623822658893,0.9965634506132326,0.9970666907732744,False,"{""ape_valid"": true, ""common_coverage"": 0.9302325581395349, ""common_span_s"": 39.0, ""grid_count"": 43, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 42.992610815912485}",2.949710151529871,2.949710151529871,2.949710151529871,0.9313902996904111,0.9313902996904111,0.9313902996904111,7.490108752857159,7.491399778137206,7.49700900313553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,398.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,64.79876733099809,64.82660793000832,65.39022598901647,Unknown; reset/failure-detection log proxies reported separately,2.949710151529871,2.949710151529871,2.949710151529871,0.9313902996904111,0.9313902996904111,0.9313902996904111,7.596996122537069,7.598004313901122,7.59800658664358,8287.0,8287.0,8287.0,28898.0,28898.0,28898.0,1460.0,1460.0,1460.0,299.0,299.0,299.0,429.0,429.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,6.0,64.82635136900353,64.98153099301271,65.29584413400153,Unknown; reset/failure-detection log proxies reported separately,-0.003457088698314195,-5.754575648182741,0.0014484776268865879,2.772602223543718,0.0006359502972640985,2.0264872755915153e-05,0.005,SMALL_OR_UNCERTAIN
coe1_h01_00000_00900,coe1_h01_00000_00900,H01,sequence-held-out,six_C_all_development_windows,A,0,900,SMALL_OR_UNCERTAIN,,False,NONE,False,False,6,"COLMAP/proxy, not independent GT",180,44.967747823,PREVIOUS_PROJECT_USE_POSSIBLE; held-out only relative to six C-all development windows,Not evaluated.; set-level window outcomes only,0.9583333333333334,1.0,20127,2498,1246,586,3.0,159,85,0.07076470355010707,0.07076472662545998,0.0708979931434869,0.009973888350337313,0.009973933504738594,0.010075485478583156,1.0553388850791596,1.0553388908735943,1.0554373154031407,False,0.07120079077524798,0.07152362076902194,0.07155175852557671,0.009932528016825221,0.010108660574876995,0.010144786905628457,1.055820796577146,1.0560858769794381,1.0561072374128306,False,"{""ape_valid"": true, ""common_coverage"": 0.9333333333333333, ""common_span_s"": 41.0, ""grid_count"": 45, ""matched_count"": 42, ""rpe_pairs"": 41, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.767061786027625}",2.4492585172411054,2.4492585172411054,2.4492585172411054,0.9452888259666534,0.9452888259666534,0.9452888259666534,4.965442973448276,4.9654437787982,4.966033428784646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,396.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,6.0,64.87827266400564,64.9249328240112,65.14070938699297,Unknown; reset/failure-detection log proxies reported separately,2.4492585172411054,2.4492585172411054,2.4492585172411054,0.9452888259666534,0.9452888259666534,0.9452888259666534,4.961525583885784,4.962159012625369,4.963412151201991,20127.0,20127.0,20127.0,124110.0,124110.0,124110.0,2498.0,2498.0,2498.0,976.0,976.0,976.0,482.0,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,6.0,64.78329781300272,64.92665109198424,64.93790242198156,Unknown; reset/failure-detection log proxies reported separately,0.0007588941435619639,1.0724186748838882,0.00013472707013840145,1.3507917420383133,0.0003509677503287373,0.00021225888880323576,0.005,SMALL_OR_UNCERTAIN
