comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,klt,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,1,38,37,1242.1068087380663,150.8384074534068,0.0014740434688604433,1.270532817120404,0.2244976111803921,4.534068125394697e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,2,38,37,1242.0872100610559,150.83661593605822,0.0014740672267297807,1.2705318580369749,0.2244980980645175,1.419630251131565e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,learned,3,38,37,1242.1068087380663,150.8384074534068,0.0014740434688604433,1.270532817120404,0.2244976111803921,4.534068125394697e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,1,38,37,1242.129092444898,150.84313123368685,0.00147401244853727,1.270541114594512,0.22449975734235195,4.4489820538728964e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,2,38,37,1242.1402180555551,150.84547610337356,0.0014739965701136431,1.2705459607586629,0.22450090713183196,1.0337356570744305e-07
a09_6000_6800__router_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_xfeat,matched,3,38,37,1234.8887819151123,150.15256231490963,0.001481474023773324,1.2726262327039655,0.22482110640158562,3.149096414745145e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,klt,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,klt,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,klt,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,learned,1,38,37,1242.0872100610559,150.83661593605822,0.0014740672267297807,1.2705318580369749,0.2244980980645175,1.419630251131565e-07
a09_6000_6800__router_splg,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,router_splg,learned,2,38,37,1242.1232837331465,150.84216093102984,0.0014740206728034533,1.2705387030770567,0.22449943922759252,4.3922759251913135e-07
