arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
C-all_r1,31,29,0.11380400199997948,0.07705960685997483,0.13763493785231626,0.07615284525086437,0.9582738980804749,0.10593663418189699,0.07268880146923014,0.136948983200826,0.06962198104034821
C-all_r2,31,29,0.11378774096582227,0.07705632574990558,0.13762984198238962,0.07613810978596762,0.958289343962432,0.10592544756453195,0.07267290152622469,0.13694447178549976,0.06962399398349017
C-all_r3,31,29,0.11379938463619918,0.0770660665335686,0.13763328463362753,0.07614144707710627,0.9582814375041945,0.10593474715190337,0.07270024227007588,0.13694761277826062,0.06962554591358044
B_r1,31,29,837.5523761962478,750.3518720440685,102.93430868786272,82.6873732398002,0.0009194845638862632,0.5734627720997266,0.49294781061137694,0.1824773423273862,0.13430880439707715
B_r2,31,29,743.1541356268849,666.510664830761,90.42474185780364,74.4836290240466,0.0010357636486825505,0.5738593092630787,0.49106284797847644,0.1824635087190957,0.1334066249204344
B_r3,31,29,743.1541356268849,666.510664830761,90.42474185780364,74.4836290240466,0.0010357636486825505,0.5738593092630787,0.49106284797847644,0.1824635087190957,0.1334066249204344
