window,version,cell_id,repeat,new_replays,source_manifest,source_manifest_sha256,receipt_identity_status,receipt_sha256,replay_directory,log_sha256,vio_sha256,environment_sha256,feature_bag_sha256,canonical_config_sha256,first_feature_timestamp_ns,first_vio_timestamp_ns,first_vio_delay_s,initialization_ros_time_s,initialization_ros_delay_s,initialization_log_line,initialization_count,reboot_log_count,linear_scale_diagnostic_count,VINS_INITIAL_MIN_SCALE_recorded,VINS_INITIAL_MAX_SCALE_recorded,VINS_INITIAL_MAX_GYRO_BIAS_DELTA_recorded,VINS_INITIAL_ROLLBACK_ON_FAILURE_recorded,VINS_INITIAL_DIAGNOSTICS_recorded,parallax_rejection_count,parallax_rejection_log_lines,alignment_rejection_count,alignment_rejection_log_lines,gyro_calibration_count,gyro_calibration_log_lines,low_excitation_warning_count,low_excitation_warning_log_lines,unlogged_rejection_subcause
a02_0_900,v2,matched_gftt_for_router_splg,2,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,253b12a6044a961f4cccda8ddbde2642a47416cc2c611ce4bf4329b270d2b3fa,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat2,16745126876dab38376a46149448e1ac9773609b40156ce1f45e673f0296b3dd,8d44ec8cd445789c4c0ff84b067b8b04da4df83b96c982bb472fb0f36f7172b3,e6d2fd9ce63ca9e0ddfc8d1359c440f7edeb1ed2333ce7c8ef60d91be4001eb9,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003764433,2.216344113,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,v2,matched_gftt_for_router_splg,3,0,papers/frontend_coverage_monotone_router_v2/backend_smoke_plan.csv,6b3af3e00c1baa970da69d03013597b2972e39b27601acf2e63c2fa71bccbbb7,PASS,1e82cefa10de16861947418320f6dcd44a95471121ee9df683f859615eadf9d3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a02_0_900/matched_gftt_for_router_splg/repeat3,1c5a2541f9b804b1a960ebe69c287e98753b5a79202372131c3b85205c8abb96,db755ec4ca583c3b9d154144a4ed47ddb9fe1705390e6f90e12d191825356527,968c3bf2671ac77f66bd24c920b5f1d0577396c9638b0d3c746ce4b20089ec54,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013560006,2.226139686,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,continuation_splg,1,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,01a35cd43fd4830fb0dbe09ef58d218ae753e754c799706b92f05d08df7077bf,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat1,b3b4e7cab13453dbf21d73a029128757b0c0d2dd113dcdd6abcd2f772150b4f8,633c24e8a4eed2f31b4911017382dada8c61c955fc8dcfadcc0ec3e52bb431ce,e6b994267a0fa2bd8f5d9ee5595ae4ed89ae518b9f3c61aa6a77ebf71cc15071,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013450661,2.226030341,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,continuation_splg,2,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,c4119feb10f31f01d4c4bbc7cdee863cb200acd3ed25950cb7c6db84f8c21e75,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat2,737c19a918343ae204f85dc4d37ab5f2285ccf94b2bf5b0ad0060959126fd6eb,5dea8b5e2d5dce5ae7aeb1f3d7381943c5ab0da862312a67db3b4e05c980f094,4b4984e666efe9c281fd54dcab73ba98a14bf97a57f38e56c6954f8a949e7b70,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.014038189,2.226617869,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,continuation_splg,3,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,812eb187a39058d3e2b4def7b4cf2ce33eae70b24e45bb72a35d8352bc40e0dc,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat3,e68a7e35c3c43af6800b40845a04a6d5f6d6c1b3f52b50f02945e699e2e0e91c,e7c6fc41b36172eef1fdc893d5abd957794a9f4faa80f7b64ee533dfd4d77cb0,f62d94ef3d3494c35307d6ed12a6edf8f948496ea41256be9ba4eaa3179e8ced,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013919468,2.226499148,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,matched_gftt_for_continuation_splg,1,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,d0f5af231d92ec91fdc1af9cb7e2d05b1e09d7989b2b3cb45fdee0c316b4489f,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/matched_gftt_for_continuation_splg/repeat1,1cc2c0a7a8fb09a1a339cf051587bea4fb144e64ea7bcb9a51079b08b942e902,81c839ead670e3046c5285b4d2cbf63339852f1780f23ccc7e815e857a89cb21,cd6731dc5bbf2961e795147d2da4ad54ed33c79c5a75e9db6c51a3c126f55d31,fff1c1a829024d7a8c89a6758a08ccedfb0bc76e9051461da5351de1744a098f,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013340877,2.225920557,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,matched_gftt_for_continuation_splg,2,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,09d6c9a330d394ab8409b24d6aea546d686c4e8e6332427d955d54d9e7178cdb,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/matched_gftt_for_continuation_splg/repeat2,d4c8f6c7538a3e0942c172f76d938c3c2a62fee6ce2d8140b6d43b51307bfe59,7c073944e9038059815ddb6a6df5c58402e65fa23cc58c62c5d5cdc2611caa48,608397ee70042eb548f9a2c3f895fa7dd126003e8f277bce9a0901fd1ca84ab9,fff1c1a829024d7a8c89a6758a08ccedfb0bc76e9051461da5351de1744a098f,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003561865,2.216141545,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,matched_gftt_for_continuation_splg,3,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,69a80fbebf90142ad1a396d03a4555cc0451ed38e9d5f5aa534a6511d0707e00,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/matched_gftt_for_continuation_splg/repeat3,f5a469380e9a471f2adf8732d0386cbcffd16dfb4b28ccbffeb96fce874aefd0,7323d17d86d16af0480775885dbacda5d2febe8c8a85a74e35d03f25d0e44ff8,672dafc176f0e45e6107b5ecf14acd3a5b7ab3252248a14baabc8221f13ee5c6,fff1c1a829024d7a8c89a6758a08ccedfb0bc76e9051461da5351de1744a098f,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.003567653,2.216147333,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,continuation_xfeat,1,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,a6e3b14dd658783f3dc551839ff2c12e9654b48301e64f6b8b4fbf56384b6f1e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_xfeat/repeat1,2f344d28d71a2fbdbe312f36161804de4b4c55e2e6d8e8b62f49077d11636463,a15f6104f9018e40a7af8c668f8faa67cff847e165ece0b7fd742bc60185d343,b05bc3f4361644ded4eb8970e1fddb730752bcdfa2665dd53b1728cc03e88ee2,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013500017,2.226079697,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
a02_0_900,continuation,continuation_xfeat,2,0,papers/frontend_admission_continuation_v1/backend_replay_plan.csv,cce7a8accc4524f4579b2e1e69ea212b71a0cdc07898193908fa2d5576b43ebd,PASS,f2d44b8ae77ac3068a08506d6ab4c8252014e9079e125ea7dc70dffe2936ffac,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_xfeat/repeat2,bfd00ec81c29720e2297a80fb6792142136eff3ed500ff54279c9f1a5349a428,3baf65333ec5d4cf87ee8f8ee78e225cdc5c28229ac931506e8c9d9ccf262f12,548f59cdf93dfb2a5a19c64324b7b31956bb628752015edce7d24e55cb13e88d,8973fddc448f8c56558884b4ce5bb625906f367a4a73f379b473770460fcaad0,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1542828791787420320,1542828793786838784,1.999418464,1542828794.013718190,2.226297870,46,1,0,0,,,,,,5,30;32;34;36;38,3,40;42;44,4,25;26;27;28,9,29;31;33;35;37;39;41;43;45,Unknown
