comparison_id,window_id,run_slug,learned_arm,role,repeat,common_poses,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_rpe_rmse_m,sim3_scale,sim3_ape_rmse_m,sim3_rpe_rmse_m,max_evo_abs_diff_m
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,klt,1,38,37,1242.140001754619,150.84681657767342,0.0014739942969592388,1.270550508490756,0.22450232892594446,4.915092439716773e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,klt,2,38,37,1242.1754228335499,150.84929442809477,0.001473958048279864,1.2705402225068914,0.2245001479064606,4.2809477918126504e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,klt,3,38,37,1242.1231095425812,150.84187605814932,0.0014740218151768122,1.2705370202933461,0.2244991384081729,4.5741876419924665e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,learned,1,38,37,0.641289655973182,0.06144584317852125,0.7775991712430103,0.06742121513912458,0.019120557295266627,4.4270473337215677e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,learned,2,38,37,0.6403738788183057,0.061375811303053404,0.7778431305563457,0.06719936597179565,0.019087624193150257,3.7580684974364287e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,learned,3,38,37,0.6415243767993554,0.061445065994065275,0.7775439924869617,0.06775568035447366,0.01918726079740577,3.767993553838167e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,matched,1,38,37,1.6531356994411754,0.16633575454542432,3.842986542676306,0.1436937381952703,0.04111693349057415,3.005588244953117e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,matched,2,38,37,1.6511907916117627,0.1661638135204005,3.8299377984991514,0.14423016403338162,0.041158072653432506,2.0838823733271283e-07
a09_6000_6800__continuation_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,continuation_xfeat,matched,3,38,37,1.6530139548564893,0.16632289884003965,3.8421952137171322,0.14362030682810056,0.04109762428707999,3.7571292001159495e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,klt,1,42,41,0.1421936169303306,0.022696850881355115,0.8978957777649939,0.06063582608904235,0.0173288345382067,3.8306966937406983e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,klt,2,42,41,0.14105240870678118,0.022691012529205763,0.8988558486180727,0.06081131355074098,0.017410635349040866,4.087067811686662e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,klt,3,42,41,0.14131658509253395,0.022702110726377272,0.8986341516692359,0.06077367332004901,0.017402114901302543,4.1490746605088447e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,learned,1,42,41,0.9539749900234521,0.08899511713606136,0.5428552513206867,0.03028072173953407,0.017074649601712472,3.503982875276146e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,learned,2,42,41,0.9796352423294767,0.09162918812484747,0.5362615004896143,0.03354291095619321,0.017808870161161016,2.4232947670732585e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,learned,3,42,41,0.9792354211183302,0.09162275771465543,0.5363633845566569,0.033655871437826,0.01783396955010155,4.21118330207193e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,matched,1,42,41,1.1074828163166797,0.10479497429225958,0.5056342437184492,0.05241516934418553,0.0192892036662303,2.0366623030079745e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,matched,2,42,41,1.1090441420978532,0.10476095653872243,0.5052810996237264,0.05197044702711339,0.019151891396764785,4.4702711338856504e-07
a02_0_900__continuation_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,continuation_xfeat,matched,3,42,41,1.110095862959292,0.10486086019445755,0.5050436906760734,0.052096232290353886,0.019165811014787676,2.3229035388261376e-07
