window_id,run_slug,cell_id,source_arm,backend_role,repeat,receipt_identity_pass,init,pose_count,trajectory_span_s,reference_pose_count,reference_span_s,coverage,repeat_status,failure_class,feature_bag,feature_bag_sha256,canonical_config,canonical_config_sha256,vio_csv,vio_csv_sha256,vins_log,replay_receipt
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,2,True,PASS,440,43.893621445,46,44.993649721,0.975551477,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a08_2700_3600/vins_same_backend.yaml,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat2/vins_output/vio.csv,e3aac8856c5563cd1a8edd15f6c6a77e23bb257307fe01e46645a0ca2f15e1a8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat2/replay_receipt.txt
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,3,True,PASS,440,43.893621445,46,44.993649721,0.975551477,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_gmrv2_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a08_2700_3600/vins_same_backend.yaml,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat3/vins_output/vio.csv,a9eef285a268da425960f240dcff901b7f879413cf6f48f137a9cd58c9e30fe3,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/a08_2700_3600/klt/repeat3/replay_receipt.txt
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,1,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_cemetery_s135_d045_klt/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_cemetery_s135_d045/vins_same_backend.yaml,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat1/vins_output/vio.csv,7fca19ba9afbce304731b9656b07f0a890557aa93a0138a2c2164f93db756db8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat1/replay_receipt.txt
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,2,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_cemetery_s135_d045_klt/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_cemetery_s135_d045/vins_same_backend.yaml,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat2/vins_output/vio.csv,d7fe3ce3733a76f4520f5d5c8de7e16882fc40d704f636411e394bc5d4b29827,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat2/replay_receipt.txt
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,3,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/afrl_cave_v31/external_klt_every2_gmrv2_afrl_cemetery_s135_d045_klt/features.bag,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/afrl_cemetery_s135_d045/vins_same_backend.yaml,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat3/vins_output/vio.csv,bcf9a2441dda935ae74b25468baf390c83ebeb12927663e551f02425ff4f69d2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/afrl_cemetery_s135_d045/klt/repeat3/replay_receipt.txt
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,1,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_real_vins/external_klt_every2_gmrv2_h07_0_1000_klt/features.bag,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/h07_0_1000/vins_same_backend.yaml,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat1/vins_output/vio.csv,76796d48c9a676ffca620f231afb8fda0678b72ffbad8f28b90bb1cb20f28d67,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat1/replay_receipt.txt
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,2,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_real_vins/external_klt_every2_gmrv2_h07_0_1000_klt/features.bag,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/h07_0_1000/vins_same_backend.yaml,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat2/vins_output/vio.csv,0d677ec1de5e49b56f92071c4aa90aa99cee87b329decda15a5aa526a094a233,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat2/replay_receipt.txt
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,3,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/shadow_root/logs/aqualoc_real_vins/external_klt_every2_gmrv2_h07_0_1000_klt/features.bag,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/h07_0_1000/vins_same_backend.yaml,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat3/vins_output/vio.csv,4385475de11dd69d6c0a9aa044bdb8f70df2258cf2a5214f54c82b7c143a2852,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat3/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_replays/h07_0_1000/klt/repeat3/replay_receipt.txt
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,continuation_splg,learned_active,1,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/features.bag,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat1/vins_output/vio.csv,633c24e8a4eed2f31b4911017382dada8c61c955fc8dcfadcc0ec3e52bb431ce,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat1/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat1/replay_receipt.txt
aqualoc_archaeology:A02:0000,a02_0_900,continuation_splg,continuation_splg,learned_active,2,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_acv1_a02_0_900_continuation_splg/features.bag,52766b961162d8179016dfdce508b1e758eabbc05aa45ef98ba648965ea38d3c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_coverage_monotone_router_v2/backend_canonical/a02_0_900/vins_same_backend.yaml,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat2/vins_output/vio.csv,5dea8b5e2d5dce5ae7aeb1f3d7381943c5ab0da862312a67db3b4e05c980f094,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat2/vins.log,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_admission_continuation_v1/backend_replays/a02_0_900/continuation_splg/repeat2/replay_receipt.txt
