window_id,run_slug,role,cell_id,repeat,execution,receipt_identity_pass,init,pose_count,trajectory_span_s,reference_pose_count,reference_span_s,coverage,repeat_status,failure_class,feature_bag_sha256,canonical_config_sha256,vio_csv_sha256
afrl:bus_outside:0004,afrl_bus_s180_d045,B,klt,2,REUSED_FROZEN_V2_REPLAY,True,PASS,267,42.405874968,564,44.87851524353027,0.944903697,PASS,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,665015fb8cfbb447f03b1b515924caaedfa9f1cde7ca79e5335f327dc02b7a6c
afrl:bus_outside:0004,afrl_bus_s180_d045,B,klt,3,REUSED_FROZEN_V2_REPLAY,True,PASS,267,42.405874968,564,44.87851524353027,0.944903697,PASS,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,665015fb8cfbb447f03b1b515924caaedfa9f1cde7ca79e5335f327dc02b7a6c
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,donor_delete_only,1,NEW_POSITIVE_DELETE_REPLAY,True,PASS,267,42.40587496757507,564,44.87851524353027,0.9449036969574955,PASS,,eabbccc1b9e28124fa53b94d53ab632a65ea1d48da3c4ea968813dbc5f7bafdb,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,7a69b2fec485f43decb61168d7a577856fcd19fceb0d7b3c4024d4a8ce16c4bb
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,donor_delete_only,2,NEW_POSITIVE_DELETE_REPLAY,True,PASS,259,41.13063287734985,564,44.87851524353027,0.9164882718190923,PASS,,eabbccc1b9e28124fa53b94d53ab632a65ea1d48da3c4ea968813dbc5f7bafdb,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,ca83868a69f057dd86cd9ed8787d90f8542d91e0d4257fe2683ef18553b97a86
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,donor_delete_only,3,NEW_POSITIVE_DELETE_REPLAY,True,PASS,259,41.13063287734985,564,44.87851524353027,0.9164882718190923,PASS,,eabbccc1b9e28124fa53b94d53ab632a65ea1d48da3c4ea968813dbc5f7bafdb,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,da97418ab95723e1e109530933d919f6f5ca74da567b518bb3b4420459fdcae0
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,router_xfeat,1,REUSED_FROZEN_V2_REPLAY,True,PASS,267,42.405874968,564,44.87851524353027,0.944903697,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,router_xfeat,2,REUSED_FROZEN_V2_REPLAY,True,PASS,267,42.405874968,564,44.87851524353027,0.944903697,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,router_xfeat,3,REUSED_FROZEN_V2_REPLAY,True,PASS,266,42.246708155,564,44.87851524353027,0.941357082,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,982c3be06e93d27f0471f60807bc04582281aceeddfbfa6b2e029afece9ad9ed
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,matched_gftt_for_router_xfeat,1,REUSED_FROZEN_V2_REPLAY,True,PASS,266,42.246708155,564,44.87851524353027,0.941357082,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,06ab4d8eed9479c11a3545bff5f2b2aad05cc4da5dfbb5cfa6d8d6b43c3e72e4
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,matched_gftt_for_router_xfeat,2,REUSED_FROZEN_V2_REPLAY,True,PASS,267,42.405874968,564,44.87851524353027,0.944903697,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,matched_gftt_for_router_xfeat,3,REUSED_FROZEN_V2_REPLAY,True,PASS,266,42.246708155,564,44.87851524353027,0.941357082,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,1f46016baf1add9cc4706e7bd73c88190b999e17697a19b2f9693dd58c6677eb
