run_id,status,run_dir,receipt_sha256,poses,init_log_count,actual_process_identity,wall_s,first_header_ns,last_header_ns,output_span_s,input_feature_span_s,coverage_span,received_frames,received_observations,received_sha256,solver_pose_headers_exact,max_raw_position_norm_m,solver_calls,iteration_entries_min,iteration_entries_max,solver_at_or_above_budget,telemetry_sha256,load1_min,load1_max
historical_anchor,COMPLETE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a08_2700_3600/B/repeat1,f0ac8e49d837c33749faff11999520d6868901e563090e7a1d40418fd68caa6f,440,1,Unknown,65.45909827100695,1542885097172932864,1542885141066554112,43.893621248,44.8928804397583,0.9777412546940666,450,157500,699e3246f21c585c65a8686dcf815d3beb7834b14bb90ffb3fb5c585901f4197,True,3.666899892879542,440,2,9,189,,,
new_r1,COMPLETE,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a08_controlled_repeats_v1/backend/a08_2700_3600/B/repeat1,141f8fcef8cc857450e8088d28ff7193b46e396da062e659e13ac73274c55d70,440,1,PASS,65.54958661203273,1542885097172932864,1542885141066554112,43.893621248,44.8928804397583,0.9777412546940666,450,157500,699e3246f21c585c65a8686dcf815d3beb7834b14bb90ffb3fb5c585901f4197,True,3.3112749529297623,440,3,9,168,6b63b43ffb40050ebf6c102fb3d671b71b414227bd0c826a8cd0c6ef5ff188f0,2.0,2.8
new_r2,NOT_STARTED_RESOURCE_OR_BLOCKED,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a08_controlled_repeats_v1/backend/a08_2700_3600/B/repeat2,,,,,,,,,,,,,,,,,,,,,,
new_r3,NOT_STARTED_RESOURCE_OR_BLOCKED,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_a08_controlled_repeats_v1/backend/a08_2700_3600/B/repeat3,,,,,,,,,,,,,,,,,,,,,,
