arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,43,42,0.06269269136674967,0.05182906253823011,0.031228629860555246,0.0061733374212376655,1.05263575596845,0.035117987711418296,0.023603677182400244,0.03095142866800242,0.007081593087781045
B_r2,43,42,0.15295304546547686,0.14918940994937743,0.03359597914354518,0.013623179723988427,1.1664848616855599,0.03776086877914094,0.026073008447879333,0.031118659761236348,0.007497019507320398
B_r3,43,42,0.14762646339229588,0.1437027940300671,0.03342382991244792,0.013292351986511613,1.1593128870425151,0.03777807863218673,0.026050753746790636,0.031126866835882755,0.007509160686889522
L6_r1,43,42,0.6956574427633784,0.6257517042382312,0.06942134014704775,0.06418948003195973,3.0189998464272887,0.04153465798534031,0.03049110076568487,0.03197369265970402,0.007489203715591437
L6_r2,43,42,0.6938731581046333,0.6241520629004357,0.06927815982254289,0.06402074838098624,3.0033997716242364,0.04150443733421111,0.03043184395556582,0.03196835073841132,0.00748531350691185
L6_r3,43,42,0.6955535393749039,0.6256475047611595,0.06941144672349972,0.06418190321753259,3.0180939252387997,0.04150892961215658,0.030481824437838693,0.03196413249552719,0.007497886485192343
L-all_r1,43,42,0.5480411497095975,0.49564249305915187,0.05765905603311389,0.05008593408436057,2.110861181911927,0.04188661743630315,0.030139075217414636,0.031433156064450775,0.007552841340359696
L-all_r2,43,42,0.6363238236605211,0.5728187307653996,0.06473425981150596,0.05882245040901915,2.575148113849899,0.037203461457402706,0.026327495705364433,0.03143539414807074,0.006876338246791449
L-all_r3,43,42,0.5436818517367561,0.49148571475256964,0.05738852937095374,0.0497189879597314,2.092618966186439,0.04036337106374703,0.02857858596748892,0.03134589983298721,0.007699943293955162
C-all_r1,43,42,0.12348052372724995,0.11895157712642976,0.032522083885611605,0.010587169737997495,1.1278344274528094,0.03730415545223288,0.025168375026064893,0.030938749840309258,0.006689634865911441
C-all_r2,43,42,0.12462262363640828,0.12029861598616913,0.032547824900859716,0.010702585047017935,1.129375575428092,0.037113037475927785,0.025127840349840502,0.030922991069623977,0.006694979338991632
C-all_r3,43,42,0.12912573745833283,0.12509907686532257,0.032689065142352404,0.011092466900080939,1.1351800995390045,0.03713733862388344,0.025277194276594524,0.030929214987365724,0.006745183721663474
