frame_index,timestamp_s,trigger,trigger_reason,k0_count,k0_grid_coverage,k0_median_fb,degradation_score,valid_models,learned_eligible,classical_eligible,learned_added,classical_added,learned_alive,classical_alive,master_pool_hash,classical_pool_hash
140,1652274617.7850366,0,NO_TRIGGER,350,0.9166666666666666,0.005711668636649847,0.04070446892233459,F;H,5,12,0,0,5,12,67136fb13758d6930724a78ad6c1ca6fe6342f0e7e0d10b29e507f4cc311b5cf,6448def21ec377da0f09bd3cdddfa30f814ae43f2859748cded17aed1f44c34f
141,1652274617.8354912,0,NO_TRIGGER,350,0.9166666666666666,0.004944224841892719,0.040583250852098685,F;H,5,12,0,0,5,12,17475316d0162b3d97e82ecc8a90d8e46121caa27d22f8c5e3e27c1aa538dcdc,8ea05e05d2104ad489222d54623750c3ed139f4c804a9951aa560e0516a1631d
142,1652274617.886422,0,NO_TRIGGER,350,0.9166666666666666,0.005373488180339336,0.04030302887561277,F;H,5,12,0,0,5,12,1984917854c4563b119f3f47ca6fda877ed1d9cadd23cef10f49160ddace2cf2,ed967e1cd9a7550a74adf1cadb8bf3ea21c9294b0167c3df0ea9088b6af60b6e
143,1652274617.9361446,0,NO_TRIGGER,350,0.9166666666666666,0.005189045798033476,0.04036555084826898,F;H,5,12,0,0,5,12,a2b31696bafaac5a51ae0bab84a913378153d32089fe451e099eebd8ece940f2,a2f0feb18d9abd469aeff077518e694b2b1e59f4c8dcf199b6564937f17aa7c7
144,1652274617.9853978,0,NO_TRIGGER,350,0.9166666666666666,0.005503994878381491,0.04015285950903791,F;H,5,12,0,0,5,12,c90f9367144a71c1fb3b169308f682e591b3dee92983a74fd15ff378e9b30cd9,d2ced95db377deaa2f354be5ba40980e42337736134ff9daddd51f36b3819ef2
145,1652274618.0352483,0,NO_TRIGGER,350,0.9583333333333334,0.005156567320227623,0.03980310345818028,F;H,5,12,0,0,5,12,b0cdce502c6419e53d07f3c5ae1eef839c178f4312b9a5ebbb52c7f4f9f979b6,91470a46413aa26819a45e73363e42d6970e022610f730bb4183b44f2d8e9b47
146,1652274618.0852785,0,NO_TRIGGER,350,0.9583333333333334,0.0055877696722745895,0.039614552217371424,F;H,5,12,0,0,5,12,b86fae8322e6f8edaf64f1beeddc8c07bb515f39622971cfb2d2d24975215201,9e4930bea4dfbc3f97d6a6b16886b22ae6ee5d94520da81dea0f44b7d7280c3e
147,1652274618.1352894,0,NO_TRIGGER,350,0.9583333333333334,0.006246304605156183,0.0395461236213237,F;H,5,12,0,0,5,12,71b9132dad5d4b2b29a4869a45cabf961aae8701899a50ebd68c8f0be2fe1534,4f4dca431015c4ba79b1e5d33dd94577b8b61cdb0907b11a1b2753b9b70bb648
148,1652274618.1853604,0,NO_TRIGGER,350,0.9583333333333334,0.006718767806887627,0.03954257975260411,F;H,5,12,0,0,5,12,50d5aa709625cb5d6122b8c5eebcda0941c888461d6b6d69e511486423c97f90,eeacf7a99e081b1fd368181621eaf04b4c18ec3c8792fceb20608d5774e68b15
149,1652274618.2352302,0,NO_TRIGGER,350,0.9583333333333334,0.007164680399000645,0.03960228051279113,F;H,5,12,0,0,5,12,f27dca5394f95a20f9aa9f6fd3e3db06f6a08b941d951a271226ddf07ffa5102,356e96186ea7db3d880ffba91006b10b47671b4dbadca742f58617a51801bd80
