window,arm,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,max_evo_abs_diff_m
a09_6000_6800,klt,3,38,37,1234.1315792872176,1230.939397182–1296.253955078,150.0564940756865,149.678914581–156.964955501,0.0014824091384514498,0.001414698–0.001486272,1.2725341161801986,1.266505953–1.272577223,0.22481342579506627,0.223798368–0.224826604,4.989762771856476e-07
a09_6000_6800,persistence_replace,3,38,37,0.732646324669052,0.731065935–0.732827743,0.07350139320592254,0.073436536–0.073552540,0.7531240215429734,0.753080959–0.753526451,0.047711269264735734,0.047673474–0.047924918,0.01847907328699943,0.018455280–0.018502963,4.737916730196412e-07
a06_s045_d045,klt,3,42,41,0.25771463408599476,0.257678790–0.257755440,0.031055992115549422,0.031042676–0.031072808,0.8246581863408378,0.824637683–0.824678168,0.041092055500094676,0.041084584–0.041126148,0.013502519883848586,0.013487170–0.013526896,4.801161514137592e-07
a06_s045_d045,persistence_replace,3,42,41,0.21276905128254417,0.212760288–0.212828957,0.02498581669617741,0.024984676–0.025003237,0.8542076082667563,0.854168830–0.854211163,0.06015799229570175,0.060150263–0.060161832,0.015526312135837468,0.015525583–0.015538055,4.171859311376258e-07
a06_s000_d045,klt,3,40,39,2.6427389543053867,2.519547153–3.024572640,0.33859072809666557,0.319098695–0.350611139,1.855541867060204,1.495932741–2.230143293,1.642184977056467,1.554689176–2.044720850,0.3194155631917962,0.308089866–0.377977724,4.3680820377423046e-07
a06_s000_d045,persistence_replace,3,40,39,130.6512519968869,2.520330733–132.501115446,15.802498355347804,0.352470132–16.027494656,0.029458333313577736,0.029082798–1.470966639,2.8556558464770103,2.085123464–2.860334975,0.5446715208249341,0.380892590–0.544763200,4.79175065959403e-07
h07_s000_d050,klt,3,48,47,1.2296692243162102,1.221195057–1.323481852,0.21984797092151956,0.211111511–0.257197907,0.7396155232661914,0.722400904–0.740596232,0.7720410884687008,0.763522899–0.819356255,0.15847430385829867,0.153716262–0.185711799,4.893098185521083e-07
h07_s000_d050,persistence_replace,3,48,47,1.2296692243162102,1.221195057–1.323481852,0.21984797092151956,0.211111511–0.257197907,0.7396155232661914,0.722400904–0.740596232,0.7720410884687008,0.763522899–0.819356255,0.15847430385829867,0.153716262–0.185711799,4.893098185521083e-07
