run_slug,arm,weighting,frames,logdet_gain_n,logdet_gain_min,logdet_gain_p10,logdet_gain_median,logdet_gain_p90,logdet_gain_max,logdet_gain_mean,trace_gain_n,trace_gain_min,trace_gain_p10,trace_gain_median,trace_gain_p90,trace_gain_max,trace_gain_mean,min_eigen_gain_n,min_eigen_gain_min,min_eigen_gain_p10,min_eigen_gain_median,min_eigen_gain_p90,min_eigen_gain_max,min_eigen_gain_mean,weak_direction_gain_n,weak_direction_gain_min,weak_direction_gain_p10,weak_direction_gain_median,weak_direction_gain_p90,weak_direction_gain_max,weak_direction_gain_mean,condition_change_n,condition_change_min,condition_change_p10,condition_change_median,condition_change_p90,condition_change_max,condition_change_mean,individual_logdet_median_n,individual_logdet_median_min,individual_logdet_median_p10,individual_logdet_median_median,individual_logdet_median_p90,individual_logdet_median_max,individual_logdet_median_mean,nearest_KLT_row_cosine_median_n,nearest_KLT_row_cosine_median_min,nearest_KLT_row_cosine_median_p10,nearest_KLT_row_cosine_median_median,nearest_KLT_row_cosine_median_p90,nearest_KLT_row_cosine_median_max,nearest_KLT_row_cosine_median_mean
a02_0_900,L-all,original_q,448,448,0.013925003242100331,0.16123653517302614,0.5519678068196772,3.8599162544903414,5.748309471182328,1.3568309185267695,448,3.9425534157407784,20.785987763418778,52.559574872224076,507.19567309322787,1184.3904821754513,159.94888989751163,448,0.0017564851003748494,0.07114265022789433,0.30544915355304836,2.069622434041023,3.9842965522198868,0.7224242980972668,448,0.0017676023238543549,0.07267982061321233,0.3410830873603007,5.23104893520606,19.708487364844814,1.8189384025381166,448,-310.6368093210059,-185.70789094943564,-48.18291578614645,-9.304128466646743,0.5881049112859955,-77.67869242828026,448,0.013925003242004281,0.028032400360859924,0.04986861962869371,0.14769157229468022,0.33964575598257213,0.07202364177061048,448,0.92104431579251,0.9837000850280211,0.9977744519349283,0.9995368325188432,0.9997826778703836,0.9933865885925631
a02_0_900,L-all,unit_q,448,448,0.014703104993618155,0.16880507730859265,0.5748315215382096,3.9344380137732045,5.833909675636221,1.391832779453513,448,4.422095669821987,22.878430751320845,58.38472703892231,552.6478604766662,1291.4886203806304,175.21270733119465,448,0.0019246422228618165,0.07922421854544578,0.33752909128004593,2.2525382675583416,4.286431766499195,0.7862081745517285,448,0.0019375390087688895,0.08067470271057561,0.38400988457507157,5.710895589125023,21.606971906867283,1.9993880091324348,448,-310.81352295624106,-185.7803460145248,-49.8074053531204,-9.789692040714893,0.7521404942801837,-78.51499350665556,448,0.014703104993578601,0.029476186372331365,0.052326135600913495,0.15232559607139742,0.34927526033190126,0.0749704753372693,448,0.92104431579251,0.9837000850280211,0.9977744519349283,0.9995368325188432,0.9997826778703836,0.9933865885925631
a02_0_900,C-all,original_q,434,434,0.008877067385824944,0.034955426816774,0.10268551650941404,0.2196411145669735,0.6284866489340573,0.11770049157822983,434,3.221323273705877,5.8668170762155185,17.01689849421831,30.839920360291362,76.47120182075926,18.1789903389243,434,7.666658809113436e-05,0.012510234442120271,0.04858253575583815,0.11496375311498949,0.28634500289477893,0.058744714026863216,434,7.771104161530696e-05,0.012619426564882576,0.049550363975374094,0.11857202566306958,0.3319674516377053,0.0603380248919581,434,-48.518450745679786,-18.331491703423495,-6.442210563388045,-1.0743272361400504,4.226619926591411,-8.379995614142556,434,0.008877067385802554,0.016759090076539744,0.025733785153189394,0.03899346063303917,0.16665200152619514,0.02799964766013768,434,0.9684877100232459,0.9983378099109083,0.9995092977761683,0.9997001728665175,0.9998102677885463,0.9990248425031378
a02_0_900,C-all,unit_q,434,434,0.009978675770042855,0.041211687248202726,0.1191156823516426,0.25220930956686766,0.6860308850054793,0.13576619528402567,434,4.0266540321305255,7.198221343238715,20.47293352179709,36.90426065977898,95.58900085156198,22.162533664246805,434,0.00010128012625143512,0.01513770543347781,0.05980439444874053,0.14141475374446574,0.34683910149846753,0.07180604970521344,434,0.00010324684010960209,0.015308846938065307,0.06076874486942453,0.14683610254360338,0.3951372799077926,0.07402627544359454,434,-55.111919845031366,-20.81128535729704,-7.295846929911818,-1.2192030328241574,4.791855308875938,-9.546325441704782,434,0.009978675769979736,0.018934934214929932,0.03006601171282374,0.04531626262647065,0.19649103193031286,0.03250540873196686,434,0.9684877100232459,0.9983378099109083,0.9995092977761683,0.9997001728665175,0.9998102677885463,0.9990248425031378
a08_2700_3600,L-all,original_q,447,447,0.00813618991691456,0.10399738626952412,0.3042278349646139,1.7961992450772246,3.807739302768905,0.6142726302528663,447,3.890737715631433,17.20004622124574,46.26672364132532,313.2880369890747,789.154969053636,101.06662612883665,447,7.483136988462036e-05,0.057267297193445185,0.19449114338504847,1.2711218060940361,3.239039084392236,0.42620029643482327,447,7.636795852188527e-05,0.0578375585350739,0.20701428142241146,1.6146026399606426,5.933102803090181,0.5334275716868221,447,-137.8636195202155,-46.02406043947229,-10.514781510926753,-1.9112584797151269,2.5143740157011507,-19.246381447936553,447,0.008136189916926549,0.018572791259319488,0.03179822628441093,0.05235806563598084,0.11859429806157604,0.03478887285319003,447,0.9888175102398318,0.9979539070294239,0.9993155678291498,0.9996551650215642,0.9997802933373614,0.9989357270639998
a08_2700_3600,L-all,unit_q,447,447,0.008625639688258246,0.11037941695472071,0.3244631589648357,1.8521351566009197,3.9255414273848004,0.6403158906680577,447,4.2544958510745445,19.032692956493808,51.12003663696839,344.32762641506963,861.2208572771137,110.89645416589143,447,8.40360071228119e-05,0.06265431985374423,0.21637888749501277,1.3786590667372203,3.5145806173122693,0.4659051988472431,447,8.583925468251931e-05,0.0646233400409752,0.22840414108681545,1.7626074887057646,6.522327945069415,0.5860915712621378,447,-138.46895541437803,-46.67556781802563,-11.071316661936066,-1.9646929455019446,2.631140340544448,-19.773358214279597,447,0.008625639688214415,0.019575640342535474,0.03356420051041762,0.055606373986335667,0.12677796387206042,0.03672379507326785,447,0.9888175102398318,0.9979539070294239,0.9993155678291498,0.9996551650215642,0.9997802933373614,0.9989357270639998
a08_2700_3600,C-all,original_q,445,445,0.007644518491858321,0.05128958218573558,0.14289713909608537,0.2614367323728097,1.9911800483862798,0.1723212434235914,445,3.3323010544665905,10.903291225979228,26.748823405916045,48.829484361745905,358.16237997013593,32.45990805886473,445,0.0003783225108513477,0.023701960472433652,0.08967136726500691,0.21810909733681366,1.4559030443174237,0.11996999773717457,445,0.00038069178757521517,0.023886749609768134,0.09116976469493865,0.22261964315700694,1.8433346618679927,0.1249959565019325,445,-94.24819954675542,-12.491172323823525,-4.349354225961292,0.2454981578095392,2.6817806754739877,-6.017911856968481,445,0.007644518491832709,0.012960264758142624,0.02283162193690794,0.03552067641916328,0.09088402154676008,0.02404952090616416,445,0.9900871682750395,0.9987997385644798,0.9995311565009195,0.9997065952277606,0.999784649184742,0.9992785999019268
a08_2700_3600,C-all,unit_q,445,445,0.00913741827514869,0.06109295414177822,0.16601004844858736,0.30736446551867835,2.1601085963115594,0.1988901715600909,445,4.165376256014294,13.465073081115381,32.73418606977902,58.80782645571678,413.35515352092835,39.144908402373396,445,0.00042423752999454223,0.02852989251308653,0.10893836350765573,0.2647932204805613,1.6577216368774974,0.1448204085437083,445,0.00042715870214489525,0.028858031029522068,0.11127577066070693,0.2738421002852901,2.1249143224573563,0.15147643229967123,445,-99.60245540890449,-14.429352816367702,-5.0061867060128975,0.2866652078548337,2.9833360569662943,-6.847589286054619,445,0.009137418275119016,0.014880906918724726,0.026541594680178172,0.04233921235768303,0.10916571551816942,0.02799716796142871,445,0.9900871682750395,0.9987997385644798,0.9995311565009195,0.9997065952277606,0.999784649184742,0.9992785999019268
a09_6000_6800,L-all,original_q,368,368,0.009285143848842381,0.042311019496112226,0.17779432644347892,0.5495398984767518,2.1434912775299964,0.2672390839773488,368,3.5387920788706873,6.115083458021992,26.17247998991084,64.6008042491481,390.2260678437605,38.37461989145497,368,7.344524496932792e-05,0.00990847528061012,0.0944220185997563,0.3466180594971729,1.6359634907929288,0.1564478948030238,368,7.413994625728664e-05,0.009988715472827269,0.09730953842649578,0.36522221879887273,2.1888157159359674,0.1683643388164846,368,-144.28411976564269,-53.40938978699407,-11.146027307668959,0.20962504192831447,4.453466341951696,-19.352567251049123,368,0.00896675439327277,0.017805059022518138,0.03491288984767833,0.05859389883948401,0.12557643327718113,0.03704696746560805,368,0.9956380242258486,0.9986254094883564,0.9994079212276615,0.9996712558413696,0.9998319108279621,0.9992165097942975
a09_6000_6800,L-all,unit_q,368,368,0.008806562680270247,0.04110274016865248,0.18276554705178327,0.5617079551704004,2.170915425406829,0.2684778805038871,368,4.040189667433095,6.935523366749365,29.478344893434176,72.49430244567552,428.5869986769442,43.13339762881651,368,7.504889612808263e-05,0.011164165704804718,0.10637964416726486,0.3946523130624703,1.7983553379338675,0.17645558704758585,368,7.574174244925121e-05,0.011262108670427628,0.11031181978623605,0.4172201777995404,2.469807369518727,0.18991442799791458,368,-143.087732865038,-52.68085346563654,-11.263038238902851,0.21231844802175076,4.478826885171031,-19.26378313456866,368,0.008806562680239508,0.017746692117001524,0.03527785896259636,0.05779863371865559,0.12232879875008529,0.03699862976286012,368,0.9956380242258486,0.9986254094883564,0.9994079212276615,0.9996712558413696,0.9998319108279621,0.9992165097942975
