run_slug,arm,repeat,all_four_APE_rmse_m,all_four_RPE_rmse_m,all_four_sim3_scale,first_feature_ns,first_pose_ns,first_pose_delay_s,relative_pose_rejections,alignment_rejections,gyro_calibrations,gyro_delta_norm_max,linear_solver_failure_mentions,linear_failure_line_numbers,init_count,run_dir,log_sha256,receipt_sha256
a09_6000_6800,C-all,3,1242.3638323714583,150.84678068066626,0.0014739027922869487,1542889046071847024,1542889047271770880,1.199923856,0,1,2,0.10439978939945234,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a09_6000_6800/C-all/repeat3,d59bf6d0979d577bafaa780ac20aa92180d9122e09aa92e5cf43861329fc7765,b543118fef30913d3aab30f6b4f501fbce59fc2dce4dfe6f3cb45a8f7b13ffa6
a02_0_900,B,1,0.14445625820555832,0.02114391782847945,0.8843747225203888,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.049595588693048094,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat1,4d81028159bc755de39442a2a1c1ec57a9589fc6748e590e20a39f6d5c80f320,136373012fdd63eb21a7c51fe9c9dbeb66fcddc7e75ae803ff4d213596f59b90
a02_0_900,B,2,0.1438432835069247,0.021081938479309028,0.8848679006378068,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.049595588693048094,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat2,74fcc126274d2210689d3c619fea7f96569ec5266e6e47b8d2677a9c88000274,b5c10d81cf07d155357c68384c2dfbb01af71261620a76fddb6e8788a4371ddd
a02_0_900,B,3,0.14422082718236245,0.021109449975952863,0.8845633782505182,1542828791787420320,1542828794685281536,2.897861216,5,7,8,0.049595588693048094,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/B/repeat3,186f8547749501ae87340278ec622c58cfe10119b99253e80acd66da4f970362,dfa57afa0a7b681ea6a3c5cd267c4cfe99ee9d455037de4eba0a12994265c6a6
a02_0_900,L6,1,0.944678421427728,0.08783962313408465,10.69783341011277,1542828791787420320,1542828796086257152,4.298836832,5,17,18,0.049683556849424534,8,40;41;42;43;44;45;46;47,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L6/repeat1,5779b4b12d9df5677eb3eb1c526aa98a1eb89adc0dfe740c55c13d06e7901658,1d6c5aaffe61ecd1d0fc0667685f48e019437fd93f68f0fb6a0bd4ca3e0978c1
a02_0_900,L6,2,0.9314669111065742,0.08656887521680029,9.418375339188392,1542828791787420320,1542828796086257152,4.298836832,5,17,18,0.049683556849424534,10,40;41;42;43;44;45;46;47;48;49,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L6/repeat2,b426552c2235058ca70c46bd09f6222a4c209b2f5ebefe69d68b9d1ae94e9759,e55500cbcda26dd634f99ae59ce61f957cd27c718e2af9c2e4494d61c492c838
a02_0_900,L6,3,0.9446793542108876,0.08783911084078512,10.697687837229168,1542828791787420320,1542828796086257152,4.298836832,5,17,18,0.049683556849424534,10,40;41;42;43;44;45;46;47;48;49,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L6/repeat3,091b1024a3aa03e50d64757b56e0c131eac88daa8361550eeda8d8d32b8e0660,3e6972874f91338f571c4e0db19b62a84f097f418e9aa2b73e4e6c42bfcd84d2
a02_0_900,L-all,1,0.9948719345646576,0.09277713304814261,22.065198007781465,1542828791787420320,1542828795586263296,3.798842976,5,10,11,0.052002854538092426,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L-all/repeat1,3865adce64316d1aa312d196edf35cac416193bd4ed7b325f0673f53bd85150c,eb7bcce6d87195d5438f70e1e2ea549df8011d64e6f3e9a95133e2f44dd35bc2
a02_0_900,L-all,2,0.9945315744587623,0.09277739442994799,21.91271980138025,1542828791787420320,1542828795586263296,3.798842976,5,10,11,0.05200049716762331,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L-all/repeat2,41ca24af8718fa702b75b9b1a8ca11489fd9540f571fdb009de7153502d0307d,638b1dbc4a61b645088b4c856797983e3b74ebd3eaee07e9579171ad1bd4e22e
a02_0_900,L-all,3,0.4457443390496442,0.04956312506707173,0.7007644964760855,1542828791787420320,1542828797687015936,5.899595616,5,17,18,0.05200035887347317,0,,1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_additive_budget_v1/backend/a02_0_900/L-all/repeat3,16b6129d72bc097ba0771c34bea099331a8fa438a0b26f153d2c9fe84f73aa55,62880c6b11aa170b781f675235918eeeb38e10da90e35fd663dbee003722e1a3
