run_slug,arm,phase,repeat,observation_rows,q_n,q_min,q_p10,q_median,q_p90,q_max,q_mean,age_so_far_n,age_so_far_min,age_so_far_p10,age_so_far_median,age_so_far_p90,age_so_far_max,age_so_far_mean,public_streak_so_far_n,public_streak_so_far_min,public_streak_so_far_p10,public_streak_so_far_median,public_streak_so_far_p90,public_streak_so_far_max,public_streak_so_far_mean,distance_to_KLT_px_n,distance_to_KLT_px_min,distance_to_KLT_px_p10,distance_to_KLT_px_median,distance_to_KLT_px_p90,distance_to_KLT_px_max,distance_to_KLT_px_mean,bearing_novelty_rad_n,bearing_novelty_rad_min,bearing_novelty_rad_p10,bearing_novelty_rad_median,bearing_novelty_rad_p90,bearing_novelty_rad_max,bearing_novelty_rad_mean,jacobian_perturbation_sensitivity_per_rad_n,jacobian_perturbation_sensitivity_per_rad_min,jacobian_perturbation_sensitivity_per_rad_p10,jacobian_perturbation_sensitivity_per_rad_median,jacobian_perturbation_sensitivity_per_rad_p90,jacobian_perturbation_sensitivity_per_rad_max,jacobian_perturbation_sensitivity_per_rad_mean,parallax_so_far_rad_n,parallax_so_far_rad_min,parallax_so_far_rad_p10,parallax_so_far_rad_median,parallax_so_far_rad_p90,parallax_so_far_rad_max,parallax_so_far_rad_mean,displacement_px_n,displacement_px_min,displacement_px_p10,displacement_px_median,displacement_px_p90,displacement_px_max,displacement_px_mean,rotation_compensated_parallax_norm_n,rotation_compensated_parallax_norm_min,rotation_compensated_parallax_norm_p10,rotation_compensated_parallax_norm_median,rotation_compensated_parallax_norm_p90,rotation_compensated_parallax_norm_max,rotation_compensated_parallax_norm_mean,triangulation_angle_rad_n,triangulation_angle_rad_min,triangulation_angle_rad_p10,triangulation_angle_rad_median,triangulation_angle_rad_p90,triangulation_angle_rad_max,triangulation_angle_rad_mean,triangulation_condition_proxy_n,triangulation_condition_proxy_min,triangulation_condition_proxy_p10,triangulation_condition_proxy_median,triangulation_condition_proxy_p90,triangulation_condition_proxy_max,triangulation_condition_proxy_mean,local_motion_residual_norm_n,local_motion_residual_norm_min,local_motion_residual_norm_p10,local_motion_residual_norm_median,local_motion_residual_norm_p90,local_motion_residual_norm_max,local_motion_residual_norm_mean,patch_mean_abs_delta_n,patch_mean_abs_delta_min,patch_mean_abs_delta_p10,patch_mean_abs_delta_median,patch_mean_abs_delta_p90,patch_mean_abs_delta_max,patch_mean_abs_delta_mean,global_corrected_patch_abs_delta_n,global_corrected_patch_abs_delta_min,global_corrected_patch_abs_delta_p10,global_corrected_patch_abs_delta_median,global_corrected_patch_abs_delta_p90,global_corrected_patch_abs_delta_max,global_corrected_patch_abs_delta_mean,patch_gradient_abs_delta_n,patch_gradient_abs_delta_min,patch_gradient_abs_delta_p10,patch_gradient_abs_delta_median,patch_gradient_abs_delta_p90,patch_gradient_abs_delta_max,patch_gradient_abs_delta_mean,per_frame_count_n,per_frame_count_min,per_frame_count_p10,per_frame_count_median,per_frame_count_p90,per_frame_count_max,per_frame_count_mean,added_cells_n,added_cells_min,added_cells_p10,added_cells_median,added_cells_p90,added_cells_max,added_cells_mean,final_public_lifetime_n,final_public_lifetime_min,final_public_lifetime_p10,final_public_lifetime_median,final_public_lifetime_p90,final_public_lifetime_max,final_public_lifetime_mean,final_tracks_ge4,final_tracks_ge10,raw_quality_n,raw_quality_min,raw_quality_p10,raw_quality_median,raw_quality_p90,raw_quality_max,raw_quality_mean,fb_n,fb_min,fb_p10,fb_median,fb_p90,fb_max,fb_mean,ncc_n,ncc_min,ncc_p10,ncc_median,ncc_p90,ncc_max,ncc_mean
a02_0_900,B,all,not_applicable,157500,157500,0.800000011920929,0.9316311538219452,0.9572011828422546,0.9650723397731781,0.9686366319656372,0.9490345334870475,157500,1.0,9.0,51.0,121.0,220.0,58.86595555555556,157500,1.0,9.0,51.0,121.0,220.0,58.86595555555556,157500,5.997709035597651,18.495265292312734,20.83381799915889,27.08663029997766,203.19467013340568,22.4689794279986,157500,0.009219330951357732,0.02940812708205993,0.03456966382621107,0.044493827594143984,0.3199825302084624,0.03668817811110588,157500,0.7071072148457319,0.7324635739639191,0.8895910938161404,1.206919871082139,1.5701939730913141,0.9313137514690527,157500,7.572330153386366e-11,0.045521637977471156,0.2950285621283065,0.7220845976797773,1.2920407121088124,0.34423860405837003,155279,0.6589312103191682,2.4214956184937035,3.5255449801491965,4.465693702483688,20.509280045775345,3.4811902083790285,155279,0.0013612473645805495,0.005414158536437509,0.007503240455269867,0.010229815500347543,0.046896136152771196,0.007676210740111352,155279,0.0011176539657155333,0.004746467608820747,0.006330834310530029,0.007362050084760637,0.028598966456756213,0.006195692011930681,155279,34.97106552206099,135.83295710326598,157.95811908683862,210.68378369708878,894.7314990749855,166.13022007301385,155279,1.7711127402093565e-07,2.495773392023712e-05,8.141871439099242e-05,0.000295418920753906,0.03730357119658362,0.00014006170890613193,155279,0.0,0.0009198784828186035,0.005131930112838745,0.014863252639770508,0.153280109167099,0.006825717363187788,155279,2.651414120480311e-07,0.0008878097061283396,0.004933629007207119,0.014104038756994158,0.15257685157001927,0.006513673200884497,155279,1.341104507446289e-07,0.001149362325668335,0.0064720213413238525,0.0191999673843384,0.314007043838501,0.008828948593240257,450,350.0,350.0,350.0,350.0,350.0,350.0,450,0.0,0.0,0.0,0.0,0.0,0.0,2221,1.0,1.0,68.0,153.0,220.0,70.91400270148581,1718,1685,,,,,,,,,,,,,,,,,,,,,
a02_0_900,L-all,all,not_applicable,116129,116129,0.8682885766029358,0.9101776480674744,0.9200000166893005,0.9200000166893005,0.9200000166893005,0.9173899833672893,116129,5.0,15.0,73.0,197.0,443.0,91.89927580535439,116129,1.0,1.0,9.0,44.0,182.0,17.410629558508212,116129,18.000080571329573,20.277251857589054,44.52192657714025,151.35141308897806,426.96934181251083,68.12574845323398,116129,0.018056379579342443,0.03275239939199055,0.070578983801838,0.22931123884565174,0.6184686548286719,0.10553449712349236,116129,0.7071140200839453,0.7695645350155067,0.9923641947419765,1.4177308939171718,1.6013380279137555,1.0477289292326426,116129,4.4112069666228713e-10,0.02201727327627273,0.17122158877571628,0.5209194317852361,1.3050742859872817,0.2284093243095078,104389,0.5026197676018194,2.239279764694944,3.1823913814029696,4.202036427435204,6.615988664746837,3.196140208347332,104389,0.003030682289895108,0.005208972122760669,0.007357550221005704,0.010011820637659711,0.01543786780227734,0.007465162120984787,104389,0.002561628562069269,0.004515311618315596,0.0057606914112180215,0.006961939289239425,0.008906983690066426,0.005742464661057734,104389,112.27293742894472,143.63929885041017,173.5912340316742,221.46940954845826,390.3770860713144,179.11385475287662,104389,1.2242627988142117e-06,9.719006152106768e-05,0.0004281029361460578,0.001714398236865379,0.006108720038803899,0.0006970893012367554,104389,0.0,0.0004841536283493042,0.0027112066745758057,0.00784313678741455,0.06569838523864746,0.0036258524688756325,104389,4.3439320529525816e-08,0.00048550670760576513,0.002627852062752789,0.007289215747007216,0.054839937085571555,0.0034149140735444923,104389,7.450580596923828e-09,0.0006153583526611328,0.0034524202346801758,0.010162949562072749,0.08041676878929138,0.00468943079216919,450,0.0,195.8,271.0,305.0,318.0,258.06444444444446,450,0.0,3.0,4.0,6.0,8.0,4.466666666666667,11740,1.0,1.0,5.0,25.0,182.0,9.891737649063032,6816,3314,116129,0.11840815842151642,0.5739668250083924,0.7623739838600159,0.8128171563148499,0.8440415859222412,0.7258777315405052,116129,0.0,0.00036906087188981473,0.0013012088602408767,0.005736269894987343,0.9169921278953552,0.004219988425378099,116129,0.6511954665184021,0.8972977638244629,0.964140772819519,0.9889330983161926,0.9992828965187073,0.9515608386157243
a02_0_900,C-all,all,not_applicable,41339,41339,0.800000011920929,0.8343786597251892,0.8643678426742554,0.8738757014274597,0.8781507611274719,0.8578897535710097,41339,5.0,11.0,49.0,149.0,427.0,67.5254602191635,41339,1.0,3.0,20.0,63.0,143.0,27.256997024601468,41339,18.000610343764556,19.083321359407854,24.72744107339032,52.15146278111528,309.7130923580974,31.36667733842662,41339,0.01771563884164824,0.030201613206451716,0.04001174835663849,0.08376564346293947,0.47428728537950454,0.05032730180421159,41339,0.7071633562989277,0.7422102426579699,0.9262126949629983,1.326641477936854,1.5687342105159887,0.9761807099199301,41339,6.91027494145265e-10,0.013628896726392826,0.11116298930416708,0.40002686176181773,1.1831442720571068,0.16674480533967717,39614,0.40741496021962453,2.225435871364373,3.169456360413174,4.2510886346682755,6.391622929431705,3.1996239567856053,39614,0.003294634552772924,0.005079637492815596,0.007044047848823442,0.010248621597712466,0.014975335416385065,0.007333931104550206,39614,0.003004654569359831,0.004580453731904538,0.00583910808369769,0.007058302098751683,0.008349879254633449,0.005816040027736159,39614,119.76360252397602,141.67830865467067,171.2600055137559,218.31974632528892,332.8174609012791,176.777656970734,39614,5.117969982044278e-07,6.982962510190581e-05,0.0002571923992377552,0.000913342047298396,0.00420846907352996,0.0003927409981627246,39614,0.0,0.0006293952465057373,0.003437429666519165,0.009537667036056519,0.062018901109695435,0.00448070331853493,39614,7.324164291722113e-08,0.0005960753842383927,0.0033086356287290453,0.00892409556278996,0.06302112181093816,0.0042133210198672,39614,3.2782554626464844e-07,0.0008219897747039795,0.004547491669654846,0.012632045149803164,0.13883420825004578,0.005936483287621545,450,0.0,61.0,93.5,122.0,132.0,91.86444444444444,450,0.0,0.0,2.0,3.0,4.0,1.8577777777777778,1725,1.0,1.0,15.0,62.0,143.0,23.96463768115942,1286,1030,41339,0.23279044032096863,0.5808509230613709,0.7671741247177124,0.8153705954551697,0.8413166403770447,0.7326156644225366,41339,0.0,0.00027980224695056677,0.000892997719347477,0.0030859896913170834,0.9909343123435974,0.003506396604275251,41339,0.6578088998794556,0.9161681890487671,0.9709490537643433,0.9914984226226806,0.9993011951446533,0.9605223727983517
a02_0_900,B,pre_init,1,10500,10500,0.800000011920929,0.8477391183376313,0.9460475742816925,0.958281296491623,0.9638392925262451,0.9292133207832064,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,17.534829048331908,18.453451000006066,20.39447788646025,28.8111754574053,124.5985748322074,22.598933241909272,10500,0.02436015891384468,0.030297521726771064,0.034434698984888795,0.04811515693944759,0.17608248011558883,0.03770097048408005,10500,0.7071950247160146,0.7330396913856296,0.8584313418776375,1.1012039536668785,1.4999090836546989,0.8904837421998423,10500,7.572330153386366e-11,0.007122819391404013,0.0609569971413742,0.13468817142170683,0.17153553299870836,0.06643763256378273,10081,0.8035149897423117,1.8668769639671234,2.597821258380791,3.334186452854603,4.415105440771019,2.603539572133952,10081,0.002684380425828584,0.004284071816655105,0.006025208679077976,0.008877763078560169,0.013361008449912495,0.006336259260148527,10081,0.00252228871695448,0.0037986025489633287,0.005380042733888657,0.006480440043176946,0.007321398838883378,0.0052700148231063886,10081,136.5871407740271,154.3115888307146,185.87302622349196,263.2553398285496,396.46573907352945,197.30941651051555,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a02_0_900,B,pre_init,2,10500,10500,0.800000011920929,0.8477391183376313,0.9460475742816925,0.958281296491623,0.9638392925262451,0.9292133207832064,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,17.534829048331908,18.453451000006066,20.39447788646025,28.8111754574053,124.5985748322074,22.598933241909272,10500,0.02436015891384468,0.030297521726771064,0.034434698984888795,0.04811515693944759,0.17608248011558883,0.03770097048408005,10500,0.7071950247160146,0.7330396913856296,0.8584313418776375,1.1012039536668785,1.4999090836546989,0.8904837421998423,10500,7.572330153386366e-11,0.007122819391404013,0.0609569971413742,0.13468817142170683,0.17153553299870836,0.06643763256378273,10081,0.8035149897423117,1.8668769639671234,2.597821258380791,3.334186452854603,4.415105440771019,2.603539572133952,10081,0.002684380425828584,0.004284071816655105,0.006025208679077976,0.008877763078560169,0.013361008449912495,0.006336259260148527,10081,0.00252228871695448,0.0037986025489633287,0.005380042733888657,0.006480440043176946,0.007321398838883378,0.0052700148231063886,10081,136.5871407740271,154.3115888307146,185.87302622349196,263.2553398285496,396.46573907352945,197.30941651051555,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a02_0_900,B,pre_init,3,10500,10500,0.800000011920929,0.8477391183376313,0.9460475742816925,0.958281296491623,0.9638392925262451,0.9292133207832064,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,1.0,3.0,14.0,27.0,30.0,14.72,10500,17.534829048331908,18.453451000006066,20.39447788646025,28.8111754574053,124.5985748322074,22.598933241909272,10500,0.02436015891384468,0.030297521726771064,0.034434698984888795,0.04811515693944759,0.17608248011558883,0.03770097048408005,10500,0.7071950247160146,0.7330396913856296,0.8584313418776375,1.1012039536668785,1.4999090836546989,0.8904837421998423,10500,7.572330153386366e-11,0.007122819391404013,0.0609569971413742,0.13468817142170683,0.17153553299870836,0.06643763256378273,10081,0.8035149897423117,1.8668769639671234,2.597821258380791,3.334186452854603,4.415105440771019,2.603539572133952,10081,0.002684380425828584,0.004284071816655105,0.006025208679077976,0.008877763078560169,0.013361008449912495,0.006336259260148527,10081,0.00252228871695448,0.0037986025489633287,0.005380042733888657,0.006480440043176946,0.007321398838883378,0.0052700148231063886,10081,136.5871407740271,154.3115888307146,185.87302622349196,263.2553398285496,396.46573907352945,197.30941651051555,10081,5.400755085185086e-07,2.5003435419046722e-05,8.257374865779727e-05,0.00029830723167747613,0.004702158665551385,0.0001431366618912838,10081,0.0,0.0007262229919433594,0.004066824913024902,0.011571049690246582,0.04705879092216492,0.005301392369002603,10081,1.318830989527342e-06,0.0006731859093207504,0.0038746659623574153,0.010727229852489473,0.047016073340351905,0.004981686241660945,10081,1.2516975402832031e-06,0.0009045004844665527,0.005115598440170288,0.014964312314987183,0.08684217929840088,0.006948540116359218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a02_0_900,L-all,pre_init,1,7921,7921,0.8692846894264221,0.9003412127494812,0.9195688962936401,0.9200000166893005,0.9200000166893005,0.9140729396545801,7921,5.0,7.0,27.0,59.0,77.0,30.596515591465725,7921,1.0,1.0,7.0,20.0,37.0,8.913647266759247,7921,18.0047796993569,20.122019639838882,37.979388164375635,129.62041113315126,282.4492692009897,58.78024946791511,7921,0.022277882676407665,0.032988459016072114,0.05969407395232009,0.1913764395613976,0.3916524168367799,0.08894659588685434,7921,0.7071140528462819,0.7900608470236073,0.9954972216057697,1.3794922666120448,1.5942263819566465,1.0404862449213224,7921,9.050940646705169e-10,0.005293987202130912,0.04916844210319391,0.12295801187419897,0.20939124251462926,0.057565986825511506,7046,0.7304797198815701,1.6660589751104644,2.703352238190259,3.943574521880779,6.502988029211681,2.7555983361865093,7046,0.003030682289895108,0.004540283093476753,0.0060907004077472866,0.00973866913879742,0.014152325345546576,0.006490592003462325,7046,0.0027793882707137637,0.0038837239308484456,0.004880898136895893,0.0060197663398293254,0.0077049303276838415,0.00490666134911829,7046,129.78831110266051,166.12041353740398,204.8811391867307,257.48547939091924,359.79186428825716,209.21501986701068,7046,3.839714081104742e-06,0.00011239017942133528,0.0004846545643212828,0.0015380113628640987,0.004047888613179303,0.0006726937418159038,7046,0.0,0.0004841536283493042,0.0024691224098205566,0.006535947322845459,0.022367477416992188,0.0031387882982334427,7046,1.3337321507211897e-06,0.000414467741261082,0.0021947614929506143,0.006193032519227287,0.02073265165363808,0.0028436427056493627,7046,3.8743019104003906e-07,0.0005650259554386139,0.003025350160896778,0.00843125581741333,0.04357749968767166,0.003957363150076977,,,,,,,,,,,,,,,,,,,,,,,,7921,0.13263894617557526,0.4670196771621704,0.7081275582313538,0.8069549798965454,0.8423537611961365,0.6667538993403912,7921,7.62939453125e-06,0.0005743874935433269,0.0020289025269448757,0.011092837899923325,0.892500102519989,0.007493757900963827,7921,0.6511954665184021,0.8637903928756714,0.9472783803939819,0.9815991520881653,0.9971708655357361,0.9327462458532276
a02_0_900,L-all,pre_init,2,7921,7921,0.8692846894264221,0.9003412127494812,0.9195688962936401,0.9200000166893005,0.9200000166893005,0.9140729396545801,7921,5.0,7.0,27.0,59.0,77.0,30.596515591465725,7921,1.0,1.0,7.0,20.0,37.0,8.913647266759247,7921,18.0047796993569,20.122019639838882,37.979388164375635,129.62041113315126,282.4492692009897,58.78024946791511,7921,0.022277882676407665,0.032988459016072114,0.05969407395232009,0.1913764395613976,0.3916524168367799,0.08894659588685434,7921,0.7071140528462819,0.7900608470236073,0.9954972216057697,1.3794922666120448,1.5942263819566465,1.0404862449213224,7921,9.050940646705169e-10,0.005293987202130912,0.04916844210319391,0.12295801187419897,0.20939124251462926,0.057565986825511506,7046,0.7304797198815701,1.6660589751104644,2.703352238190259,3.943574521880779,6.502988029211681,2.7555983361865093,7046,0.003030682289895108,0.004540283093476753,0.0060907004077472866,0.00973866913879742,0.014152325345546576,0.006490592003462325,7046,0.0027793882707137637,0.0038837239308484456,0.004880898136895893,0.0060197663398293254,0.0077049303276838415,0.00490666134911829,7046,129.78831110266051,166.12041353740398,204.8811391867307,257.48547939091924,359.79186428825716,209.21501986701068,7046,3.839714081104742e-06,0.00011239017942133528,0.0004846545643212828,0.0015380113628640987,0.004047888613179303,0.0006726937418159038,7046,0.0,0.0004841536283493042,0.0024691224098205566,0.006535947322845459,0.022367477416992188,0.0031387882982334427,7046,1.3337321507211897e-06,0.000414467741261082,0.0021947614929506143,0.006193032519227287,0.02073265165363808,0.0028436427056493627,7046,3.8743019104003906e-07,0.0005650259554386139,0.003025350160896778,0.00843125581741333,0.04357749968767166,0.003957363150076977,,,,,,,,,,,,,,,,,,,,,,,,7921,0.13263894617557526,0.4670196771621704,0.7081275582313538,0.8069549798965454,0.8423537611961365,0.6667538993403912,7921,7.62939453125e-06,0.0005743874935433269,0.0020289025269448757,0.011092837899923325,0.892500102519989,0.007493757900963827,7921,0.6511954665184021,0.8637903928756714,0.9472783803939819,0.9815991520881653,0.9971708655357361,0.9327462458532276
a02_0_900,L-all,pre_init,3,13038,13038,0.8692846894264221,0.9038300573825836,0.9200000166893005,0.9200000166893005,0.9200000166893005,0.9152868542180761,13038,5.0,9.0,37.0,87.0,117.0,43.12946770977144,13038,1.0,2.0,8.0,25.0,56.0,11.11596870685688,13038,18.000702679747885,19.924403672323574,36.81112255341512,125.74815759668056,282.4492692009897,56.70717481873075,13038,0.018056379579342443,0.03292962881424778,0.058288023513600094,0.18538248909181837,0.3916524168367799,0.08574247030275925,13038,0.7071140200839453,0.7772513258238509,0.9920378203628774,1.3894838535718281,1.6013380279137555,1.0413021242974796,13038,9.050940646705169e-10,0.008718789362103333,0.07190773521217819,0.19345718765739423,0.3375187063779394,0.08779559796618433,11843,0.7304797198815701,1.901117386142303,3.000421550969356,4.436943970642285,6.615988664746837,3.0875779506460796,11843,0.003030682289895108,0.004676284490426649,0.006334802085827659,0.009894675837134305,0.01432076589988142,0.006712683486401773,11843,0.002561628562069269,0.004012936817584272,0.005097435539404429,0.006215609854093213,0.007749514122036881,0.005108525755676845,11843,129.04163970589778,160.88629474649497,196.17792572841032,249.19472431587886,390.3770860713144,201.00951331672186,11843,3.839714081104742e-06,0.00010894207088442966,0.0004902171177614621,0.001588231018107213,0.004178136536532192,0.0006808725124217207,11843,0.0,0.0005325525999069214,0.0026627928018569946,0.00735899806022644,0.028516054153442383,0.0034680762111556837,11843,1.316892055458485e-06,0.00042964240224803164,0.0023177657807850194,0.006508163215361675,0.02073265165363808,0.0030272651812147666,11843,3.8743019104003906e-07,0.000580848753452301,0.003169834613800049,0.009006455540657045,0.04357749968767166,0.0041557907722220375,,,,,,,,,,,,,,,,,,,,,,,,13038,0.13263894617557526,0.49432729184627533,0.7326049506664276,0.8138554990291595,0.8440415859222412,0.6891199155480772,13038,0.0,0.0005072256317362189,0.0018213652074337006,0.009606638085097088,0.892500102519989,0.006495002181316108,13038,0.6511954665184021,0.8692735433578491,0.9508684873580933,0.9836906433105469,0.9982776045799255,0.9365988058086772
a02_0_900,C-all,pre_init,1,1663,1663,0.800000011920929,0.8013283014297485,0.8566084504127502,0.8718590021133423,0.8774664998054504,0.8489140473212095,1663,5.0,7.0,23.0,43.0,57.0,23.75405892964522,1663,1.0,2.0,8.0,19.0,25.0,9.416115453998797,1663,18.00806918033697,18.933194030003968,22.72635103092101,42.18688564267565,93.03023384908549,26.986930155935887,1663,0.022591060492679477,0.031000855257680794,0.03796258892287756,0.06730954536021255,0.13364145861758636,0.04349546095169959,1663,0.707851658928856,0.745035471584698,0.8967191206548909,1.3094209748101295,1.5555328009889087,0.9566173169851281,1663,8.874993056043793e-10,0.004531478818046821,0.037925645546646986,0.09193748513264062,0.13858194176490565,0.043398762981740446,1532,1.0918993236219787,1.624964107901476,2.3348274601191665,3.3042170559063218,5.0823200889242095,2.4266285002443424,1532,0.003705159692913852,0.004462448636059569,0.005884861015548078,0.010440780070155966,0.013460467782059513,0.0067417198871524515,1532,0.0034287467199447218,0.004172568791672717,0.005191008901844152,0.006476026717510079,0.00731415441737125,0.0052625110642517525,1532,136.72242328150506,154.41675387621146,192.6416444324634,239.6612139195248,291.65232694785374,195.03480262922602,1532,7.19343080189025e-06,7.36978574565748e-05,0.0002779086593942394,0.0010229665218687038,0.0029080593872873577,0.00041855630607136215,1532,0.0,0.0005809694528579711,0.003001689910888672,0.008424103260040283,0.019365757703781128,0.0038903466287231944,1532,1.644568550729364e-06,0.0004885840735306069,0.002611235594248029,0.00737054343616491,0.019882232687728707,0.0033996318790408884,1532,1.1608004570007324e-05,0.0006576806306838989,0.004159979522228241,0.010593037307262423,0.03054642677307129,0.005041663865643911,,,,,,,,,,,,,,,,,,,,,,,,1663,0.24614317715168,0.50942542552948,0.7229270339012146,0.8087827563285828,0.8373388051986694,0.6867955862776888,1663,4.31583721365314e-05,0.0004105720145162195,0.0012926815543323755,0.005625321250408886,0.8360974192619324,0.006698586377047374,1663,0.7563766837120056,0.9008496761322021,0.9620197415351868,0.9864874482154846,0.9957098960876465,0.9516460948583955
