run_slug,status,exact_timestamps,poses_frozen,poses_diagnostic,position_max_m,orientation_max_rad,frozen_path,diagnostic_path,frozen_sha256,diagnostic_sha256,tolerance_m,tolerance_rad,alignment
a02_0_900,FAIL,True,421,421,0.004827100579022557,0.0030695139034558326,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/frozen/backend/a02_0_900/B/repeat1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/diagnostic/backend/a02_0_900/B/repeat1/vins_output/vio.csv,bed52e3b353f731beecec73d98b68762cac19cbaa1fcadbb7ba404a4f9a3a843,5e02e4ced7f8b31884c8b3a1ed11ad30143bfc466cd1846b06953b98c6462fce,1e-05,1e-05,none
a08_2700_3600,FAIL,True,440,440,283237.34985372494,3.1385583828363353,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/frozen/backend/a08_2700_3600/B/repeat1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/diagnostic/backend/a08_2700_3600/B/repeat1/vins_output/vio.csv,9cd656cb80da8a5fc45bbde0fe0ecc1fbf864d5de1c1ae51750c1e463dbaa0cf,29e4d38d54e79f854c238f2d3163167538adf305def6b00b66fb1daa1f0eb1d8,1e-05,1e-05,none
afrl_bus_s180_d045,FAIL,True,266,266,0.08283995956058889,0.015732795274185453,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/frozen/backend/afrl_bus_s180_d045/B/repeat1/vins_output/vio.csv,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_observation_utility_audit_v1/aa/diagnostic/backend/afrl_bus_s180_d045/B/repeat1/vins_output/vio.csv,f24f09cecc60529f448df5806194e2725a39a44b27ad6e6218a50c64b58a3cee,77020c5a54039ae22c600c5447cea5f054e514e7cf80c8fbd1387085b359d649,1e-05,1e-05,none
