window_id,run_slug,role,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_rpe_rmse_median_m,max_evo_abs_diff_m
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,B,3,38,37,1242.140001754619,1242.123109543–1242.175422834,150.84681657767342,150.841876058–150.849294428,0.0014739942969592388,0.001473958–0.001474022,1.2705402225068914,0.2245001479064606,4.915092439716773e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BD,3,38,37,1242.1351471928838,1234.066817111–1242.140218056,150.84391879853064,150.047451120–150.845476103,0.0014740068964680005,0.001473997–0.001482488,1.2705459607586629,0.22450090713183196,2.9496739203938027e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDL,3,38,37,0.7324143279267064,0.732157074–0.732440572,0.0735633917026871,0.073508957–0.073589849,0.7531806409211953,0.753176026–0.753248761,0.04768177195401677,0.01849770659610429,4.714767284502708e-07
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,BDC,3,38,37,1.0823545694282526,1.082292409–1.082421796,0.11694077198954063,0.116940416–0.116941689,0.6734214011371522,0.673407675–0.673434105,0.03849692230515866,0.026327040093396693,4.793092448530933e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,B,3,41,40,0.06030103054792109,0.060301031–0.060301031,0.03707107758848374,0.037071078–0.037071078,0.9509236943434553,0.950923694–0.950923694,0.0420301812096195,0.03559438179926981,3.817992698107453e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BD,3,41,40,53.05237472217308,0.042309945–74.950337407,6.980129235902349,0.026580977–8.856556738,0.013964400761455942,0.009854852–0.969323866,0.3731637619272849,0.07806213843955424,4.07043657446593e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDL,3,41,40,0.042257902422335195,0.042257902–0.048111800,0.026681258618196212,0.026681259–0.027149381,0.9693818621513323,0.955137351–0.969381862,0.03293559173320464,0.025927822633173458,4.804177752421035e-07
afrl:bus_outside:0004,afrl_bus_s180_d045,BDC,3,41,40,0.044228568170579845,0.042257902–0.056397110,0.026862001990089424,0.026681259–0.030567302,0.9616211687013794,0.946215520–0.969381862,0.030163533560873167,0.025927822633173458,4.66439126833168e-07
