window_id,run_slug,required_trajectories,runable_trajectories,status,matched_count,common_span_s,common_coverage,rpe_pairs,return_code
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,12,12,PASS,38,37.0,0.95,37,0
afrl:bus_outside:0004,afrl_bus_s180_d045,12,12,PASS,41,40.0,0.9111111111111111,40,0
