arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
B_r1,39,38,0.14445625820555832,0.11034167121684711,0.02114391782847945,0.012207613577536202,0.8843747225203888,0.048496626692845296,0.03629092398256472,0.014440214094534625,0.006346317452834142
B_r2,39,38,0.1438432835069247,0.10988664205248853,0.021081938479309028,0.012154774510636126,0.8848679006378068,0.048510795221242034,0.03630171046918559,0.014421610243727127,0.006354598408443348
B_r3,39,38,0.14422082718236245,0.11017566953143032,0.021109449975952863,0.012186870119593081,0.8845633782505182,0.04849955653328798,0.03628641305376379,0.014419722281161017,0.006349111241035273
L6_r1,39,38,0.944678421427728,0.8305704240872094,0.08783962313408465,0.08825918122985249,10.69783341011277,0.043127761726608094,0.031028402097211326,0.03279674537095632,0.00782836310643438
L6_r2,39,38,0.9314669111065742,0.8197597232911003,0.08656887521680029,0.08705067844805933,9.418375339188392,0.04245056744704756,0.03183771406249282,0.03014374202742109,0.0075455562126757175
L6_r3,39,38,0.9446793542108876,0.830598238407552,0.08783911084078512,0.088263463728562,10.697687837229168,0.043404102231958716,0.031239749204552414,0.033072271185988746,0.007412639253976438
L-all_r1,39,38,0.9948719345646576,0.8727073745978886,0.09277713304814261,0.09346463361660654,22.065198007781465,0.06613752230838056,0.02318250270623249,0.04381298661457628,0.008554660192772044
L-all_r2,39,38,0.9945315744587623,0.8723993693647879,0.09277739442994799,0.09340340463772623,21.91271980138025,0.06387700753048461,0.024142513289329492,0.04050075256681064,0.008712704895538614
L-all_r3,39,38,0.4457443390496442,0.34249571484860786,0.04956312506707173,0.042904570683584206,0.7007644964760855,0.03027038886919334,0.018009285310134845,0.012424699149862425,0.004585781924290773
C-all_r1,39,38,0.07037413877854398,0.057688927237161,0.016426989793378886,0.00945026818485294,1.0336194891267483,0.061709840855289376,0.04923529280259679,0.01689788199060888,0.008002851559861182
C-all_r2,39,38,0.06951735455963182,0.056580210601043415,0.016460604582341925,0.00946485837429906,1.032140833703452,0.061511613808388994,0.0489712270249631,0.016925147810972433,0.008128834024648961
C-all_r3,39,38,0.06833878199738416,0.056067503421912385,0.016385324805358245,0.009460793513118727,1.0296085120748812,0.06144589380857089,0.048969799260076344,0.01683092431291457,0.007957949675488248
