comparison_id,window_id,run_slug,learned_arm,common_support_status,common_poses,common_span_s,common_coverage,rpe_pairs,learned_vs_klt_primary_outcome,learned_vs_klt_joint_outcome,learned_vs_klt_ape_percent_change,learned_vs_klt_rpe_percent_change,learned_vs_matched_primary_outcome,learned_vs_matched_joint_outcome,learned_vs_matched_ape_percent_change,learned_vs_matched_rpe_percent_change,klt_fixed_se3_ape_median_m,learned_fixed_se3_ape_median_m,matched_fixed_se3_ape_median_m,klt_fixed_se3_rpe_median_m,learned_fixed_se3_rpe_median_m,matched_fixed_se3_rpe_median_m,failure_reason
a09_6000_6800__slot_xfeat,aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,slot_xfeat,PASS,38,37.0,0.95,37,WIN,BOTH_WIN,-99.94101421318354,-99.95123596047077,WIN,BOTH_WIN,-32.30799762295724,-37.10024885019452,1242.140001754619,0.732686053397017,1.0823820062464307,150.84681657767342,0.07355900126453054,0.11694641062941315,
a02_0_900__slot_xfeat,aqualoc_archaeology:A02:0000,a02_0_900,slot_xfeat,PASS,42,41.0,0.9333333333333333,41,LOSS,BOTH_LOSS,674.2686567507822,361.0315631413787,WIN,BOTH_WIN,-0.020864780528495608,-0.0009806242177057278,0.14131658509253395,1.0941700251620385,1.0943983689798336,0.022696850881355115,0.10463964640217926,0.1046406725339557,
a02_0_900__slot_splg,aqualoc_archaeology:A02:0000,a02_0_900,slot_splg,PASS,42,41.0,0.9333333333333333,41,LOSS,BOTH_LOSS,699.4636077664958,359.65563219030463,WIN,BOTH_WIN,-0.3669562758527145,-0.4676366390881759,0.14131658509253395,1.1297746695531818,1.133935717833909,0.022696850881355115,0.10432735340598358,0.10481751852679792,
afrl_bus_s180_d045__slot_xfeat,afrl:bus_outside:0004,afrl_bus_s180_d045,slot_xfeat,PASS,42,41.0,0.9333333333333333,41,TIE,EXACT_TIE,0.0,0.0,TIE,EXACT_TIE,0.0,0.0,0.06010874666198525,0.06010874666198525,0.06010874666198525,0.03721830922592327,0.03721830922592327,0.03721830922592327,
