window_id,run_slug,arm,role,frontend_action,admitted_sidecars,omitted_newborns,feature_bag_sha256,backend_execution,mapped_backend_cell,independent_replays,mapped_replays,backend_repeats_pass,arm_window_status,init_repeats,pose_count_median,pose_count_range,coverage_median,coverage_range,accuracy_role
aqualoc_archaeology:A08:0003,a08_2700_3600,slot_xfeat,frontend_primary,False,0,0,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A08:0003,a08_2700_3600,slot_splg,frontend_primary,False,0,0,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,440.0,440–440,0.975551477,0.975551477–0.975551477,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,slot_xfeat,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
afrl:cemetery:0003,afrl_cemetery_s135_d045,slot_splg,frontend_primary,False,0,0,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,345.0,345–345,0.966282385,0.966282385–0.966282385,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,slot_xfeat,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,slot_splg,frontend_primary,False,0,0,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,REUSED_EXACT_KLT_INPUT_AND_FROZEN_V2_REPLAY,klt,0,3,3/3,PASS,3,489.0,489–489,0.976037672,0.976037672–0.976037672,EXACT_TIE_NO_ACTION
aqualoc_archaeology:A09:historical_6000_6800,a09_6000_6800,matched_gftt_for_slot_xfeat,matched_classical_attribution_control,True,3,3,9ac5040f91cbfcd980cf4262d8cb14c84f3b860ccfe012e8505acbb9e8cbafc7,INDEPENDENT_NEW_PROTECTED_PREFILL_REPLAY,matched_gftt_for_slot_xfeat,3,0,3/3,PASS,3,388.0,388–388,0.967497266,0.967497266–0.967497266,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_slot_xfeat,matched_classical_attribution_control,True,8,8,006b63bfbfaebbdd96fbdbfaaef15d984cbc2d447527b7c545057d6c3c2a57ed,INDEPENDENT_NEW_PROTECTED_PREFILL_REPLAY,matched_gftt_for_slot_xfeat,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_slot_splg,matched_classical_attribution_control,True,8,8,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,INDEPENDENT_NEW_PROTECTED_PREFILL_REPLAY,matched_gftt_for_slot_splg,3,0,3/3,PASS,3,430.0,430–430,0.953328421,0.953328421–0.953328421,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_slot_xfeat,matched_classical_attribution_control,True,2,2,9394549f52938329ed5f3b73ce798cda487e4e8752fc535e971c249e155685bb,INDEPENDENT_NEW_PROTECTED_PREFILL_REPLAY,matched_gftt_for_slot_xfeat,3,0,3/3,PASS,3,267.0,267–267,0.944903697,0.944903697–0.944903697,EVALUATE_WITH_CORRESPONDING_LEARNED_ARM
