arm_key,replay,ape_rmse_m,rpe_rmse_m,matched_count,rpe_pairs
baseq1_xfeatnative,1,55.15374298140575,10.318417502716205,285,275
baseq1_xfeatnative,2,55.15374298140575,10.318417502716205,285,275
baseq1_xfeatnative,3,55.15374298140575,10.318417502716205,285,275
gfttq1_only,1,0.4017725497629278,0.12740765666928816,285,275
gfttq1_only,2,0.40177346437842204,0.12740790773785912,285,275
gfttq1_only,3,249.32848687525865,33.39471961075973,285,275
globalq1_learned,1,55.15374298140575,10.318417502716205,285,275
globalq1_learned,2,55.15374298140575,10.318417502716205,285,275
globalq1_learned,3,55.15374298140575,10.318417502716205,285,275
kltq1_only,1,0.11237874751749036,0.06671420306603433,285,275
kltq1_only,2,0.11130174890321745,0.06633626508120992,285,275
kltq1_only,3,0.11132490745597487,0.06633188133512696,285,275
native_learned,1,0.12022659925402678,0.04894295154630014,285,275
native_learned,2,0.12022709641303807,0.048943168489472104,285,275
native_learned,3,0.11889339465912817,0.048363404674205364,285,275
