pair_id,sequence,case,classical_preprocess_quality_s,B_s,C_raw_s,C_production_s,preprocess_s,forward_gpu_s,backward_gpu_s,restore_transfer_s,peak_allocated_bytes,peak_reserved_bytes,network_height,network_width,sampling_s,fb_checks_s
A02_0_small,A02,small,0.7661499850219116,0.04184389504371211,0.019700974982697517,0.004113997041713446,0.02602558198850602,0.15864370798226446,0.12906197999836877,0.010450223984662443,312287232,419430400,304,484,0.0005588909843936563,0.000261484005022794
A02_0_large,A02,large,0.7508690229733475,0.04852403898257762,0.024393482017330825,0.045122983981855214,0.012993410986382514,0.12863875197945163,0.12765699403826147,0.009256880031898618,312287232,419430400,304,484,0.000441318959929049,0.00020900298841297626
A02_0_illumination_blur,A02,illumination_blur,0.761554830998648,0.04230678401654586,0.02381053101271391,0.015693770023062825,0.012806467013433576,0.1298235940048471,0.12754533195402473,0.0056064839591272175,312287232,419430400,304,484,0.0004375080461613834,0.00021597399609163404
A02_0_outside_occluded,A02,outside_occluded,0.7486611430067569,0.049674269976094365,0.03858270397176966,0.05873878800775856,0.014166391978505999,0.12887852702988312,0.1272915080189705,0.008605809009168297,312287232,419430400,304,484,0.00043762801215052605,0.00020942400442436337
A02_50_small,A02,small,0.7577103300136514,0.0382160380249843,0.019668064021971077,0.0023164830054156482,0.013413970009423792,0.12951090798014775,0.1293431249796413,0.007988449011463672,312287232,419430400,304,484,0.0004371480317786336,0.00021021399879828095
A02_50_large,A02,large,0.7712125209509395,0.04654354200465605,0.04168798204045743,0.06116394198033959,0.013219564047176391,0.12894375796895474,0.12985542498063296,0.004102915991097689,312287232,419430400,304,484,0.0004290379583835602,0.00020510400645434856
A02_50_illumination_blur,A02,illumination_blur,0.7502997239935212,0.04309441801160574,0.025011644000187516,0.01652203599223867,0.013735543994698673,0.1289348679711111,0.12900337897008285,0.009252750955056399,312287232,419430400,304,484,0.00043418799759820104,0.00020894396584481
A02_50_outside_occluded,A02,outside_occluded,0.7581331089604646,0.04912714002421126,0.04119523300323635,0.06645168096292764,0.012086533999536186,0.1295231080148369,0.13087304396321997,0.004394661984406412,312287232,419430400,304,484,0.0004337180289439857,0.00020858400966972113
A02_100_small,A02,small,0.7650782980490476,0.037661246955394745,0.01993354898877442,0.002576558035798371,0.014060780988074839,0.12846931896638125,0.12867978197755292,0.007870737055782229,312287232,419430400,304,484,0.0004390579997561872,0.00021004397422075272
A02_100_large,A02,large,0.7591372689930722,0.0487173319561407,0.02774290303932503,0.05229526897892356,0.011824758956208825,0.12947208702098578,0.12973755202256143,0.004142345977015793,312287232,419430400,304,484,0.0004389979876577854,0.00020510400645434856
A02_100_illumination_blur,A02,illumination_blur,0.7617141559603624,0.04414021800039336,0.023726498999167234,0.015571347961667925,0.012678093975409865,0.1291793729760684,0.12967683200258762,0.0060348020051606,312287232,419430400,304,484,0.0004442090285010636,0.0002111339708790183
A02_100_outside_occluded,A02,outside_occluded,0.7691349129891023,0.05062097799964249,0.03937803005101159,0.06509524601278827,0.012608513003215194,0.12942169699817896,0.12918055203044787,0.007797874975949526,312287232,419430400,304,484,0.0004303579917177558,0.0002071839990094304
A02_150_small,A02,small,0.7569349679979496,0.03796633396996185,0.019674333976581693,0.0023057530052028596,0.013455039996188134,0.12938327703159302,0.12961897999048233,0.0046922069741413,312287232,419430400,304,484,0.00044193898793309927,0.00020928296726197004
A02_150_large,A02,large,0.7529233539826237,0.05155294499127194,0.02622268599225208,0.054508639965206385,0.017451342951972038,0.1276457140338607,0.1285757310106419,0.01174638804513961,312287232,419430400,304,484,0.0004398580058477819,0.00020654400577768683
A02_150_illumination_blur,A02,illumination_blur,0.7711394230136648,0.04185412498190999,0.025883268972393125,0.01267368602566421,0.015782611968461424,0.1283773379982449,0.12836887798039243,0.004337569989729673,312287232,419430400,304,484,0.00044115795753896236,0.00021050398936495185
A02_150_outside_occluded,A02,outside_occluded,0.770915727945976,0.048642011010088027,0.03770552895730361,0.05851525301113725,0.01459181000245735,0.12777807604288682,0.12865833303658292,0.009687020967248827,312287232,419430400,304,484,0.0029264839831739664,0.00022999400971457362
A08_0_small,A08,small,0.7648235459928401,0.03978668700437993,0.019570232019759715,0.005005882994737476,0.012793416972272098,0.12785583798540756,0.12964189104968682,0.008231951971538365,312287232,419430400,304,484,0.0004497080226428807,0.00021166400983929634
A08_0_large,A08,large,0.7757386779994704,0.04892443603603169,0.08335063396953046,0.0005839910008944571,0.015395346039440483,0.12938844598829746,0.12969492201227695,0.006680753023829311,312287232,419430400,304,484,0.0004389279638417065,0.0002063839929178357
A08_0_illumination_blur,A08,illumination_blur,0.7675062959897332,0.0413134649861604,0.02344299398828298,0.010314590996131301,0.012213885958772153,0.12987276603234932,0.13008857000386342,0.00444422202417627,312287232,419430400,304,484,0.0004525390104390681,0.00021181302145123482
A08_0_outside_occluded,A08,outside_occluded,0.76208278600825,0.04839962598634884,0.03420934302266687,0.05800693400669843,0.015348084969446063,0.12994903599610552,0.1300338680157438,0.006134873954579234,312287232,419430400,304,484,0.00045130797661840916,0.00021107401698827744
A08_50_small,A08,small,0.7665970789967105,0.04546526196645573,0.025340678985230625,0.004228727950248867,0.014652750978711993,0.12771513598272577,0.12873293500160798,0.004145436978433281,312287232,419430400,304,484,0.00045362801756709814,0.00021957396529614925
A08_50_large,A08,large,0.7570845229784027,0.049877854995429516,0.07837610197020695,0.10176340397447348,0.014841254975181073,0.1285330899991095,0.13039549498353153,0.008825932978652418,312287232,419430400,304,484,0.0004518380155786872,0.00020568398758769035
A08_50_illumination_blur,A08,illumination_blur,0.7498670589993708,0.04177346301730722,0.02272863098187372,0.007980177004355937,0.011725907039362937,0.12831449700752273,0.128722244000528,0.004303209017962217,312287232,419430400,304,484,0.00046012899838387966,0.00022860401077196002
A08_50_outside_occluded,A08,outside_occluded,0.7629161220393144,0.04827968397876248,0.043034987000282854,0.06405752600403503,0.01623014104552567,0.12787089898483828,0.12928792502498254,0.0062600160599686205,312287232,419430400,304,484,0.0004397979937493801,0.00020612403750419617
A08_100_small,A08,small,0.7623537309700623,0.037132697994820774,0.01878698798827827,0.003057937021367252,0.014036060019861907,0.12770272500347346,0.12976077396888286,0.00819573097396642,312287232,419430400,304,484,0.0004457880277186632,0.0002097439719364047
A08_100_large,A08,large,0.777499062998686,0.04885731596732512,0.07821105798939243,0.09455263096606359,0.012709496018942446,0.1295465889852494,0.12976835400331765,0.007792813994456083,312287232,419430400,304,484,0.00048329902347177267,0.00021955400006845593
A08_100_illumination_blur,A08,illumination_blur,0.7559918939950876,0.04170966299716383,0.023938793980050832,0.010461842990480363,0.012330078985542059,0.12872143503045663,0.12837664800463244,0.005452031036838889,312287232,419430400,304,484,0.00043464801274240017,0.0002085639862343669
A08_100_outside_occluded,A08,outside_occluded,0.7652930969488807,0.050936874002218246,0.03815753699745983,0.053044232015963644,0.012347909971140325,0.12939805700443685,0.12963012099498883,0.011439181980676949,312287232,419430400,304,484,0.0004385579959489405,0.00021341402316465974
A08_150_small,A08,small,0.7496947179897688,0.03900037199491635,0.018411991011817008,0.00283038301859051,0.012744745996315032,0.12886729801539332,0.12914557196199894,0.0040225840639323,312287232,419430400,304,484,0.0004739490104839206,0.0002120740246027708
A08_150_large,A08,large,0.7601127509842627,0.055154392030090094,0.08364214905304834,0.0005392000311985612,0.012626333977095783,0.12946225801715627,0.12986701499903575,0.010467635001987219,312287232,419430400,304,484,0.00043280801037326455,0.0002060040133073926
A08_150_illumination_blur,A08,illumination_blur,0.7554843359976076,0.04446547303814441,0.024439433007501066,0.008559537993278354,0.013174873951356858,0.12949185899924487,0.13000516896136105,0.0043032889370806515,312287232,419430400,304,484,0.0004430079716257751,0.00021051400108262897
A08_150_outside_occluded,A08,outside_occluded,0.7634793850011192,0.05013303802115843,0.0479624189902097,0.06446309300372377,0.01201804302399978,0.12931789498543367,0.12987338501261547,0.011367832019459456,312287232,419430400,304,484,0.00045797904022037983,0.00020817300537601113
H02_0_small,H02,small,0.1794127239845693,0.0352277519996278,0.01842153095640242,0.005539731995668262,0.0071039810427464545,0.07386085897451267,0.07387436903081834,0.0024329840089194477,260020224,427819008,256,320,0.00042768800631165504,0.00020819302881136537
H02_0_large,H02,large,0.17707269097445533,0.0335463720257394,0.02376829000422731,0.030929643020499498,0.0078286649659276,0.07324805803364143,0.07209598599001765,0.0027497209957800806,260020224,427819008,256,320,0.00043419800931587815,0.00019341299775987864
H02_0_illumination_blur,H02,illumination_blur,0.1863823930034414,0.03628567204577848,0.026394489977974445,0.024747477960772812,0.007279456011019647,0.07210631598718464,0.07302310300292447,0.00266172899864614,260020224,427819008,256,320,0.00041980703826993704,0.0002018440281972289
H02_0_outside_occluded,H02,outside_occluded,0.17753103899303824,0.037014375964645296,0.04601107200141996,0.06038981903111562,0.006392009032424539,0.07331891899229959,0.07218914700206369,0.002928704023361206,260020224,427819008,256,320,0.0004453380242921412,0.0002171939704567194
H02_50_small,H02,small,0.1806858089985326,0.037908552039880306,0.019371528003830463,0.004642546002287418,0.008015958999749273,0.07348475098842755,0.07231840997701511,0.002838711952790618,260020224,427819008,256,320,0.000572550983633846,0.00028736499371007085
H02_50_large,H02,large,0.1802696690429002,0.03394193900749087,0.029996725032106042,0.03995136002777144,0.007833205978386104,0.07277502800570801,0.07316527498187497,0.00267318997066468,260020224,427819008,256,320,0.00044611794874072075,0.00019814400002360344
H02_50_illumination_blur,H02,illumination_blur,0.18233362899627537,0.03608117799740285,0.02727331599453464,0.02542350097792223,0.007417777960654348,0.07246719300746918,0.07252262398833409,0.004045074980240315,260020224,427819008,256,320,0.0006442720186896622,0.00031794601818546653
H02_50_outside_occluded,H02,outside_occluded,0.17734309495426714,0.03535958600696176,0.040937847981695086,0.050261191034223884,0.006743184989318252,0.07233346096472815,0.07259530498413369,0.0025081459898501635,260020224,427819008,256,320,0.0004400680190883577,0.00020363397197797894
H02_100_small,H02,small,0.18029995099641383,0.03607971896417439,0.01926096697570756,0.004737116978503764,0.008162110985722393,0.07328881701687351,0.07282100897282362,0.0027596120489761233,260020224,427819008,256,320,0.00042885798029601574,0.00020837399642914534
H02_100_large,H02,large,0.17772245302330703,0.03602288803085685,0.024153756035957485,0.038022574968636036,0.006510239967610687,0.072350851027295,0.07330205803737044,0.0026146579766646028,260020224,427819008,256,320,0.0005275900475680828,0.00019627297297120094
H02_100_illumination_blur,H02,illumination_blur,0.1832496050046757,0.03760554798645899,0.029656919999979436,0.02560788398841396,0.007786534959450364,0.07227119902381673,0.07379977696109563,0.002394953975453973,260020224,427819008,256,320,0.0004222479765303433,0.00020341400522738695
H02_100_outside_occluded,H02,outside_occluded,0.1777533830027096,0.035562078992370516,0.032770216988865286,0.04370742000173777,0.008666381007060409,0.07230067002819851,0.07253357401350513,0.0024067850899882615,260020224,427819008,256,320,0.00041847804095596075,0.0002023639972321689
