window,arm,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_rpe_rmse_median_m,max_evo_abs_diff_m
a06_s000_d045,klt,3,40,39,2.6427389543053867,2.519547153–3.024572640,0.33859072809666557,0.319098695–0.350611139,1.855541867060204,1.495932741–2.230143293,1.642184977056467,0.3194155631917962,4.3680820377423046e-07
a06_s000_d045,singlechain,3,40,39,254.5065042290392,1.598418556–254.506759483,30.103547721692628,0.318459386–30.103647392,0.015427959623458635,0.015427938–0.842002378,2.827956505811811,0.5394822200826791,4.941881890374589e-07
a09_6000_6800,klt,3,38,37,1234.1315792872176,1230.939397182–1296.253955078,150.0564940756865,149.678914581–156.964955501,0.0014824091384514498,0.001414698–0.001486272,1.2725341161801986,0.22481342579506627,4.989762771856476e-07
a09_6000_6800,singlechain,3,38,37,0.7324893332181179,0.731967710–0.732690554,0.0735200863211803,0.073482059–0.073521974,0.7531647869805772,0.753114573–0.753297995,0.047777544706512125,0.018471963824052164,4.5529348787626267e-07
a06_s045_d045,klt,3,42,41,0.25771463408599476,0.257678790–0.257755440,0.031055992115549422,0.031042676–0.031072808,0.8246581863408378,0.824637683–0.824678168,0.041092055500094676,0.013502519883848586,4.801161514137592e-07
a06_s045_d045,singlechain,3,42,41,0.2918559109691491,0.291853811–0.291858741,0.0375119369370542,0.037506480–0.037512131,0.8044451507536029,0.804443766–0.804446282,0.02238162399305869,0.012507708047824117,4.795647807059877e-07
