order,window_id,run_slug,family,sequence,stratum,arm,method,cell_status,expected_feature_messages,feature_messages,frontend_coverage,max_features,frontend_integrity_pass,image_messages,imu_messages,proxy_messages,exported_xfeat_observations,exported_splg_observations,persistence_replaced_gftt_observations,dropped_classical_for_cap_observations,kept_sidecar_observations,churn_guard_decision,churn_guard_decision_frame,feature_bag_path,feature_bag_sha256,frontend_metrics_path,frontend_metrics_sha256,prepared_input_path,prepared_input_sha256,all_three_bags_byte_identical,pairwise_byte_identity,failure_class,notes,reference_pose_count,reference_span_s,repeat1_init,repeat1_pose_count,repeat1_span_s,repeat1_coverage,repeat1_pass,repeat2_init,repeat2_pose_count,repeat2_span_s,repeat2_coverage,repeat2_pass,repeat3_init,repeat3_pose_count,repeat3_span_s,repeat3_coverage,repeat3_pass,backend_repeats_pass,arm_window_pass,backend_failure_class,accuracy_exclusion
5,aqualoc_archaeology:A03:0000,a03_0_900,aqualoc_archaeology,A03,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,RUNNING_OR_PARTIAL,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a03_0_900_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a03_0_900_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a03_0_900/input.bag,c10958f6a05af1cbffeed85af842c17e9d92292bc6e2142cc0fc14672602cb37,,klt=splg,incomplete_cell,run directory exists without a complete receipt,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a04_5400_6300_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a04_5400_6300_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a04_5400_6300_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a04_5400_6300_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a04_5400_6300_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a04_5400_6300_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a07_6300_7200_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a07_6300_7200_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a07_6300_7200_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a07_6300_7200_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a07_6300_7200_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a07_6300_7200_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a08_2700_3600_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a08_2700_3600_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a08_2700_3600_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a08_2700_3600_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a08_2700_3600_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a08_2700_3600_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
