order,window_id,run_slug,family,sequence,stratum,arm,method,cell_status,expected_feature_messages,feature_messages,frontend_coverage,max_features,frontend_integrity_pass,image_messages,imu_messages,proxy_messages,exported_xfeat_observations,exported_splg_observations,persistence_replaced_gftt_observations,dropped_classical_for_cap_observations,kept_sidecar_observations,churn_guard_decision,churn_guard_decision_frame,feature_bag_path,feature_bag_sha256,frontend_metrics_path,frontend_metrics_sha256,prepared_input_path,prepared_input_sha256,all_three_bags_byte_identical,pairwise_byte_identity,failure_class,notes,reference_pose_count,reference_span_s,repeat1_init,repeat1_pose_count,repeat1_span_s,repeat1_coverage,repeat1_pass,repeat2_init,repeat2_pose_count,repeat2_span_s,repeat2_coverage,repeat2_pass,repeat3_init,repeat3_pose_count,repeat3_span_s,repeat3_coverage,repeat3_pass,backend_repeats_pass,arm_window_pass,backend_failure_class,accuracy_exclusion
9,aqualoc_archaeology:A10:0012,a10_10800_11700,aqualoc_archaeology,A10,challenge_gt_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a10_10800_11700_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a10_10800_11700_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a10_10800_11700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
9,aqualoc_archaeology:A10:0012,a10_10800_11700,aqualoc_archaeology,A10,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a10_10800_11700_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a10_10800_11700_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a10_10800_11700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
9,aqualoc_archaeology:A10:0012,a10_10800_11700,aqualoc_archaeology,A10,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a10_10800_11700_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a10_10800_11700_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a10_10800_11700/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
10,aqualoc_harbor:H02:0004,h02_3600_4500,aqualoc_harbor,H02,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h02_3600_4500_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h02_3600_4500_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h02_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
10,aqualoc_harbor:H02:0004,h02_3600_4500,aqualoc_harbor,H02,noharm_le_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_h02_3600_4500_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_h02_3600_4500_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h02_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
10,aqualoc_harbor:H02:0004,h02_3600_4500,aqualoc_harbor,H02,noharm_le_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbccv3_h02_3600_4500_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbccv3_h02_3600_4500_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h02_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
11,aqualoc_harbor:H03:0004,h03_3600_4500,aqualoc_harbor,H03,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h03_3600_4500_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h03_3600_4500_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h03_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
11,aqualoc_harbor:H03:0004,h03_3600_4500,aqualoc_harbor,H03,noharm_le_0p10,splg,hybrid_superpoint_lightglue,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_h03_3600_4500_splg/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_h03_3600_4500_splg/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h03_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
11,aqualoc_harbor:H03:0004,h03_3600_4500,aqualoc_harbor,H03,noharm_le_0p10,xfeat_v3,hybrid_xfeat,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbccv3_h03_3600_4500_xfeat_v3/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbccv3_h03_3600_4500_xfeat_v3/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h03_3600_4500/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
12,aqualoc_harbor:H06:0001,h06_900_1800,aqualoc_harbor,H06,noharm_le_0p10,klt,klt,NOT_RUN,,,,,,,,,,,,,,,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h06_900_1800_klt/features.bag,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbccv3_h06_900_1800_klt/frontend_metrics.csv,,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/h06_900_1800/input.bag,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,frontend_not_pass,
