window_id,run_slug,cell_id,source_arm,backend_role,repeat,receipt_identity_pass,init,pose_count,trajectory_span_s,reference_pose_count,reference_span_s,coverage,repeat_status,failure_class,feature_bag_sha256,canonical_config_sha256,vio_csv_sha256
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,router_xfeat,learned_active,1,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,1db331a00f94b5ac5a710bec32bb7d9625e3489ebc3a1aad4a977d22bc954732
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,router_xfeat,learned_active,2,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,b6122db319f85f2c447f45053b053a695e555ac9925e5896ac62c17fb6a192b3
aqualoc_archaeology:A02:0000,a02_0_900,router_xfeat,router_xfeat,learned_active,3,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,1af804c85b76a2226af88349dc3a00f2a7f45d3fae7882d432cd5374815a91c4,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,515efd5ae1fe1acabe9a3465ff0706fe18336e1e1e41aa210ffc40a3a0bdf056
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,1,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,edc92be74c7d22bd38c28cbca3f7a3624997ccebac713ab56e62b0c052a0626a
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,2,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,b8c5122a334e150a202db2ad0eb4e68765bbc4abcb7a38d5d004cbd7d4eab45f
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,3,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,52c6883379be69958a0e218723083fa4406d33a3bb0c5f37580561dadbcd6302,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,d3d5ea358f914cce4b800987651727ac6f7adeb4d5c87baa790149181fcf4b30
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,1,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,13ec0563c44c62bf77cb4c8ef7f10b0fb6b8e3c0645f9258a0442ab9c9cce05a
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,2,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,8c844dc40920a26768adc7cef9fce832ca7981223ae7d5e029be782deca63983
aqualoc_archaeology:A02:0000,a02_0_900,router_splg,router_splg,learned_active,3,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,22ad515df63a71bf4f7b068f4c4b3d290e0b2d822544b04d191441d2ad6899ef,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,5e2c7f38677f2a776c14b40e445834a757cba3328dde4765c30d38c576aafd85
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,1,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,e2a647c858526957a29eaba4099229c58cbf22fe47f738d1558da64880e56a2e
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,2,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,8d44ec8cd445789c4c0ff84b067b8b04da4df83b96c982bb472fb0f36f7172b3
aqualoc_archaeology:A02:0000,a02_0_900,matched_gftt_for_router_splg,router_splg,matched_classical,3,True,PASS,430,42.892948627,46,44.992835283,0.953328421,PASS,,ba8770da7f7a9f6582e9ad3b2cfe95d94e916b03cbd09f476a48ef494f0bcc6e,a0d5aad32120b2ab419c3216fbbf908ee4cdbed4c5d7c483b131b3df67da5af1,db755ec4ca583c3b9d154144a4ed47ddb9fe1705390e6f90e12d191825356527
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,1,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,665015fb8cfbb447f03b1b515924caaedfa9f1cde7ca79e5335f327dc02b7a6c
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,2,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,665015fb8cfbb447f03b1b515924caaedfa9f1cde7ca79e5335f327dc02b7a6c
afrl:bus_outside:0004,afrl_bus_s180_d045,klt,klt,fresh_klt,3,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,9e4d546cb799f516d933944e9715d1551affe381ab2f0171876cebb95d01ae84,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,665015fb8cfbb447f03b1b515924caaedfa9f1cde7ca79e5335f327dc02b7a6c
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,router_xfeat,learned_active,1,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,router_xfeat,learned_active,2,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,router_xfeat,router_xfeat,learned_active,3,True,PASS,266,42.246708155,564,44.878515244,0.941357082,PASS,,34ec601a13843c7a39d53a95eb7bedc8db4086b1e6683921b2507cd7a5356442,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,982c3be06e93d27f0471f60807bc04582281aceeddfbfa6b2e029afece9ad9ed
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,1,True,PASS,266,42.246708155,564,44.878515244,0.941357082,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,06ab4d8eed9479c11a3545bff5f2b2aad05cc4da5dfbb5cfa6d8d6b43c3e72e4
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,2,True,PASS,267,42.405874968,564,44.878515244,0.944903697,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,d35a96b1f63d2992457936a77ee493632d1fd6602e33dd7dfd6c677b06bf83c8
afrl:bus_outside:0004,afrl_bus_s180_d045,matched_gftt_for_router_xfeat,router_xfeat,matched_classical,3,True,PASS,266,42.246708155,564,44.878515244,0.941357082,PASS,,0b1e6b1abaccf2faa127a4de74a18d727c097767b5c4ef14a2443fa292715dcc,cb9a252cdb0864aad843b7c6ad050f74ce0c1c07760df8963238d188364052f1,1f46016baf1add9cc4706e7bd73c88190b999e17697a19b2f9693dd58c6677eb
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,1,True,PASS,440,43.893621445,46,44.993649721,0.975551477,PASS,,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,93b394281385f9d8131cc024f0e4525d410e71ff52bf04b7b49925808d300536
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,2,True,PASS,440,43.893621445,46,44.993649721,0.975551477,PASS,,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,e3aac8856c5563cd1a8edd15f6c6a77e23bb257307fe01e46645a0ca2f15e1a8
aqualoc_archaeology:A08:0003,a08_2700_3600,klt,klt,fresh_klt,3,True,PASS,440,43.893621445,46,44.993649721,0.975551477,PASS,,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,783f5c621c79c1c02da2c9719d5a3c3fbb4900e42ae59437af627d4b05ca675d,a9eef285a268da425960f240dcff901b7f879413cf6f48f137a9cd58c9e30fe3
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,1,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,7fca19ba9afbce304731b9656b07f0a890557aa93a0138a2c2164f93db756db8
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,2,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,d7fe3ce3733a76f4520f5d5c8de7e16882fc40d704f636411e394bc5d4b29827
afrl:cemetery:0003,afrl_cemetery_s135_d045,klt,klt,fresh_klt,3,True,PASS,345,43.415974855,704,44.930938959,0.966282385,PASS,,c144ba971b2d7fc1b73980f9d1336d508f823db26f448f803df747536688169e,47a9e75a9c2076276d0068c2d3d38da697d931a1311138794842a9e1c388f23e,bcf9a2441dda935ae74b25468baf390c83ebeb12927663e551f02425ff4f69d2
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,1,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,76796d48c9a676ffca620f231afb8fda0678b72ffbad8f28b90bb1cb20f28d67
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,2,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,0d677ec1de5e49b56f92071c4aa90aa99cee87b329decda15a5aa526a094a233
aqualoc_harbor:H07:historical_0_1000,h07_0_1000,klt,klt,fresh_klt,3,True,PASS,489,48.820671797,195,50.019249439,0.976037672,PASS,,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,e5aa86735aec32e7e118947dc6d72935aceb93e27e4c33c4a595117d18e222ab,4385475de11dd69d6c0a9aa044bdb8f70df2258cf2a5214f54c82b7c143a2852
