run_slug,arm,attempted,runability_pass,wall_s_min,wall_s_median,wall_s_max,peak_node_rss_bytes_min,peak_node_rss_bytes_median,peak_node_rss_bytes_max,first_pose_delay_from_reference_start_s_min,first_pose_delay_from_reference_start_s_median,first_pose_delay_from_reference_start_s_max,trajectory_coverage_min,trajectory_coverage_median,trajectory_coverage_max,trajectory_length_m_min,trajectory_length_m_median,trajectory_length_m_max,received_candidate_min,received_candidate_median,received_candidate_max,received_KLT_min,received_KLT_median,received_KLT_max,eligible_candidate_min,eligible_candidate_median,eligible_candidate_max,residual_candidate_min,residual_candidate_median,residual_candidate_max,residual_KLT_min,residual_KLT_median,residual_KLT_max,max_actual_eligible_min,max_actual_eligible_median,max_actual_eligible_max,solver_total_s_min,solver_total_s_median,solver_total_s_max,solver_near_limit_fraction_min,solver_near_limit_fraction_median,solver_near_limit_fraction_max,solver_at_or_above_limit_fraction_min,solver_at_or_above_limit_fraction_median,solver_at_or_above_limit_fraction_max,all_four_APE_rmse_m_min,all_four_APE_rmse_m_median,all_four_APE_rmse_m_max,all_four_RPE_rmse_m_min,all_four_RPE_rmse_m_median,all_four_RPE_rmse_m_max,all_four_sim3_scale_min,all_four_sim3_scale_median,all_four_sim3_scale_max
a09_6000_6800,B,3,3,60.3202350599895,60.32174500299152,60.52062686299905,89210880.0,89911296.0,89919488.0,1.2501451227581128,1.2501451227581128,1.2501451227581128,0.967497263970065,0.967497263970065,0.967497263970065,4471.493000055597,4500.4974714931095,4500.522243794641,0.0,0.0,0.0,140000.0,140000.0,140000.0,0.0,0.0,0.0,0.0,0.0,0.0,166469.0,167825.0,167832.0,275.0,275.0,275.0,3.746998309999999,3.747188190999999,3.8069426830000026,0.030927835051546393,0.03865979381443299,0.041237113402061855,0.020618556701030927,0.028350515463917526,0.03350515463917526,1234.1027439177365,1242.1399973605378,1242.147426313078,150.05518470541546,150.84681617883027,150.84755538971422,0.0014739861067614424,0.0014739943018815464,0.0014824361316474004
a09_6000_6800,L6,3,3,60.420619718002854,60.42096186999697,60.42476194599294,89600000.0,90230784.0,90476544.0,1.2501451227581128,1.2501451227581128,1.2501451227581128,0.967497263970065,0.967497263970065,0.967497263970065,4665.691784036575,5147.642254405936,5246.345532019823,2251.0,2251.0,2251.0,140000.0,140000.0,140000.0,392.0,405.0,414.0,1274.0,1312.0,1347.0,163620.0,167397.0,169962.0,278.0,278.0,278.0,3.7538257980000007,3.754578890999998,3.879806547000005,0.020618556701030927,0.02577319587628866,0.04639175257731959,0.015463917525773196,0.02577319587628866,0.03350515463917526,1288.3504809847975,1415.0675462698573,1441.4213866593284,156.20932085851726,171.48472852894443,175.12333515592184,0.001275487498344766,0.0013001097767586839,0.0014231719527899739
a09_6000_6800,L-all,3,3,60.524961620001704,60.525351936987136,60.52654397500737,89436160.0,89722880.0,90312704.0,1.2501451227581128,1.2501451227581128,1.2501451227581128,0.967497263970065,0.967497263970065,0.967497263970065,5144.537975205934,5278.808682516839,5334.169627549369,42018.0,42018.0,42018.0,140000.0,140000.0,140000.0,6384.0,6391.0,6433.0,19382.0,19424.0,19576.0,169002.0,169261.0,169714.0,278.0,278.0,281.0,3.8640864410000013,3.8714559650000013,3.8762888880000013,0.01804123711340206,0.023195876288659795,0.02577319587628866,0.01804123711340206,0.01804123711340206,0.020618556701030927,1415.936864890773,1451.2015676814265,1466.4755700960375,171.57487475091418,175.7677993593355,177.52832724431212,0.0012564258745162134,0.001269165500885291,0.001299329592973395
a09_6000_6800,C-all,3,3,60.41607802499493,60.52363471800345,60.62581020798825,89423872.0,89440256.0,89653248.0,1.2501451227581128,1.2501451227581128,1.2501451227581128,0.967497263970065,0.967497263970065,0.967497263970065,4468.0060332540015,4500.941287317871,12288.191228798234,22392.0,22392.0,22392.0,140000.0,140000.0,140000.0,3303.0,3304.0,3353.0,9950.0,9958.0,10133.0,165704.0,166661.0,181920.0,275.0,275.0,278.0,3.8014710779999996,3.8940512730000014,4.376412809,0.03608247422680412,0.041237113402061855,0.04896907216494845,0.028350515463917526,0.028350515463917526,0.04381443298969072,1233.1791812043975,1242.3638323714583,1387.1655289611774,149.92141733342953,150.84678068066626,193.36713661072127,0.0013306253728129346,0.0014739027922869487,0.0014837220553635098
a02_0_900,B,3,3,64.952297722004,64.97736083800555,65.03257176700572,100192256.0,102174720.0,103661568.0,2.9492695539956912,2.9492695539956912,2.9492695539956912,0.9333598441532135,0.9333598441532135,0.9333598441532135,4.626452410153599,4.627943769097966,4.628468086702316,0.0,0.0,0.0,157500.0,157500.0,157500.0,0.0,0.0,0.0,0.0,0.0,0.0,1399729.0,1399729.0,1399729.0,407.0,407.0,407.0,13.115572061999984,13.125601098,13.126108532000009,0.24703087885985747,0.2589073634204275,0.2684085510688836,0.1876484560570071,0.19714964370546317,0.2161520190023753,0.1438432835069247,0.14422082718236245,0.14445625820555832,0.021081938479309028,0.021109449975952863,0.02114391782847945,0.8843747225203888,0.8845633782505182,0.8848679006378068
a02_0_900,L6,3,3,64.73267774099077,64.93261078599608,65.03831403600634,103862272.0,104239104.0,104972288.0,4.350245170062408,4.350245170062408,4.350245170062408,0.9022220950594737,0.9022220950594737,0.9022220950594737,0.42359615598558636,0.42374809824127685,0.48834051060046346,2688.0,2688.0,2688.0,157500.0,157500.0,157500.0,2698.0,2698.0,2731.0,14340.0,14340.0,14447.0,1348585.0,1348846.0,1348846.0,414.0,414.0,414.0,14.394959543000006,14.525613604999986,14.534594699999998,0.5307125307125307,0.5454545454545454,0.547911547911548,0.44471744471744473,0.45454545454545453,0.4619164619164619,0.9314669111065742,0.944678421427728,0.9446793542108876,0.08656887521680029,0.08783911084078512,0.08783962313408465,9.418375339188392,10.697687837229168,10.69783341011277
a02_0_900,L-all,3,3,64.93035842999234,64.9321017809998,65.04914847599866,119742464.0,120557568.0,121786368.0,3.8502513139974326,3.8502513139974326,5.951003954047337,0.8666440130402724,0.9133348389645191,0.9133348389645191,0.27547693837270304,0.27810390287522224,5.588269945184502,116129.0,116129.0,116129.0,157500.0,157500.0,157500.0,105577.0,107335.0,107836.0,593321.0,598167.0,602198.0,1296123.0,1342098.0,1363483.0,809.0,829.0,834.0,15.943193544999994,17.20864853300001,17.390005206999998,0.9335038363171355,0.970873786407767,0.9733009708737864,0.8797953964194374,0.9271844660194175,0.9514563106796117,0.4457443390496442,0.9945315744587623,0.9948719345646576,0.04956312506707173,0.09277713304814261,0.09277739442994799,0.7007644964760855,21.91271980138025,22.065198007781465
a02_0_900,C-all,3,3,64.72957585800032,64.83547721301147,64.93575847600005,109453312.0,109604864.0,109809664.0,2.9492695539956912,2.9492695539956912,2.9492695539956912,0.9333598441532135,0.9333598441532135,0.9333598441532135,3.99110263911358,3.9922067942021093,3.997654321358712,41339.0,41339.0,41339.0,157500.0,157500.0,157500.0,50310.0,50310.0,50310.0,320348.0,320348.0,320348.0,1397621.0,1397621.0,1397621.0,576.0,576.0,576.0,14.781431068000007,14.788096084999982,14.868491484,0.5083135391923991,0.5083135391923991,0.5201900237529691,0.37767220902612825,0.38717339667458434,0.40617577197149646,0.06833878199738416,0.06951735455963182,0.07037413877854398,0.016385324805358245,0.016426989793378886,0.016460604582341925,1.0296085120748812,1.032140833703452,1.0336194891267483
afrl_bus_s180_d045,B,3,3,64.62223598299897,64.93303130999266,65.13360885900329,89468928.0,90288128.0,90808320.0,2.2319581371266395,2.391124857123941,2.391124857123941,0.9413570835579771,0.9413570835579771,0.9449036964335055,5.233927657310584,5.316801782630354,6.881568511636222,0.0,0.0,0.0,98700.0,98700.0,98700.0,0.0,0.0,0.0,0.0,0.0,0.0,226398.0,242107.0,243537.0,343.0,357.0,357.0,4.135899959999999,4.377090439000003,4.4846554419999975,0.018726591760299626,0.018796992481203006,0.02631578947368421,0.0037593984962406013,0.0149812734082397,0.022556390977443608,0.049787454643317255,0.05889629428410494,0.059698174015834875,0.02494601595068928,0.026323114162347856,0.029669656116176373,0.9410946718437014,0.9432082834106067,0.9543979546794226
afrl_bus_s180_d045,L6,3,3,65.10415129798639,65.106618403006,65.1694140160107,90288128.0,90419200.0,91037696.0,2.391124857123941,2.391124857123941,2.391124857123941,0.9413570835579771,0.9413570835579771,0.9413570835579771,6.736847748652893,6.736847748652893,6.736847748652893,1537.0,1537.0,1537.0,98700.0,98700.0,98700.0,497.0,497.0,497.0,1860.0,1860.0,1860.0,225442.0,225442.0,225442.0,361.0,361.0,361.0,4.2150657879999995,4.254360997999997,4.374430744000002,0.007518796992481203,0.011278195488721804,0.015037593984962405,0.0037593984962406013,0.007518796992481203,0.011278195488721804,0.06152599508818373,0.06152599508818373,0.06152599508818373,0.02951154986165602,0.02951154986165602,0.02951154986165602,0.9413157306835128,0.9413157306835128,0.9413157306835128
