run_slug,arm,stage,wall_s,merge_wall_s,peak_rss_kib,timing_scope,timing_breakdown,repeat,solver_calls,solver_near_time_limit_count,max_solver_s
afrl_bus_s180_d045,L6,backend,65.1694140160107,,88300.0,,,2,266,4,0.04290552
afrl_bus_s180_d045,L6,backend,65.106618403006,,88172.0,,,3,266,3,0.044854048
afrl_bus_s180_d045,L-all,frontend,264.0078119279933,5.8055210589955095,1249588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 8.38332753299619, ""classical_gftt_tracking_generation_s"": 98.07112342894834, ""image_preprocessing_s"": 44.106291786869406, ""xfeat_eligibility_s"": 6.958167818025686, ""xfeat_tracking_generation_s"": 99.93322773603722}",,,,
afrl_bus_s180_d045,L-all,backend,65.33483009100019,,85504.0,,,1,250,0,0.03743652
afrl_bus_s180_d045,L-all,backend,65.13999557800707,,87844.0,,,2,250,3,0.041278892
afrl_bus_s180_d045,L-all,backend,65.03404950999538,,88748.0,,,3,250,5,0.043328933
afrl_bus_s180_d045,C-all,frontend,264.0078119279933,5.714580660991487,1249588,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 8.38332753299619, ""classical_gftt_tracking_generation_s"": 98.07112342894834, ""image_preprocessing_s"": 44.106291786869406, ""xfeat_eligibility_s"": 6.958167818025686, ""xfeat_tracking_generation_s"": 99.93322773603722}",,,,
afrl_bus_s180_d045,C-all,backend,64.6064885109954,,88240.0,,,1,266,1,0.044891886
afrl_bus_s180_d045,C-all,backend,64.7022242360108,,88760.0,,,2,266,3,0.041656777
afrl_bus_s180_d045,C-all,backend,64.84378725600254,,87448.0,,,3,267,6,0.040727387
a08_2700_3600,B,frontend,REUSED,4.34368858099333,1293360,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 114.1957593428233, ""classical_gftt_tracking_generation_s"": 348.4500386068976, ""image_preprocessing_s"": 174.74324792029802, ""xfeat_eligibility_s"": 170.78568050602917, ""xfeat_tracking_generation_s"": 421.1560656342044}",,,,
a08_2700_3600,B,backend,65.45909827100695,,98324.0,,,1,440,242,0.049497102
a08_2700_3600,B,backend,65.34045188500022,,100684.0,,,2,440,219,0.046850055
a08_2700_3600,B,backend,65.81311713499599,,102088.0,,,3,440,207,0.048739062
a08_2700_3600,L6,frontend,1261.6856090850051,12.266959216998657,1293360,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 114.1957593428233, ""classical_gftt_tracking_generation_s"": 348.4500386068976, ""image_preprocessing_s"": 174.74324792029802, ""xfeat_eligibility_s"": 170.78568050602917, ""xfeat_tracking_generation_s"": 421.1560656342044}",,,,
a08_2700_3600,L6,backend,65.5401160360052,,98704.0,,,1,440,246,0.049235135
a08_2700_3600,L6,backend,65.32797076299903,,100896.0,,,2,440,229,0.047272787
a08_2700_3600,L6,backend,65.4384831990028,,101496.0,,,3,440,248,0.04856117
a08_2700_3600,L-all,frontend,1261.6856090850051,22.367944247002015,1293360,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 114.1957593428233, ""classical_gftt_tracking_generation_s"": 348.4500386068976, ""image_preprocessing_s"": 174.74324792029802, ""xfeat_eligibility_s"": 170.78568050602917, ""xfeat_tracking_generation_s"": 421.1560656342044}",,,,
a08_2700_3600,L-all,backend,65.62138753900945,,119312.0,,,1,440,417,0.052141707
a08_2700_3600,L-all,backend,65.34878902300261,,123188.0,,,2,440,429,0.05129657
a08_2700_3600,L-all,backend,65.38725902599981,,121536.0,,,3,440,428,0.056192748
a08_2700_3600,C-all,frontend,1261.6856090850051,17.544451489011408,1293360,shared two-source generation; L6 and L-all share one inference stream,"{""classical_gftt_eligibility_s"": 114.1957593428233, ""classical_gftt_tracking_generation_s"": 348.4500386068976, ""image_preprocessing_s"": 174.74324792029802, ""xfeat_eligibility_s"": 170.78568050602917, ""xfeat_tracking_generation_s"": 421.1560656342044}",,,,
a08_2700_3600,C-all,backend,65.52858007300529,,117456.0,,,1,440,409,0.054741868
a08_2700_3600,C-all,backend,65.53337045900116,,116064.0,,,2,440,408,0.053024254
a08_2700_3600,C-all,backend,65.6448776969919,,115948.0,,,3,440,409,0.055216207
