window_id,role,arm,method,candidate_status,scheduled_feature_epochs,nonempty_feature_epochs,frontend_coverage,frontend_runable,feature_bag_path,feature_bag_sha256,all_three_bags_byte_identical,exclusion_status,repeat1_init,repeat1_pose_count,repeat1_span_s,repeat1_coverage,repeat2_init,repeat2_pose_count,repeat2_span_s,repeat2_coverage,repeat3_init,repeat3_pose_count,repeat3_span_s,repeat3_coverage,arm_window_pass,failure_class,notes
afrl_fr_s225_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,FRONTEND_FAIL,417,417,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbcsupp_afrl_fr_s225_d045_xfeat_seed_frontend/features.bag,71dad99f4771511340b9de20997307872345ff4f61641c847794e3bcaf805aa4,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=417;max_features=354;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 831, '/feature_tracker/feature': 417};pairwise_byte_identity=none"
afrl_fl_s270_d045,low_texture_planar,klt,klt,FRONTEND_FAIL,336,336,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbcsupp_afrl_fl_s270_d045_klt_frontend/features.bag,7b6277f9fc08db5681cecf2f7d89b080fb4e857928e1fc7912513133a6012091,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=336;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 629, '/feature_tracker/feature': 336};pairwise_byte_identity=none"
afrl_fl_s270_d045,low_texture_planar,splg,hybrid_superpoint_lightglue,FRONTEND_FAIL,336,336,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbcsupp_afrl_fl_s270_d045_splg_frontend/features.bag,34e6075f3ff59d4dee58d0a57f74b10d63e3469ce6bb35fbd11eeb446d6996eb,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=336;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 629, '/feature_tracker/feature': 336};pairwise_byte_identity=none"
afrl_fl_s270_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,FRONTEND_FAIL,336,336,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbcsupp_afrl_fl_s270_d045_xfeat_seed_frontend/features.bag,a7ed0a86a51391418add6fe07f99c4197e7a7b4ee31cc06def5e758b5869ab0e,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=336;max_features=352;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 629, '/feature_tracker/feature': 336};pairwise_byte_identity=none"
afrl_fr_s315_d045,low_texture_planar,klt,klt,FRONTEND_FAIL,400,400,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_klt_every2_fsbcsupp_afrl_fr_s315_d045_klt_frontend/features.bag,ae1213b7af4d352853435392ea3fe771bd7e6fe2a2aebbf0d678b46f76edb57f,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,,"feature_messages=400;max_features=350;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 792, '/feature_tracker/feature': 400};pairwise_byte_identity=none"
afrl_fr_s315_d045,low_texture_planar,splg,hybrid_superpoint_lightglue,FRONTEND_FAIL,400,400,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_fsbcsupp_afrl_fr_s315_d045_splg_frontend/features.bag,b6f8ce149902946e260db85c4959e42db67c7db0d35d96ba110c6816c6fb3132,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=400;max_features=354;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 792, '/feature_tracker/feature': 400};pairwise_byte_identity=none"
afrl_fr_s315_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,FRONTEND_FAIL,400,400,1.000000000,FAIL,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/afrl_cave_v31/external_hybrid_xfeat_every2_fsbcsupp_afrl_fr_s315_d045_xfeat_seed_frontend/features.bag,793efb2160689d9c7b66f4f5025031b7fa63adcd54e734d55b25870e2e54c183,false,INCLUDED,,,,,,,,,,,,,NOT_RUN,frontend_coverage_or_integrity,"feature_messages=400;max_features=357;topic_counts={'/imu/imu': 4500, '/afrl/colmap_gt': 792, '/feature_tracker/feature': 400};pairwise_byte_identity=none"
afrl_fl_s360_d045,low_texture_planar,klt,klt,NOT_ELIGIBLE_METADATA,,,,,,,,INELIGIBLE_PROXY_SUPPORT,,,,,,,,,,,,,NOT_RUN,metadata_proxy_support,proxy_count_lt_40_retained_in_ledger_not_run
afrl_fl_s360_d045,low_texture_planar,splg,hybrid_superpoint_lightglue,NOT_ELIGIBLE_METADATA,,,,,,,,INELIGIBLE_PROXY_SUPPORT,,,,,,,,,,,,,NOT_RUN,metadata_proxy_support,proxy_count_lt_40_retained_in_ledger_not_run
afrl_fl_s360_d045,low_texture_planar,xfeat_seed,hybrid_xfeat,NOT_ELIGIBLE_METADATA,,,,,,,,INELIGIBLE_PROXY_SUPPORT,,,,,,,,,,,,,NOT_RUN,metadata_proxy_support,proxy_count_lt_40_retained_in_ledger_not_run
h07_s000_d050,no_harm_anchor,klt,klt,FRONTEND_PASS,500,500,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_real_vins/external_klt_every2_fsbcsupp_h07_s000_d050_klt_frontend/features.bag,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,false,INCLUDED,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,,"feature_messages=500;max_features=350;topic_counts={'/rtimulib_node/imu': 10051, '/aqualoc/colmap_gt': 195, '/feature_tracker/feature': 500};pairwise_byte_identity=klt=splg;reference_span_s=50.019249439;reference_start=1523387546.122930288;reference_end=1523387596.142179728;backend_repeats_pass=3/3"
h07_s000_d050,no_harm_anchor,splg,hybrid_superpoint_lightglue,FRONTEND_PASS,500,500,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_real_vins/external_hybrid_superpoint_lightglue_every2_fsbcsupp_h07_s000_d050_splg_frontend/features.bag,d2572daad26a0a626cf4f013c3dfafd872edaffc3bf41c302ff1406c07246358,false,INCLUDED,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,,"feature_messages=500;max_features=350;topic_counts={'/rtimulib_node/imu': 10051, '/aqualoc/colmap_gt': 195, '/feature_tracker/feature': 500};pairwise_byte_identity=klt=splg;reference_span_s=50.019249439;reference_start=1523387546.122930288;reference_end=1523387596.142179728;backend_repeats_pass=3/3"
h07_s000_d050,no_harm_anchor,xfeat_seed,hybrid_xfeat,FRONTEND_PASS,500,500,1.000000000,PASS,/home/ma/AQUA-FE_WS/artifacts/frontend_same_backend_comparison_supplement/shadow_root/logs/aqualoc_real_vins/external_hybrid_xfeat_every2_fsbcsupp_h07_s000_d050_xfeat_seed_frontend/features.bag,18aff09668a82c0bd9a2467194ba191af386dfb2f8c3a39b816a1ea9594a51a2,false,INCLUDED,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,489,48.820671797,0.976037672,PASS,,"feature_messages=500;max_features=350;topic_counts={'/rtimulib_node/imu': 10051, '/aqualoc/colmap_gt': 195, '/feature_tracker/feature': 500};pairwise_byte_identity=klt=splg;reference_span_s=50.019249439;reference_start=1523387546.122930288;reference_end=1523387596.142179728;backend_repeats_pass=3/3"
