run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_3600_4000_probe,external_hybrid_xfeat_every2_jul15screen4_a09_3600_4000_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,5,5,5,5,0,140,0,140,0,0,350,30.25,0.42031,0.994093,0.994093,,350,0.875,,0,,,disabled:200,disabled:135;online_seed_sparse_start:candidates=1:classical=350:grid=0.833:online_seed_mirror_refill:online_seed_mirror_only_after_reject:60;online_seed_mirror_only_after_reject:4;online_seed_sparse_start:candidates=1:classical=350:grid=0.833:online_seed_basic:online_seed_mirror_only_after_reject:1,disabled:200,healthy:182;low_grid_coverage:15;illumination_nonuniformity:3,normal:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_3600_4000_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_4400_4800_probe,external_hybrid_xfeat_every2_jul15screen4_a09_4400_4800_probe,0,1,,,,,,,,,,,,200,69829,16,16,0,16,0,0,17,9,9,180,0,180,0,180,0,0,350,48,0.301462,0.993682,0.993682,0.94,350,0.916667,,0,,,disabled:200,disabled:185;online_seed_microburst_no_extend:8;online_seed_microburst_no_extend:online_seed_basic:4;online_seed_basic:2;online_seed_ok:1,disabled:200,healthy:165;low_grid_coverage:35,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_4400_4800_probe/features.bag,source_channels_audited,69829,16,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_5600_6000_probe,external_hybrid_xfeat_every2_jul15screen4_a09_5600_6000_probe,0,1,,,,,,,,,,,,200,69898,8,8,0,8,0,0,0,0,0,102,0,102,0,102,0,0,350,23,0.245486,0.992966,0.992969,0.94,350,0.833333,,0,,,disabled:200,disabled:167;online_seed_microburst_no_extend:25;online_seed_microburst_no_extend:online_seed_basic:5;online_seed_basic:3,disabled:200,underwater_degradation+flat_regions+low_grid_texture:79;flat_regions+low_grid_texture:36;healthy:36;low_grid_coverage:30;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:13;low_grid_coverage+flat_regions+low_grid_texture:6,planar_near_wall:164;degraded_texture:36,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_5600_6000_probe/features.bag,source_channels_audited,69898,8,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_800_1200_probe,external_hybrid_xfeat_every2_jul15screen4_a09_800_1200_probe,0,1,,,,,,,,,,,,200,70000,0,0,0,0,0,0,20,18,18,18,0,695,0,695,0,0,350,79.5,0.472353,0.995099,0.995099,,346,0.791667,,0,,,disabled:200,online_seed_sparse_start:candidates=2:classical=350:grid=0.833:online_seed_mirror_refill:online_seed_mirror_only_after_reject:102;online_seed_mirror_only_after_reject:87;disabled:9;online_seed_sparse_start:candidates=2:classical=350:grid=0.833:online_seed_basic:online_seed_mirror_only_after_reject:2,disabled:200,low_grid_coverage:101;healthy:99,normal:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen4_a09_800_1200_probe/features.bag,source_channels_audited,70000,0,0,0,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_1600_2000_probe,external_hybrid_xfeat_every2_jul15screen5_a02_1600_2000_probe,0,1,,,,,,,,,,,,200,66259,50,50,0,50,0,0,170,78,78,3819,0,3819,0,3819,0,0,327,37.25,0.323138,0.993733,0.993733,0.94,327,0.833333,,0,,,disabled:200,online_seed_microburst:100;online_seed_microburst:online_seed_basic:48;disabled:40;online_seed_basic:online_seed_budget:6;online_seed_basic:3;online_seed_budget:3,disabled:200,healthy:147;low_grid_coverage:26;underwater_degradation:18;underwater_degradation+flat_regions+low_grid_texture:9,degraded_texture:174;planar_near_wall:26,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_1600_2000_probe/features.bag,source_channels_audited,66259,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_3200_3600_probe,external_hybrid_xfeat_every2_jul15screen5_a02_3200_3600_probe,0,1,,,,,,,,,,,,200,69520,19,19,0,19,0,0,29,11,11,491,0,491,0,491,0,0,350,46,0.261235,0.993276,0.993276,0.94,350,0.833333,,0,,,disabled:200,disabled:115;online_seed_microburst_no_extend:70;online_seed_microburst_no_extend:online_seed_basic:11;online_seed_basic:4,disabled:200,underwater_degradation+flat_regions+low_grid_texture:120;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:80,planar_near_wall:178;degraded_texture:22,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_3200_3600_probe/features.bag,source_channels_audited,69520,19,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_5600_6000_probe,external_hybrid_xfeat_every2_jul15screen5_a02_5600_6000_probe,0,1,,,,,,,,,,,,200,68288,50,50,0,50,0,0,54,39,39,2129,0,2129,0,2129,0,0,344,123,0.430433,0.994859,0.994859,0.94,344,0.833333,,0,,,disabled:200,online_seed_microburst:127;disabled:54;online_seed_budget:9;online_seed_microburst:online_seed_basic:7;online_seed_ok:2;online_seed_basic:online_seed_budget:1,disabled:200,healthy:130;low_grid_coverage:46;underwater_degradation:24,degraded_texture:143;normal:57,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_5600_6000_probe/features.bag,source_channels_audited,68288,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_8000_8400_probe,external_hybrid_xfeat_every2_jul15screen5_a02_8000_8400_probe,0,1,,,,,,,,,,,,200,66123,50,50,0,50,0,0,212,98,98,3995,0,3995,0,3995,0,0,331,45,0.379892,0.994396,0.994396,0.94,331,0.791667,,0,,,disabled:200,online_seed_microburst:123;disabled:42;online_seed_microburst:online_seed_basic:22;online_seed_basic:6;online_seed_budget:5;online_seed_basic:online_seed_budget:2,disabled:200,low_grid_coverage:100;underwater_degradation+flat_regions+low_grid_texture:47;underwater_degradation:20;low_grid_coverage+underwater_degradation:19;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:8;healthy:6,degraded_texture:118;normal:66;planar_near_wall:16,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen5_a02_8000_8400_probe/features.bag,source_channels_audited,66123,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_0_400_probe,external_hybrid_xfeat_every2_jul15screen6_a05_0_400_probe,0,1,,,,,,,,,,,,200,68008,50,50,0,50,0,0,182,76,76,2068,0,2068,0,2068,0,0,339,25,0.322768,0.99349,0.99349,0.94,339,0.833333,,0,,,disabled:200,online_seed_microburst:128;online_seed_microburst:online_seed_basic:37;disabled:23;online_seed_budget:6;online_seed_ok:5;online_seed_basic:1,disabled:200,healthy:128;low_grid_coverage:72,degraded_texture:165;normal:35,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_0_400_probe/features.bag,source_channels_audited,68008,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_1600_2000_probe,external_hybrid_xfeat_every2_jul15screen6_a05_1600_2000_probe,0,1,,,,,,,,,,,,200,67650,9,9,0,9,0,0,302,102,102,2452,0,2452,0,2452,0,0,339,37,0.280998,0.993285,0.993285,0.94,339,0.791667,,0,,,disabled:200,online_seed_microburst_no_extend:122;online_seed_microburst_no_extend:online_seed_basic:72;disabled:3;online_seed_ok:2;online_seed_basic:1,disabled:200,illumination_nonuniformity:109;low_grid_coverage+illumination_nonuniformity:74;low_grid_coverage:17,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen6_a05_1600_2000_probe/features.bag,source_channels_audited,67650,9,0,1,0,0,0,missing_ape
