run_dir,run,has_ape,has_frontend_metrics,se3_ape_rmse_m,se3_ape_median_m,rpe_trans_rmse_m,rpe_trans_median_m,output_coverage_ratio,first_output_delay_s,init_success,tracking_lost_count_proxy,log_linear_solver_failures,log_failure_mentions,log_restart_mentions,feature_frames,exported_features_sum,exported_learned_features_sum,exported_non_loftr_learned_features_sum,exported_sp_lg_features_sum,exported_xfeat_features_sum,exported_loftr_features_sum,exported_recovered_features_sum,learned_candidate_count_sum,learned_confirmed_count_sum,recovered_count_sum,source_selection_dropped_sum,learned_export_gate_degraded_sum,learned_export_gate_dropped_sum,learned_export_geometry_dropped_sum,learned_export_benefit_dropped_sum,init_klt_only_active_sum,low_parallax_learned_holdoff_active_sum,exported_features_median,median_track_age_median,median_quality_median,median_backend_quality_median,median_classical_backend_quality_median,median_learned_backend_quality_median,classical_track_count_median,classical_grid_coverage_median,learned_export_grid_gain_median,learned_export_new_cells_median,classical_motion_px_median,classical_median_age_median,learned_export_gate_reason_counts,learned_export_benefit_reason_counts,learned_export_geometry_reason_counts,recovery_reason_counts,geometry_mode_counts,published_feature_bag,published_feature_bag_audit_status,published_feature_observations,published_learned_observations,published_loftr_observations,learned_really_exported,loftr_really_exported,safe_no_harm_candidate,learned_positive_candidate,warning
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a08_7200_7600_probe_oldcontract_densecap,external_hybrid_xfeat_every2_jul15explore_a08_7200_7600_probe_oldcontract_densecap,0,1,,,,,,,,,,,,200,68436,50,50,0,50,0,0,0,0,0,1642,0,1642,0,1642,0,0,342,130.25,0.366794,0.994294,0.994294,0.94,342,0.833333,,0,,,disabled:200,online_seed_microburst:138;disabled:49;online_seed_budget:7;online_seed_ok:3;online_seed_basic:2;online_seed_microburst:online_seed_basic:1,disabled:200,healthy:125;low_grid_coverage:75,degraded_texture:200,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15explore_a08_7200_7600_probe_oldcontract_densecap/features.bag,source_channels_audited,68436,50,0,1,0,0,0,missing_ape
logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a10_4960_5280_probe,external_hybrid_xfeat_every2_jul15screen_a10_4960_5280_probe,0,1,,,,,,,,,,,,160,55927,5,5,0,5,0,0,0,0,0,73,0,73,0,73,0,0,350,8,0.250906,0.992127,0.992127,0.94,350,0.875,,0,,,disabled:160,disabled:100;online_seed_microburst_no_extend:53;online_seed_basic:4;online_seed_microburst_no_extend:online_seed_basic:3,disabled:160,flat_regions+low_grid_texture:66;underwater_degradation+flat_regions+low_grid_texture:63;low_grid_coverage+underwater_degradation+flat_regions+low_grid_texture:27;healthy:3;underwater_degradation:1,degraded_texture:111;planar_near_wall:49,logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_jul15screen_a10_4960_5280_probe/features.bag,source_channels_audited,55927,5,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe,0,1,,,,,,,,,,,,151,35352,14,14,0,14,0,0,45,9,9,36,151,36,0,12,0,0,234,4,0.454659,0.872914,0.872914,0.875657,234,1,,0,8.90361,4,low_classical_tracks:123;low_classical_tracks+learned_mode_extreme_textureless:28,disabled:143;online_seed_microburst_no_extend:5;online_seed_ok:3,disabled:143;accepted_feh_residual_stable:8,low_track_count+backscatter_or_low_contrast:80;low_track_count:71,normal:126;degraded_texture:25,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s0_d30_probe/features.bag,source_channels_audited,35352,14,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s1020_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s1020_d30_probe,0,1,,,,,,,,,,,,150,33516,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,222,6,0.482056,0.87908,0.87908,,222,1,,0,14.7003,6,low_classical_tracks:150,disabled:150,disabled:150,low_track_count:85;low_track_count+backscatter_or_low_contrast:65,normal:148;degraded_texture:2,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s1020_d30_probe/features.bag,source_channels_audited,33516,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe,0,1,,,,,,,,,,,,150,33382,13,13,0,13,0,0,224,74,74,329,150,329,8,200,0,0,222,1,0.707961,0.871657,0.871657,0.870938,222,1,,0,0,1,low_classical_tracks:150,disabled:74;online_seed_microburst_no_extend:73;online_seed_ok:3,accepted_feh_residual_stable:76;disabled:73;residual_stability_rejected:1,low_track_count+backscatter_or_low_contrast:150,degraded_texture:140;normal:10,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s120_d30_probe/features.bag,source_channels_audited,33382,13,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s150_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s150_d30_probe,0,1,,,,,,,,,,,,150,35746,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,238,6,0.384576,0.872511,0.872511,,238,1,,0,12.0312,6,low_classical_tracks:150,disabled:150,disabled:150,low_track_count+backscatter_or_low_contrast:150,normal:150,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s150_d30_probe/features.bag,source_channels_audited,35746,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s180_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s180_d30_probe,0,1,,,,,,,,,,,,150,34541,8,8,0,8,0,0,150,17,17,38,150,38,0,36,0,0,230,5,0.423834,0.875954,0.875954,0.876034,230,1,,0,14.8351,5,low_classical_tracks:150,disabled:142;online_seed_microburst_no_extend:5;online_seed_ok:3,disabled:142;accepted_feh_residual_stable:8,low_track_count+backscatter_or_low_contrast:106;low_track_count:44,normal:141;degraded_texture:9,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s180_d30_probe/features.bag,source_channels_audited,34541,8,0,1,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s210_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s210_d30_probe,0,1,,,,,,,,,,,,150,34189,0,0,0,0,0,0,100,21,21,33,150,33,0,0,0,0,227,4,0.395924,0.866171,0.866171,,227,1,,0,8.1073,4,low_classical_tracks:101;low_classical_tracks+learned_mode_extreme_textureless:49,disabled:150,disabled:150,low_track_count+backscatter_or_low_contrast:140;low_track_count:10,normal:122;degraded_texture:28,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s210_d30_probe/features.bag,source_channels_audited,34189,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s240_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s240_d30_probe,0,1,,,,,,,,,,,,150,34153,0,0,0,0,0,0,45,0,0,0,150,0,0,0,0,0,228,4,0.423853,0.871146,0.871146,,228,1,,0,9.80928,4,low_classical_tracks:122;low_classical_tracks+learned_mode_extreme_textureless:28,disabled:150,disabled:150,low_track_count+backscatter_or_low_contrast:150,normal:118;degraded_texture:32,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s240_d30_probe/features.bag,source_channels_audited,34153,0,0,0,0,0,0,missing_ape
logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s270_d30_probe,external_hybrid_xfeat_every1_jul15screen_cirs_s270_d30_probe,0,1,,,,,,,,,,,,150,32760,0,0,0,0,0,0,15,0,0,0,150,0,0,0,0,0,219,1,0.767862,0.876283,0.876283,,219,1,,0,0,1,low_classical_tracks:150,disabled:150,disabled:150,low_track_count:119;low_track_count+backscatter_or_low_contrast:31,degraded_texture:119;normal:31,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s270_d30_probe/features.bag,source_channels_audited,32760,0,0,0,0,0,0,missing_ape
