window_id,sequence,batch,classification,positive_level,severe_regression,B_APE_n_technical,B_APE_mean,B_APE_sample_sd,B_APE_min,B_APE_median,B_APE_max,C-all_APE_n_technical,C-all_APE_mean,C-all_APE_sample_sd,C-all_APE_min,C-all_APE_median,C-all_APE_max,APE_delta_m,APE_delta_pct,APE_repeat_range_threshold,B_RPE_n_technical,B_RPE_mean,B_RPE_sample_sd,B_RPE_min,B_RPE_median,B_RPE_max,C-all_RPE_n_technical,C-all_RPE_mean,C-all_RPE_sample_sd,C-all_RPE_min,C-all_RPE_median,C-all_RPE_max,RPE_delta_m,RPE_delta_pct,RPE_repeat_range_threshold
coe1_a01_00000_00900,A01,A,PRACTICAL_LOSS,NONE,True,3,0.14160868679657088,0.023258114499580394,0.11475252946221912,0.15503676546374676,0.15503676546374676,3,0.574496026529647,0.07576952873120872,0.510392945589375,0.5549809329752206,0.6581142010243455,0.39994416751147377,257.96730621614734,0.1477212554349705,3,0.01910381223694571,0.002690821719790226,0.015996718948421352,0.02065735888120789,0.02065735888120789,3,0.07266994587631852,0.009597938739735117,0.06459961783189717,0.07012690482470563,0.08328331497235274,0.04946954594349774,239.4766253903855,0.018683697140455563
coe1_a03_00000_00900,A03,A,PRACTICAL_LOSS,NONE,True,3,0.8580533675011304,0.0035993859828134466,0.854466500629859,0.85802845856276,0.861665143310772,3,2834.2748593787364,46.29229822173029,2781.316909806001,2854.463479847713,2867.0441884824954,2853.6054513891504,332577.0168706386,85.72727867649428,3,0.07893363219055181,0.000291893873882403,0.07863311434196092,0.07895172152447641,0.07921606070521812,3,275.5705458249075,4.058576926413303,270.9358152546523,277.2866615167125,278.4891607033578,277.207709795188,351110.4057550522,7.5533454487055
coe1_a04_00000_00900,A04,A,PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,False,3,774.6202158166725,54.50084960374871,743.1541356268849,743.1541356268849,837.5523761962478,3,0.1137970425340003,8.379701068531357e-06,0.11378774096582227,0.11379938463619918,0.11380400199997948,-743.0403362422487,-99.98468697418468,94.39824056936288,3,94.59459746782333,7.222401776780226,90.42474185780364,90.42474185780364,102.93430868786272,3,0.13763268815611113,2.5997714607225724e-06,0.13762984198238962,0.13763328463362753,0.13763493785231626,-90.28710857317002,-99.84779244949345,12.509566830059086
coe1_a05_00000_00900,A05,A,NOT_EVALUABLE,NONE,False,0,Not evaluated.,Not evaluated.,,,,0,Not evaluated.,Not evaluated.,,,,,,,0,Not evaluated.,Not evaluated.,,,,0,Not evaluated.,Not evaluated.,,,,,,
coe1_a06_00000_00900,A06,A,SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,False,3,112.44264362811883,96.90794424314294,2.050386302430371,151.7859555274874,183.49158905443872,3,0.9566735467545754,0.011900898385524356,0.9489183656105699,0.9507264614311441,0.9703758132220122,-150.83522906605626,-99.37364003268472,181.44120275200834,3,14.139932900393793,12.09972407987801,0.3421133574436045,19.136619050862098,22.941066292875675,3,0.18632692498899928,0.0012689641105430127,0.18486292661751774,0.18700599507054602,0.18711185327893406,-18.949613055791552,-99.02278456516528,22.59895293543207
coe1_a07_00000_00900,A07,A,PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,False,3,3.0469071045998994,0.006002175570349674,3.0425548693613034,3.0444120716223697,3.0537543728160252,3,0.173397033283587,3.087376761012377e-06,0.17339477113396254,0.17339577816801038,0.17340055054878808,-2.8710162934543595,-94.30445767232793,0.01119950345472187,3,0.6823851275028311,0.0005321628972224327,0.6819679289102305,0.6822030141810483,0.6829844394172143,3,0.10670400951329302,1.475913225522463e-06,0.10670230533450846,0.10670484932050425,0.10670487388486634,-0.5754981648605441,-84.35878366081418,0.0010165105069838143
coe1_a10_00000_00900,A10,A,SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,False,3,0.060132082555959115,0.00032173194215498355,0.059842410807919244,0.06007547575477476,0.06047836110518334,3,0.0565762849101097,7.471615951327057e-05,0.05649001833688328,0.056618387056460565,0.056620449336985255,-0.003457088698314195,-5.754575648182741,0.0006359502972640985,3,0.05224321715658535,7.068616137801357e-06,0.05223651559154534,0.05224253283023267,0.052250603047978045,3,0.05368469286755557,1.1515216905243133e-05,0.05367140163639576,0.053691010457119256,0.05369166650915168,0.0014484776268865879,2.772602223543718,2.0264872755915153e-05
coe1_h01_00000_00900,H01,A,SMALL_OR_UNCERTAIN,NONE,False,3,0.07080914110635131,7.69481222023976e-05,0.07076470355010707,0.07076472662545998,0.0708979931434869,3,0.07142539002328221,0.0001950167941464048,0.07120079077524798,0.07152362076902194,0.07155175852557671,0.0007588941435619639,1.0724186748838882,0.0003509677503287373,3,0.010007769111219688,5.8644098734724765e-05,0.009973888350337313,0.009973933504738594,0.010075485478583156,3,0.010061991832443558,0.0001135646846921832,0.009932528016825221,0.010108660574876995,0.010144786905628457,0.00013472707013840145,1.3507917420383133,0.00021225888880323576
coe1_h02_00000_00900,H02,A,PRACTICAL_GAIN,ROBUST_PRACTICAL_GAIN,False,3,0.1076982360887868,0.0037331953911903873,0.10341842964117395,0.1093918317874116,0.11028444683777486,3,0.029393930868036697,3.215512011642828e-05,0.0293568014260974,0.029412423786087046,0.029412567391925642,-0.07997940800132455,-73.11277880121236,0.006866017196600904,3,0.035767825687937335,0.0009050600583120653,0.03472648593422708,0.03621206031664843,0.03636493081293649,3,0.007687092693287577,1.7887258698890685e-06,0.007685048738078257,0.007687857327611129,0.0076883720141733445,-0.0285242029890373,-78.76989803842602,0.0016384448787094136
coe1_h03_00000_00900,H03,A,SMALL_OR_UNCERTAIN,DIRECTIONAL_GAIN,False,3,848.2016622200779,0.19062901927035605,848.0041161220014,848.2163455709418,848.3845249672904,3,558.6691919689806,483.7598222205177,0.07146679709647621,837.9271959695227,838.0089131403228,-10.289149601419126,-1.2130336387815552,837.9374463432263,3,92.01594670971964,0.02362161908200446,91.99076247676982,92.01946707354682,92.0376105788423,3,60.66002897914544,52.497145200907454,0.04154727201390223,90.96597032062904,90.97256934479337,-1.0534967529177806,-1.144862914795812,90.93102207277947
