arm,step,loss,pointwise,temporal,validation_p95,wall_s
P,0,,,,9.052715492248536,5.100207798997872
P,250,0.7956297993659973,0.7956297993659973,0.07590685039758682,9.006643247604377,12.790459997020662
P,500,0.8240649700164795,0.8240649700164795,0.036019667983055115,8.986358499526984,18.755426613031887
P,750,0.7242181897163391,0.7242181897163391,0.1720450520515442,8.94254965782166,29.590322173025925
P,1000,0.6775828003883362,0.6775828003883362,0.013673815876245499,8.859473943710329,35.70897998200962
P,1250,0.506745457649231,0.506745457649231,0.09935997426509857,8.838219738006597,42.22711335500935
P,1500,0.6668426394462585,0.6668426394462585,0.029594749212265015,8.830924892425537,48.80081985000288
P,1750,0.8113794326782227,0.8113794326782227,0.11529669910669327,8.887180471420288,56.10778433503583
P,2000,0.6024373769760132,0.6024373769760132,0.1173890009522438,8.852271080017095,63.28913853800623
P,2250,0.9524909853935242,0.9524909853935242,0.04996934160590172,8.864352083206176,71.4264079920249
P,2500,0.4574553966522217,0.4574553966522217,0.08271867036819458,8.863574218750003,80.3990672750515
P,2750,0.47492122650146484,0.47492122650146484,0.09326879680156708,8.838428926467902,89.41805491404375
P,3000,0.5383858680725098,0.5383858680725098,0.028905272483825684,8.845835113525396,98.33265657303855
P,3250,0.595236599445343,0.595236599445343,0.03151518851518631,8.8447024345398,106.52698552701622
P,3500,0.6015905141830444,0.6015905141830444,0.07597752660512924,8.867887830734256,122.93167176103452
P,3750,0.4939457178115845,0.4939457178115845,0.10482745617628098,8.79928345680237,139.31736894103233
P,4000,0.33780428767204285,0.33780428767204285,0.05009189993143082,8.784821462631228,147.84952812403208
P,4250,0.702315092086792,0.702315092086792,0.17449383437633514,8.828760433197022,154.39133749104803
P,4500,0.7169595956802368,0.7169595956802368,0.06488968431949615,8.844405508041385,165.55432855302934
P,4750,0.6638306379318237,0.6638306379318237,0.28745344281196594,8.855799150466924,187.9319607350044
P,5000,0.3939583897590637,0.3939583897590637,0.03385700285434723,8.88452653884888,206.16883366904221
T,0,,,,9.052715492248536,2.205355565994978
T,250,0.8361390829086304,0.7982105016708374,0.07585710287094116,9.028701543807992,11.964299351035152
T,500,0.8419473767280579,0.8241198062896729,0.035655148327350616,9.00190172195435,18.99869578803191
T,750,0.7984969019889832,0.7124122977256775,0.17216923832893372,8.987139225006104,25.288366075023077
T,1000,0.678609311580658,0.6715991497039795,0.014020347967743874,8.91170740127564,31.643470402050298
T,1250,0.5760650038719177,0.5259439945220947,0.10024196654558182,8.9045687198639,38.010298373003025
T,1500,0.6753992438316345,0.6599574685096741,0.030883539468050003,8.8986563205719,45.10779270203784
T,1750,0.846581220626831,0.7889565229415894,0.11524936556816101,8.95228610038758,51.64119231904624
T,2000,0.65562903881073,0.5983962416648865,0.11446556448936462,8.98160610198975,57.95762575103436
T,2250,0.9837158918380737,0.9566652774810791,0.054101184010505676,8.87742681503296,65.67009460204281
T,2500,0.4907667934894562,0.44920429587364197,0.08312499523162842,8.859612655639657,75.64016788400477
T,2750,0.5127949714660645,0.4671914577484131,0.09120704978704453,8.899839544296269,81.94149197003571
T,3000,0.5566747784614563,0.5443457365036011,0.02465806156396866,8.898313331604008,88.20951874001184
T,3250,0.5857517719268799,0.5704710483551025,0.030561456456780434,8.91487278938294,94.69324914901517
T,3500,0.6431387066841125,0.6045623421669006,0.07715275138616562,8.886444520950327,100.97633162804414
T,3750,0.5456461310386658,0.49516868591308594,0.10095488280057907,8.92070817947388,107.14828861900605
T,4000,0.34088966250419617,0.317417174577713,0.04694496840238571,8.883220767974857,113.45109022903489
T,4250,0.8082658052444458,0.7197978496551514,0.17693591117858887,8.859805965423588,119.77257710404228
T,4500,0.7455617189407349,0.7165408134460449,0.05804181098937988,8.844387292861938,126.14674795104656
T,4750,0.783093273639679,0.6408733129501343,0.28443992137908936,8.871325159072882,132.49198665400036
T,5000,0.43603840470314026,0.41728588938713074,0.03750503435730934,8.844423437118532,138.6700606420054
