sequence,group_type,group,arm,observations,valid_labels,valid_tracks,invalid_labels,invalid_reasons,epe_median_px,epe_p90_px,epe_p95_px,over_1px_ratio,over_2px_ratio,temporal_pairs,temporal_error_change_median_px,temporal_error_change_p95_px,zero_correction_ratio,correction_median_px,correction_p90_px,correction_p95_px,correction_axis_abs_max_px,patch_unavailable,baseline_error_outside_axis_2px
endofworld/Easy/P000,block,300:400,P,35000,31307,18832,3693,"{""depth_discontinuity"": 646, ""official_mask_nonzero"": 2243, ""prior_invalid"": 804}",0.2768632173538208,0.9484963178634647,1.409875881671904,0.09122560449739675,0.026671351454946177,12498,0.2253720685839653,0.7996627032756805,0.1362,0.22788213193416595,0.8556930422782899,1.1964164376258843,1.9969364404678345,4767,849
endofworld/Easy/P000,block,300:400,T,35000,31307,18832,3693,"{""depth_discontinuity"": 646, ""official_mask_nonzero"": 2243, ""prior_invalid"": 804}",0.279717355966568,0.9008878588676458,1.3212850809097254,0.08304851950043121,0.026990768837640143,12498,0.2229759842157364,0.7897933453321456,0.1362,0.23395206034183502,0.7504880726337435,1.056027042865753,1.9941800832748413,4767,849
endofworld/Easy/P000,block,400:500,B,35000,31752,8819,3248,"{""depth_discontinuity"": 584, ""invalid_or_sky_depth"": 70, ""official_mask_nonzero"": 714, ""prior_invalid"": 1880}",0.24559463560581207,1.4738413214683534,2.301244235038755,0.1690602166792643,0.06298815822625346,23091,0.14072170853614807,0.6510462164878845,1.0,0.0,0.0,0.0,0.0,7582,1721
endofworld/Easy/P000,block,400:500,P,35000,31752,8819,3248,"{""depth_discontinuity"": 584, ""invalid_or_sky_depth"": 70, ""official_mask_nonzero"": 714, ""prior_invalid"": 1880}",0.41499198973178864,1.5571463108062749,2.246398019790649,0.20874275636180398,0.06254724111866969,23091,0.16498172283172607,0.6652401685714722,0.21662857142857142,0.27274471521377563,1.1816090106964114,1.518780744075775,1.9999066591262817,7582,1721
endofworld/Easy/P000,block,400:500,T,35000,31752,8819,3248,"{""depth_discontinuity"": 584, ""invalid_or_sky_depth"": 70, ""official_mask_nonzero"": 714, ""prior_invalid"": 1880}",0.42034029960632324,1.5062736034393314,2.189374160766598,0.19891660367850844,0.057413706223230034,23091,0.15997369587421417,0.6547078490257263,0.21662857142857142,0.2762708514928818,1.113868427276612,1.454306340217589,1.993746280670166,7582,1721
endofworld/Easy/P000,block,500:600,B,35000,31490,12954,3510,"{""depth_discontinuity"": 723, ""invalid_or_sky_depth"": 83, ""official_mask_nonzero"": 589, ""prior_invalid"": 1815, ""unconfirmed_last_birth"": 300}",0.09809820726513863,0.7231711149215698,1.044924086332321,0.05487456335344554,0.014131470308034296,18692,0.10891660302877426,0.4626251459121706,1.0,0.0,0.0,0.0,0.0,6316,386
endofworld/Easy/P000,block,500:600,P,35000,31490,12954,3510,"{""depth_discontinuity"": 723, ""invalid_or_sky_depth"": 83, ""official_mask_nonzero"": 589, ""prior_invalid"": 1815, ""unconfirmed_last_birth"": 300}",0.2755631357431412,0.9723665237426783,1.3743188381195062,0.09514131470308035,0.018482057796125755,18692,0.15500707924365997,0.5485902577638626,0.18045714285714284,0.2063244730234146,0.9474962115287782,1.3884194552898392,1.9999767541885376,6316,386
endofworld/Easy/P000,block,500:600,T,35000,31490,12954,3510,"{""depth_discontinuity"": 723, ""invalid_or_sky_depth"": 83, ""official_mask_nonzero"": 589, ""prior_invalid"": 1815, ""unconfirmed_last_birth"": 300}",0.2829619497060776,0.9591357946395881,1.3235919117927548,0.09129882502381709,0.01762464274372817,18692,0.15329349040985107,0.5402590453624733,0.18045714285714284,0.21504022181034088,0.8711862564086914,1.2896209478378295,1.9999768733978271,6316,386
endofworld/Easy/P000,age,0:5,B,162879,129444,84061,33435,"{""depth_discontinuity"": 15276, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10012, ""out_of_view"": 1, ""prior_invalid"": 5216, ""unconfirmed_last_birth"": 300}",0.0,0.430072072148323,0.7131569206714614,0.029464478847996044,0.010042952937177467,45383,0.1756247580051422,0.8300173580646516,1.0,0.0,0.0,0.0,0.0,27076,1152
endofworld/Easy/P000,age,0:5,P,162879,129444,84061,33435,"{""depth_discontinuity"": 15276, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10012, ""out_of_view"": 1, ""prior_invalid"": 5216, ""unconfirmed_last_birth"": 300}",0.23147017508745193,0.7295551598072052,1.006294113397598,0.050601032106548004,0.010691882203887395,45383,0.20163950324058533,0.803700214624405,0.16623383002105857,0.18403160572052002,0.6445950150489808,0.8861243903636936,1.9988338947296143,27076,1152
endofworld/Easy/P000,age,0:5,T,162879,129444,84061,33435,"{""depth_discontinuity"": 15276, ""invalid_or_sky_depth"": 2628, ""occluded_or_depth_mismatch"": 2, ""official_mask_nonzero"": 10012, ""out_of_view"": 1, ""prior_invalid"": 5216, ""unconfirmed_last_birth"": 300}",0.2423345297574997,0.7048384189605711,0.9585655391216278,0.04499242915855505,0.009934798059392479,45383,0.20193229615688324,0.8028425872325904,0.16623383002105857,0.19839777052402496,0.6083096385002139,0.8117961943149568,1.9919158220291138,27076,1152
endofworld/Easy/P000,age,5:15,B,29337,24337,4513,5000,"{""depth_discontinuity"": 131, ""official_mask_nonzero"": 6, ""out_of_view"": 1, ""prior_invalid"": 4862}",0.5870984196662903,1.9606998443603527,2.7936790943145753,0.2782183506594897,0.09623207461889305,24337,0.13248026371002197,0.6137614011764526,1.0,0.0,0.0,0.0,0.0,4915,1968
endofworld/Easy/P000,age,5:15,P,29337,24337,4513,5000,"{""depth_discontinuity"": 131, ""official_mask_nonzero"": 6, ""out_of_view"": 1, ""prior_invalid"": 4862}",0.682582437992096,1.8420728921890264,2.5537598133087176,0.3138431195299338,0.08386407527632822,24337,0.17774085700511932,0.6691326379776003,0.16753587619729352,0.48143115639686584,1.544861936569214,1.8378149986267085,1.9999767541885376,4915,1968
endofworld/Easy/P000,age,5:15,T,29337,24337,4513,5000,"{""depth_discontinuity"": 131, ""official_mask_nonzero"": 6, ""out_of_view"": 1, ""prior_invalid"": 4862}",0.6680850386619568,1.8117943286895761,2.550542449951173,0.3040226815137445,0.08193285943214036,24337,0.17363901436328888,0.6564526200294495,0.16753587619729352,0.4362304210662842,1.4298262357711795,1.7462337970733635,1.9998937845230103,4915,1968
endofworld/Easy/P000,age,15:30,B,11609,8678,1129,2931,"{""depth_discontinuity"": 22, ""prior_invalid"": 2909}",0.8539270460605621,2.941401481628418,3.945171046257019,0.42832449873242684,0.172735653376354,8678,0.12634047120809555,0.5880226701498031,1.0,0.0,0.0,0.0,0.0,2337,1329
endofworld/Easy/P000,age,15:30,P,11609,8678,1129,2931,"{""depth_discontinuity"": 22, ""prior_invalid"": 2909}",1.0188046097755432,2.5938364505767826,3.477945709228515,0.5076054390412538,0.1788430513943305,8678,0.1756839007139206,0.6945934444665909,0.20130932896890344,0.7402768135070801,1.9265995264053346,2.188120412826538,1.9999785423278809,2337,1329
endofworld/Easy/P000,age,15:30,T,11609,8678,1129,2931,"{""depth_discontinuity"": 22, ""prior_invalid"": 2909}",0.9469010531902313,2.644600582122803,3.568613493442534,0.4767227471767688,0.16466927863563033,8678,0.16917486488819122,0.673639926314354,0.20130932896890344,0.6286635994911194,1.8657387733459474,2.0696139335632324,1.9999768733978271,2337,1329
endofworld/Easy/P000,age,30:inf,B,6037,4332,257,1705,"{""depth_discontinuity"": 35, ""prior_invalid"": 1670}",1.0754676461219788,3.6690821647644043,4.921086025238034,0.5307017543859649,0.22645429362880887,4332,0.12990865111351013,0.532680183649063,1.0,0.0,0.0,0.0,0.0,1270,865
endofworld/Easy/P000,age,30:inf,P,6037,4332,257,1705,"{""depth_discontinuity"": 35, ""prior_invalid"": 1670}",1.1975429058074951,3.4055788040161135,4.723962497711182,0.5939519852262235,0.23522622345337027,4332,0.168537437915802,0.6220127314329144,0.21036938876925626,0.7568368315696716,1.8582886219024661,2.1813591480255123,1.9997971057891846,1270,865
endofworld/Easy/P000,age,30:inf,T,6037,4332,257,1705,"{""depth_discontinuity"": 35, ""prior_invalid"": 1670}",1.1594386100769043,3.4944125890731814,4.581981348991392,0.5734072022160664,0.23684210526315788,4332,0.167224682867527,0.6107607871294021,0.21036938876925626,0.7188135981559753,1.7961471080780032,2.071401786804199,1.9999330043792725,1270,865
