window_id,arm,repeats,common_poses,rpe_pairs,fixed_se3_ape_rmse_median_m,fixed_se3_ape_rmse_range_m,fixed_se3_rpe_rmse_median_m,fixed_se3_rpe_rmse_range_m,sim3_scale_median,sim3_scale_range,sim3_ape_rmse_median_m,sim3_ape_rmse_range_m,sim3_rpe_rmse_median_m,sim3_rpe_rmse_range_m,feature_bag_sha256,comparison_role
a06_s000_d045,klt_frozen,3,40,39,2.642738954,2.519547153-3.024572640,0.338590728,0.319098695-0.350611139,1.855541867,1.495932741-2.230143293,1.642184977,1.554689176-2.044720850,0.319415563,0.308089866-0.377977724,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,"frozen KLT repeats from original supplement"
a06_s000_d045,xfeat_noharm_v4,3,40,39,2.543347241,2.183416571-2.727701083,0.351190093,0.296543760-0.354345883,1.540146525,1.512635899-1.665460830,2.051040739,1.443604120-2.076850320,0.378746761,0.293001678-0.382198090,500c4f016e67febdd6b6298765aa8b7f590b3b0a45114157689c20837264ab97,"new repeats; byte-identical backend input to KLT"
