candidate_id,window,trajectory_kind,role,repeat,metric,control,candidate_rmse_m,control_rmse_m,absolute_difference_m,relative_change_pct
A08_4500_4660,4500-4660,online,full_bridge_off,2,ape_rmse_m,orb_only,0.183624000,0.120957000,0.062667000,51.809320668
A08_4500_4660,4500-4660,online,full_bridge_off,2,rpe_rmse_m,orb_only,0.330460000,0.308958000,0.021502000,6.959522006
A08_4500_4660,4500-4660,online,full_bridge_off,3,ape_rmse_m,orb_only,0.183624000,0.120957000,0.062667000,51.809320668
A08_4500_4660,4500-4660,online,full_bridge_off,3,rpe_rmse_m,orb_only,0.330460000,0.308958000,0.021502000,6.959522006
A08_4500_4660,4500-4660,online,full_bridge_off,4,ape_rmse_m,orb_only,0.183624000,0.120957000,0.062667000,51.809320668
A08_4500_4660,4500-4660,online,full_bridge_off,4,rpe_rmse_m,orb_only,0.330460000,0.308958000,0.021502000,6.959522006
A08_4500_4660,4500-4660,reconstructed,full_unbounded,1,ape_rmse_m,orb_only,0.132964000,0.183661000,-0.050697000,-27.603573976
A08_4500_4660,4500-4660,reconstructed,full_unbounded,1,rpe_rmse_m,orb_only,0.244732000,0.332345000,-0.087613000,-26.362063518
A08_4500_4660,4500-4660,reconstructed,full_unbounded,2,ape_rmse_m,orb_only,0.132964000,0.183661000,-0.050697000,-27.603573976
A08_4500_4660,4500-4660,reconstructed,full_unbounded,2,rpe_rmse_m,orb_only,0.244732000,0.332345000,-0.087613000,-26.362063518
A08_4500_4660,4500-4660,reconstructed,full_unbounded,3,ape_rmse_m,orb_only,0.132964000,0.183661000,-0.050697000,-27.603573976
A08_4500_4660,4500-4660,reconstructed,full_unbounded,3,rpe_rmse_m,orb_only,0.244732000,0.332345000,-0.087613000,-26.362063518
A08_4500_4660,4500-4660,reconstructed,full_unbounded,4,ape_rmse_m,orb_only,0.132964000,0.183661000,-0.050697000,-27.603573976
A08_4500_4660,4500-4660,reconstructed,full_unbounded,4,rpe_rmse_m,orb_only,0.244732000,0.332345000,-0.087613000,-26.362063518
A08_4500_4660,4500-4660,online,full_unbounded,1,ape_rmse_m,orb_only,0.177190000,0.120957000,0.056233000,46.490074985
A08_4500_4660,4500-4660,online,full_unbounded,1,rpe_rmse_m,orb_only,0.323685000,0.308958000,0.014727000,4.766667314
A08_4500_4660,4500-4660,online,full_unbounded,2,ape_rmse_m,orb_only,0.177190000,0.120957000,0.056233000,46.490074985
A08_4500_4660,4500-4660,online,full_unbounded,2,rpe_rmse_m,orb_only,0.323685000,0.308958000,0.014727000,4.766667314
A08_4500_4660,4500-4660,online,full_unbounded,3,ape_rmse_m,orb_only,0.177190000,0.120957000,0.056233000,46.490074985
A08_4500_4660,4500-4660,online,full_unbounded,3,rpe_rmse_m,orb_only,0.323685000,0.308958000,0.014727000,4.766667314
A08_4500_4660,4500-4660,online,full_unbounded,4,ape_rmse_m,orb_only,0.177190000,0.120957000,0.056233000,46.490074985
A08_4500_4660,4500-4660,online,full_unbounded,4,rpe_rmse_m,orb_only,0.323685000,0.308958000,0.014727000,4.766667314
A08_4500_4660,4500-4660,reconstructed,full,1,ape_rmse_m,orb_only,0.124809000,0.183661000,-0.058852000,-32.043819864
A08_4500_4660,4500-4660,reconstructed,full,1,rpe_rmse_m,orb_only,0.240456000,0.332345000,-0.091889000,-27.648678331
A08_4500_4660,4500-4660,reconstructed,full,1,ape_rmse_m,full_unbounded,0.124809000,0.132964000,-0.008155000,-6.133239072
A08_4500_4660,4500-4660,reconstructed,full,1,rpe_rmse_m,full_unbounded,0.240456000,0.244732000,-0.004276000,-1.747217364
A08_4500_4660,4500-4660,reconstructed,full,2,ape_rmse_m,orb_only,0.124809000,0.183661000,-0.058852000,-32.043819864
A08_4500_4660,4500-4660,reconstructed,full,2,rpe_rmse_m,orb_only,0.240456000,0.332345000,-0.091889000,-27.648678331
A08_4500_4660,4500-4660,reconstructed,full,2,ape_rmse_m,full_unbounded,0.124809000,0.132964000,-0.008155000,-6.133239072
