arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
klt_r1,42,41,0.2576787898519761,0.2233914362954587,0.03104267602740729,0.025283762648435685,0.8246781679184071,0.041084584278650776,0.029829335214484526,0.013487169854562145,0.010498498530482023
klt_r2,42,41,0.25771463408599476,0.22345014943170805,0.031055992115549422,0.025284595883181875,0.8246581863408378,0.041092055500094676,0.029812952358027153,0.013502519883848586,0.010501898636318457
klt_r3,42,41,0.2577554399996261,0.2235478383044408,0.031072808122449308,0.02527498145474532,0.8246376832796458,0.04112614776988771,0.029787743218963707,0.01352689585752858,0.010632480184372808
persistence_replace_r1,42,41,0.2128289566160142,0.1797154702793219,0.025003236716278757,0.018128216380582207,0.8541688296056934,0.06015799229570175,0.04487137102843167,0.015538055423995483,0.013999809069581448
persistence_replace_r2,42,41,0.2127602883993551,0.179569379161745,0.02498581669617741,0.018132036698236483,0.8542111625848126,0.06015026261745801,0.04486239388048259,0.015525582814068862,0.013997858215520374
persistence_replace_r3,42,41,0.21276905128254417,0.17959332811296047,0.024984676269595697,0.018132047279593902,0.8542076082667563,0.06016183236167973,0.044870530067465074,0.015526312135837468,0.013998166038087645
