arm,matched_count,rpe_pairs,fixed_se3_ape_rmse_m,fixed_se3_ape_median_m,fixed_se3_rpe_rmse_m,fixed_se3_rpe_median_m,sim3_scale,sim3_ape_rmse_m,sim3_ape_median_m,sim3_rpe_rmse_m,sim3_rpe_median_m
klt_r1,43,42,0.277798548530341,0.24632072385985268,0.031323647218098175,0.02515049031601154,1.115291971462652,0.030988728554298017,0.017731703477226954,0.017125059792553327,0.009852360014755633
klt_r2,43,42,0.27780207264924534,0.24632050444557654,0.03132973024230759,0.025154613188912413,1.115293232497156,0.030996281546485132,0.01773090967095462,0.017135381489375986,0.009860045525639112
klt_r3,43,42,0.2777982041287939,0.2463197267763794,0.031323621526335825,0.02515516842527841,1.1152917969071356,0.030988982475259563,0.017729754219290638,0.017125102664979484,0.00985170987037937
splg_r1,43,42,0.27976567227842714,0.2489276353846436,0.03152594195743527,0.026005421779817968,1.1161752367321494,0.03174635889787079,0.02004336632671738,0.01723630901076196,0.00992515041707543
splg_r2,43,42,0.2798471447428247,0.24898013805851474,0.03153491397648034,0.02601725790288597,1.1162122006784498,0.031770879052374634,0.020039670966092053,0.017242693933641702,0.00991128584728829
splg_r3,43,42,0.2798458193175042,0.2489791417455233,0.031534832833526955,0.02601812371087813,1.1162116260589774,0.03176997304808397,0.02004230259583924,0.017242647068252952,0.00990640611700141
xfeat_seed_r1,43,42,0.27876370757596086,0.2478279507541371,0.031402398536467056,0.025591668701094958,1.115733255457972,0.0312062622443386,0.019271908491387074,0.017189341655357057,0.009967517887106946
xfeat_seed_r2,43,42,0.2787606269061389,0.24782755598716366,0.03141708403638056,0.0255916910478417,1.1157306123142892,0.031229315546960602,0.01927800749499026,0.017214951689982213,0.0099629701858505
xfeat_seed_r3,43,42,0.27873709110755296,0.24781075106184794,0.031414390524932626,0.025590332403900046,1.1157198809231939,0.031223370745462182,0.019273113180874272,0.017212770435855132,0.009965928181979687
