order,arm_id,display_name,method,frontend_config,seed_target,formal_method_identity,execution_status_at_registration
1,klt,KLT,klt,uw_frontend/configs/experiments/low_texture_xfeat_seedchain_frontend.yaml,none,classic_klt_same_exporter,PRE_REGISTERED
2,splg,SP+LG,hybrid_superpoint_lightglue,uw_frontend/configs/experiments/low_texture_xfeat_seedchain_frontend.yaml,all_learned,supervins_style_same_exporter,PRE_REGISTERED
3,xfeat_seed,XFeat-seed,hybrid_xfeat,uw_frontend/configs/experiments/low_texture_xfeat_seedchain_frontend.yaml,xfeat,P_legacy_nativeq_xfeat_seedchain_v3_plus_final_mirror_noharm_fix,PRE_REGISTERED
