case,summary_path,proposed_arm,comparator_arm,ape_valid,rpe_valid,grid_count,common_pose_count,common_span_s,common_coverage,rpe_pair_count,proposed_ape_rmse_m,comparator_ape_rmse_m,corrected_ape_gain,proposed_rpe_rmse_m,comparator_rpe_rmse_m,proposed_legacy_pair_count,proposed_legacy_unique_reference_used,proposed_legacy_max_reference_reuse,proposed_legacy_timestamp_error_p95_s,body_to_camera_applied
A10_2400_2800,papers/ieee_sensors_journal_experiments/g0/a10_2400_2800_probe/common_support_summary.json,full,drop,0,1,20,15,14.0,0.75,14,0.6314723103767741,0.9824678923335155,0.35725908673012385,0.15885861127320958,0.23882475765385272,154,16,10,0.45014835596084596,1
A10_2400_2800,papers/ieee_sensors_journal_experiments/g0/a10_2400_2800_probe/common_support_summary.json,full,klt,0,1,20,15,14.0,0.75,14,0.6314723103767741,0.9824678923335155,0.35725908673012385,0.15885861127320958,0.23882475765385272,154,16,10,0.45014835596084596,1
A09_4000_4400,papers/ieee_sensors_journal_experiments/g0/a09_4000_4400_probe/common_support_summary.json,full,drop,0,1,20,15,14.0,0.75,14,0.8050165926155496,0.9523886878709752,0.15473944318350707,0.19967587079127017,0.23505092035790565,159,17,10,0.4502079963684082,1
A09_4000_4400,papers/ieee_sensors_journal_experiments/g0/a09_4000_4400_probe/common_support_summary.json,full,klt,0,1,20,15,14.0,0.75,14,0.8050165926155496,0.9525726998890606,0.15490272531502924,0.19967587079127017,0.23505910573441993,159,17,10,0.4502079963684082,1
A06_2210_2460,papers/ieee_sensors_journal_experiments/g0/a06_2210_2460_probe/common_support_summary.json,full,klt,0,0,12,10,9.0,0.8333333333333334,9,0.031230288037313727,0.24267866035440566,0.8713101185258509,0.013637738645264385,0.08734398822005096,110,12,10,0.45384467840194703,1
NTNU_FJORD4_S0_D30,papers/ieee_sensors_journal_experiments/g0/ntnu_fjord4_s0_d30_probe/common_support_summary.json,full,klt,1,1,300,245,24.399999856948853,0.8166666666666667,235,346.59736715865677,328.9113008025482,-0.053771537532928404,62.26017466891584,57.242990286436545,164,164,1,0.007545804977416992,1
H07_0_1000,papers/ieee_sensors_journal_experiments/g0/h07_0_1000_probe/common_support_summary.json,full,klt,1,1,101,94,48.0,0.9306930693069307,90,1.3739858734219819,1.2557841400766847,-0.09412583705514788,0.20906562725700184,0.2016312654774603,486,189,10,0.1015210747718811,1
