group,repeats,fixed_se3_ape_rmse_m_median,fixed_se3_ape_rmse_m_min,fixed_se3_ape_rmse_m_max,fixed_se3_rpe_rmse_m_median,fixed_se3_rpe_rmse_m_min,fixed_se3_rpe_rmse_m_max,sim3_ape_rmse_m_median,sim3_ape_rmse_m_min,sim3_ape_rmse_m_max,sim3_rpe_rmse_m_median,sim3_rpe_rmse_m_min,sim3_rpe_rmse_m_max,sim3_scale_median,sim3_scale_min,sim3_scale_max
trace_klt,3,0.1401744609475107,0.10258508138204693,0.16191971182451642,0.022646427064120768,0.020488867332921587,0.023852845096898962,0.06089189178546334,0.05915143826640915,0.06418174209066324,0.01742655502688556,0.017119141495868677,0.01776108020666568,0.8995793841787284,0.8824135927089367,0.9339095333667803
trace_donor_delete_only,3,1.104454204763925,1.0826456511530567,1.11514235083438,0.10453502159232723,0.10261863734370529,0.10573267897536344,0.04668448717314336,0.04509990952246636,0.05023790895774322,0.02005462335969856,0.0194125348904505,0.020538624129543184,0.5063174190971143,0.5039067784898076,0.5113094760010181
old_klt,3,0.14131658509253395,0.14105240870678118,0.1421936169303306,0.022696850881355115,0.022691012529205763,0.022702110726377272,0.06077367332004901,0.06063582608904235,0.06081131355074098,0.017402114901302543,0.0173288345382067,0.017410635349040866,0.8986341516692359,0.8978957777649939,0.8988558486180727
old_donor_delete,3,1.073157554512406,1.0715330956379645,1.0933527002043442,0.10200847387150001,0.10186112490388058,0.10417647956435498,0.045443729136755595,0.045317593605092334,0.04895451864546228,0.019451372490306137,0.019437811638608683,0.020777280045333097,0.5135129286977522,0.5088485608024563,0.5138919102680992
