timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1700604781.6781669,1,0,0,0,0,-1
1700604781.7781668,1,0,0,0,0,-1
1700604781.8781669,1,0,0,0,0,-1
1700604781.9781668,1,0,0,0,0,-1
1700604782.078167,1,0,0,0,0,-1
1700604782.1781669,1,0,0,0,0,-1
1700604782.2781668,1,0,0,0,0,-1
1700604782.3781669,1,0,0,0,0,-1
1700604782.4781668,1,0,0,0,0,-1
1700604782.578167,1,0,0,0,0,-1
1700604782.6781669,1,0,0,0,0,-1
1700604782.7781668,1,0,0,0,0,-1
1700604782.8781669,1,0,0,0,0,-1
1700604782.9781668,1,0,0,0,0,-1
1700604783.078167,1,0,0,0,0,-1
1700604783.1781669,1,0,0,0,0,-1
1700604783.2781668,1,0,0,0,0,-1
1700604783.3781669,1,0,0,0,0,-1
1700604783.4781668,1,0,0,0,0,-1
1700604783.578167,1,0,0,0,0,-1
1700604783.6781669,1,0,0,0,0,-1
1700604783.7781668,1,0,0,0,0,-1
1700604783.8781669,1,0,0,0,0,-1
1700604783.9781668,1,0,0,0,0,-1
1700604784.078167,1,0,0,0,0,-1
1700604784.1781669,1,0,0,0,0,-1
1700604784.2781668,1,0,0,0,0,-1
1700604784.3781669,1,0,0,0,0,-1
1700604784.4781668,1,0,0,0,0,-1
1700604784.578167,1,0,0,0,0,-1
1700604784.6781669,1,0,0,0,0,-1
1700604784.7781668,1,0,0,0,0,-1
1700604784.8781669,1,0,0,0,0,-1
1700604784.9781668,1,0,0,0,0,-1
1700604785.078167,1,0,0,0,0,-1
1700604785.1781669,1,0,0,0,0,-1
1700604785.2781668,1,0,0,0,0,-1
1700604785.3781669,1,0,0,0,0,-1
1700604785.4781668,1,0,0,0,0,-1
1700604785.578167,1,0,0,0,0,-1
1700604785.6781669,1,0,0,0,0,-1
1700604785.7781668,1,0,0,0,0,-1
1700604785.8781669,1,0,0,0,0,-1
1700604785.9781668,1,0,0,0,0,-1
1700604786.078167,1,0,0,0,0,-1
1700604786.1781669,1,0,0,0,0,-1
1700604786.2781668,1,0,0,0,0,-1
1700604786.3781669,1,0,0,0,0,-1
1700604786.4781668,1,0,0,0,0,-1
1700604786.578167,1,0,0,0,0,-1
1700604786.6781669,1,0,0,0,0,-1
1700604786.7781668,1,0,0,0,0,-1
1700604786.8781669,1,0,0,0,0,-1
