sequence,comparison,arm,repeat,metric_status,replay_status,runability,received_complete,poses,trajectory_coverage,trajectory_length_m,initialization_count,failure_detection_count,reset_count_proxy,run_dir,fixed_se3_ape_median_m,fixed_se3_ape_rmse_m,fixed_se3_rpe_median_m,fixed_se3_rpe_rmse_m,matched_count,rpe_pairs,sim3_ape_median_m,sim3_ape_rmse_m,sim3_rpe_median_m,sim3_rpe_rmse_m,sim3_scale
A02,R_vs_B,R,3,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.591083362403147,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat3,0.878749691022916,1.1614713677059636,0.09949155299402032,0.1299551907854967,40,39,0.0554488531709931,0.08010457579983093,0.009254354400571436,0.02537699594566836,0.47979594091223376
A02,R_vs_B,B,1,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.040064904243044,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/B/repeat1,0.05030195938163648,0.06520164647744198,0.008818613996703476,0.017082447670198654,40,39,0.04733404954780367,0.06175028060793307,0.007381042011954579,0.017305183251478534,1.019954717779223
A02,R_vs_B,B,2,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.0447639917965414,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/B/repeat2,0.0496053401864211,0.06465326089684716,0.008777566602214038,0.01707434028364324,40,39,0.04714877779577678,0.06163577238448636,0.007417092946394866,0.01728738082355971,1.0185844426294515
A02,R_vs_B,B,3,PASS,COMPLETE,PASS,True,421,0.9333598441532135,4.4600142439460875,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/B/repeat3,0.0743787694699623,0.10647833083860733,0.009375718352754516,0.01933406058872603,40,39,0.0409373821710964,0.055615180569680976,0.006498034799500987,0.016105759112204878,0.9217954524051364
A02,R_vs_C,R,1,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.62130842274103,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat1,0.8777862207665517,1.1571990422573335,0.09947705038246168,0.13077269884699547,40,39,0.05464667671597775,0.07966552451047602,0.009094618534120932,0.026235366978388585,0.48072130196247675
A02,R_vs_C,R,2,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.652261060769167,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat2,0.8789341206989036,1.1573911602833677,0.09951949899250631,0.1308773678324005,40,39,0.054485476457182845,0.07938729559052335,0.009093041139532259,0.02634953658436853,0.4806803577985442
A02,R_vs_C,R,3,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.591083362403147,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/R/repeat3,0.878749691022916,1.1614713677059636,0.09949155299402032,0.1299551907854967,40,39,0.0554488531709931,0.08010457579983093,0.009254354400571436,0.02537699594566836,0.47979594091223376
A02,R_vs_C,C,1,PASS,COMPLETE,PASS,True,405,0.8977747921340639,6.9338761690256785,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat1,0.5699244068547847,0.6991168158789801,0.06577465251210882,0.07126104623810182,40,39,0.020767562072751627,0.027624799182527165,0.00603060184905165,0.012128727006016898,0.6053078400906398
A02,R_vs_C,C,2,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.595655973399968,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat2,0.8750225526092121,1.1536304312116359,0.09941675113835957,0.13056805880739827,40,39,0.05437726811270917,0.07955799844815181,0.008977782976085036,0.026313005378660395,0.48149629022020674
A02,R_vs_C,C,3,PASS,COMPLETE,PASS,True,405,0.8977747921340639,9.609365823579674,1,0,0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_searaft_system_probe_v1/backend/a02_0_900/C/repeat3,0.8772490169327747,1.156964248356864,0.09948733155922772,0.1306746707340085,40,39,0.05466744823412513,0.07965149244094362,0.009019801691616463,0.026120842483444612,0.4807722326153394
