sequence,comparison,status,R_APE,R_APE_min,R_APE_max,R_APE_range,R_RPE,R_RPE_min,R_RPE_max,R_RPE_range,B_APE,B_APE_min,B_APE_max,B_APE_range,B_RPE,B_RPE_min,B_RPE_max,B_RPE_range,APE_delta_m,RPE_delta_m,practical,severe_regression,severe_R_repeats,control_unstable,support,C_APE,C_APE_min,C_APE_max,C_APE_range,C_RPE,C_RPE_min,C_RPE_max,C_RPE_range
H02,R_vs_B,PASS,0.026601521621978364,0.02660118792409959,0.02666584584735137,6.46579232517798e-05,0.007467405130587168,0.007466962407198583,0.007473698405586207,6.7359983876242105e-06,0.11130149882053911,0.10370446736608972,0.15060188240268702,0.04689741503659729,0.03653824708656528,0.03480997150892122,0.048375748857044806,0.013565777348123587,-0.08469997719856075,-0.02907084195597811,PRACTICAL_GAIN,False,[],True,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",,,,,,,,
H02,R_vs_C,PASS,0.026601521621978364,0.02660118792409959,0.02666584584735137,6.46579232517798e-05,0.007467405130587168,0.007466962407198583,0.007473698405586207,6.7359983876242105e-06,,,,,,,,,-1030.0578987098077,-117.11264435172696,PRACTICAL_GAIN,False,[],False,"{""ape_valid"": true, ""common_coverage"": 0.9111111111111111, ""common_span_s"": 40.0, ""grid_count"": 45, ""matched_count"": 41, ""rpe_pairs"": 40, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.766311194049194}",1030.0845002314297,1017.9917091663859,1030.0845002314297,12.092791065043798,117.12011175685754,115.82582123619643,117.12011175685754,1.2942905206611073
A02,R_vs_B,PASS,1.1573911602833677,1.1571990422573335,1.1614713677059636,0.004272325448630099,0.13077269884699547,0.1299551907854967,0.1308773678324005,0.0009221770469038104,0.06520164647744198,0.06465326089684716,0.10647833083860733,0.041825069941760176,0.017082447670198654,0.01707434028364324,0.01933406058872603,0.0022597203050827887,1.0921895138059257,0.11369025117679682,PRACTICAL_LOSS,True,"[1, 2, 3]",True,"{""ape_valid"": true, ""common_coverage"": 0.8888888888888888, ""common_span_s"": 39.0, ""grid_count"": 45, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.9928353279829}",,,,,,,,
A02,R_vs_C,PASS,1.1573911602833677,1.1571990422573335,1.1614713677059636,0.004272325448630099,0.13077269884699547,0.1299551907854967,0.1308773678324005,0.0009221770469038104,,,,,,,,,0.003760729071731861,0.00020464003959719257,SMALL_OR_UNCERTAIN,False,[],True,"{""ape_valid"": true, ""common_coverage"": 0.8888888888888888, ""common_span_s"": 39.0, ""grid_count"": 45, ""matched_count"": 40, ""rpe_pairs"": 39, ""rpe_valid"": true, ""segment_count"": 1, ""window_duration_s"": 44.9928353279829}",1.1536304312116359,0.6991168158789801,1.156964248356864,0.45784743247788395,0.13056805880739827,0.07126104623810182,0.1306746707340085,0.05941362449590669
