data_domain,dataset_family,degradation_scaled,degradation_score_p50,dropout_ratio_p50,dropout_scaled,flat_region_ratio_p50,flat_region_scaled,frame_score_p25,frame_score_p50,frame_score_p75,full_reference_support,grid_coverage_p50,grid_deficit_scaled,history_excluded,history_exclusion_reason,input_frame_count,protocol_version,protocol_version_v2,protocol_version_v3,quota_protocol,reference_coverage,reference_full_coverage,reference_grid_count,reference_support_pass,reference_support_reason,reference_supported_grid_count,score,selected_by_sequence_rule,selected_by_sequence_rule_v2,selected_by_sequence_rule_v3,selected_final,selection_tier,sequence,sequence_q20,sequence_q80,texture_stratum,texture_stratum_v2,window_end_s,window_id,window_index,window_start_s
AQUALOC archaeology,aqualoc_archaeology,0.22889025993049117,0.22889025993049117,0.04,0.04,0.16666666666666666,0.16666666666666666,0.1385308505405412,0.15545148589377986,0.17864773973898587,true,0.7916666666666666,0.20833333333333337,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.15545148589377986,false,false,false,false,,A01,,,history_excluded,history_excluded,495.0,aqualoc_archaeology:A01:0010,10,450.0
AQUALOC archaeology,aqualoc_archaeology,0.17379892394180413,0.17379892394180413,0.02857142857142857,0.02857142857142857,0.16666666666666666,0.16666666666666666,0.13622310262244047,0.15306852875529453,0.16157980029236443,true,0.75,0.25,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.15306852875529453,false,false,false,false,,A01,0.13176185427970055,0.16186149824568302,unclassified,unclassified,540.0,aqualoc_archaeology:A01:0011,11,495.0
AQUALOC archaeology,aqualoc_archaeology,0.16399141634965725,0.16399141634965725,0.002857142857142857,0.002857142857142857,0.125,0.125,0.10502686852596123,0.14420664988010956,0.15623483978437577,false,0.7083333333333334,0.29166666666666663,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,0.9130434782608695,0.9130434782608695,46,true,PASS_G0_REFERENCE_ONLY,42,0.14420664988010956,false,false,false,false,,A01,0.13176185427970055,0.16186149824568302,unclassified,unclassified,585.0,aqualoc_archaeology:A01:0012,12,540.0
AQUALOC archaeology,aqualoc_archaeology,0.1818016002644814,0.1818016002644814,0.002857142857142857,0.002857142857142857,0.125,0.125,0.13922648096981002,0.15030481470979046,0.16012686027310852,true,0.75,0.25,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.15030481470979046,false,false,false,false,,A01,0.13176185427970055,0.16186149824568302,unclassified,unclassified,630.0,aqualoc_archaeology:A01:0013,13,585.0
AQUALOC archaeology,aqualoc_archaeology,0.21195353015548213,0.21195353015548213,0.014285714285714285,0.014285714285714285,0.125,0.125,0.11113367957665873,0.1360135710474598,0.1772541627566555,true,0.8333333333333334,0.16666666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.1360135710474598,false,false,false,false,,A01,,,history_excluded,history_excluded,675.0,aqualoc_archaeology:A01:0014,14,630.0
AQUALOC archaeology,aqualoc_archaeology,0.20934443990346296,0.20934443990346296,0.014285714285714285,0.014285714285714285,0.08333333333333333,0.08333333333333333,0.11870047432554373,0.12801619371109363,0.13522879066938998,true,0.8333333333333334,0.16666666666666663,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.12801619371109363,false,false,false,false,,A01,,,history_excluded,history_excluded,720.0,aqualoc_archaeology:A01:0015,15,675.0
AQUALOC archaeology,aqualoc_archaeology,0.18402841032280148,0.18402841032280148,0.002857142857142857,0.002857142857142857,0.125,0.125,0.1525928167863984,0.17253214829341332,0.1905374366882083,true,0.625,0.375,true,exact_prior_window_overlap,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.17253214829341332,false,false,false,false,,A01,,,history_excluded,history_excluded,765.0,aqualoc_archaeology:A01:0016,16,720.0
AQUALOC archaeology,aqualoc_archaeology,0.13376075675489674,0.13376075675489674,0.008571428571428572,0.008571428571428572,0.08333333333333333,0.08333333333333333,0.11006903972572779,0.12626673923936713,0.13764631169497754,true,0.7083333333333334,0.29166666666666663,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.12626673923936713,false,false,false,false,,A01,0.13176185427970055,0.16186149824568302,unclassified,unclassified,810.0,aqualoc_archaeology:A01:0017,17,765.0
AQUALOC archaeology,aqualoc_archaeology,0.1519962095426537,0.1519962095426537,0.02857142857142857,0.02857142857142857,0.125,0.125,0.15665004325780027,0.16758689123190262,0.17749176389668248,true,0.625,0.375,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.16758689123190262,true,false,true,true,RELATIVE_Q80_FALLBACK,A01,0.13176185427970055,0.16186149824568302,low,unclassified,855.0,aqualoc_archaeology:A01:0018,18,810.0
AQUALOC archaeology,aqualoc_archaeology,0.1661341924542532,0.1661341924542532,0.005714285714285714,0.005714285714285714,0.08333333333333333,0.08333333333333333,0.12509897554235477,0.12853985600371245,0.13968108570821808,true,0.75,0.25,false,,900,isj-window-selection-v4-full-reference,isj-window-selection-v2,isj-window-selection-v3-quota-repair,isj-p06-global-quota-v3-full-reference,1.0,1.0,46,true,PASS_G0_REFERENCE_ONLY,46,0.12853985600371245,false,false,false,false,,A02,0.1297012854892036,0.1392678213216608,unclassified,unclassified,45.0,aqualoc_archaeology:A02:0000,0,0.0
