window,arm,arm_display,repeat,status,exit_code,init,poses,coverage,first_output_delay_s,expected_duration_s,failure_reason,run_dir,vio_csv,vins_log,frontend_metrics,feature_bag,feature_bag_sha256
a09_4000_4400,klt,KLT,2,PASS,0,1,161,0.800027,3.949201,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/features.bag,76210599038aca1b5fb95d36926f4c6b65bacc10a3d954de45f0fd1ef576e4f9
a09_4000_4400,klt,KLT,3,PASS,0,1,180,0.894982,2.050472,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_4000_4400_klt_r1/features.bag,76210599038aca1b5fb95d36926f4c6b65bacc10a3d954de45f0fd1ef576e4f9
a09_4000_4400,splg,SP+LG,1,PASS,0,1,180,0.894982,2.050472,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/features.bag,d654c26e177f6b7ac02b2b881cd6c5db8ef1e75c813a7447c26cf4440a288613
a09_4000_4400,splg,SP+LG,2,PASS,0,1,180,0.894982,2.050472,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/features.bag,d654c26e177f6b7ac02b2b881cd6c5db8ef1e75c813a7447c26cf4440a288613
a09_4000_4400,splg,SP+LG,3,PASS,0,1,170,0.845027,3.049374,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbcv1_a09_4000_4400_splg_r1/features.bag,d654c26e177f6b7ac02b2b881cd6c5db8ef1e75c813a7447c26cf4440a288613
a09_4000_4400,xfeat_seed,XFeat-seed,1,PASS,0,1,170,0.845027,3.049374,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/features.bag,f7f2fac8ca34ece1677c99b6d82383cd517b95b8cfad7e7bbe15d1fb07feba56
a09_4000_4400,xfeat_seed,XFeat-seed,2,PASS,0,1,170,0.845027,3.049374,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/features.bag,f7f2fac8ca34ece1677c99b6d82383cd517b95b8cfad7e7bbe15d1fb07feba56
a09_4000_4400,xfeat_seed,XFeat-seed,3,PASS,0,1,170,0.845027,3.049374,19.996068,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r3,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r3/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r3/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r3/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbcv1_a09_4000_4400_xfeat_seed_r1/features.bag,f7f2fac8ca34ece1677c99b6d82383cd517b95b8cfad7e7bbe15d1fb07feba56
a09_6000_6800,klt,KLT,1,PASS,0,1,388,0.967497,1.250145,39.993406,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff
a09_6000_6800,klt,KLT,2,PASS,0,1,388,0.967497,1.250145,39.993406,NONE,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins_output/vio.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/vins.log,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r2/frontend_metrics.csv,/mnt/data/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_fsbcv1_a09_6000_6800_klt_r1/features.bag,6de8ffe9226c1c786bbd80b53049f2f4f1f58c2859808034b60b5dca171884ff
